productId	standardCode	standard
ABS_plastic_pipe_expansion_joint	40172908	UNSPSC
ABS_plastic_pipe_half_coupling	40173008	UNSPSC
ABS_plastic_pipe_nipple	40173306	UNSPSC
ABS_plastic_pipe_plate_flange	40173407	UNSPSC
ABS_plastic_pipe_plug	40173510	UNSPSC
ABS_plastic_pipe_reducing_coupling	40173610	UNSPSC
ABS_plastic_pipe_reducing_flange	40173709	UNSPSC
ABS_plastic_pipe_repair_clamp	40173807	UNSPSC
ABS_plastic_pipe_rupture_disk	40173909	UNSPSC
ABS_plastic_pipe_socketweld_flange	40174106	UNSPSC
ABS_plastic_pipe_spacer	40174309	UNSPSC
ABS_plastic_pipe_swivel_or_rotating_joint	40174504	UNSPSC
ABS_plastic_pipe_tee	40174610	UNSPSC
ABS_plastic_pipe_threaded_flange	40174710	UNSPSC
ABS_plastic_pipe_toilet_flange	40174805	UNSPSC
ABS_plastic_pipe_union	40174910	UNSPSC
ABS_plastic_pipe_wye	40175210	UNSPSC
Absinthium	51461533	UNSPSC
Absorbent_booms	47131907	UNSPSC
Absorbent_mats	47131901	UNSPSC
Absorbent_pans	47131906	UNSPSC
Absorbent_pillows	47131908	UNSPSC
Absorbent_socks	47131904	UNSPSC
Absorbents_(DIY)	10005626	GS1
Absorber_cartridges_or_canister_units_for_gas_anesthesia_machines	42272502	UNSPSC
Absorbers_for_wound_cleansing	42312301	UNSPSC
Absorption_chiller	40101713	UNSPSC
Absorption_chiller_heater	40101714	UNSPSC
Absorption_filters	40161509	UNSPSC
Abunidazole	51302329	UNSPSC
Abutilon_bush	10161523	UNSPSC
Abyssinian_Banana_trees_(Ensete_ventricosum)	10006935	GS1
Abyssinian_Oatplants_(Avena_Abyssinica)	10007279	GS1
Acacia_dealbata	10226802	UNSPSC
Acaciatrees_(Acacia_Spp.)	10007342	GS1
Academic_or_scientific_article_writing	82111503	UNSPSC
Academic_sponsorship	80172201	UNSPSC
Acadesine	51111620	UNSPSC
Acai_Berries	10006759	GS1
Acaipalmtrees_(Euterpe_oleracea)	10007109	GS1
Acalabrutinib	51112026	UNSPSC
Acalypha_bush	10161520	UNSPSC
Acalypha_picta_plant	10161607	UNSPSC
Acamprosate	51143204	UNSPSC
Acamprosate_calcium	51143209	UNSPSC
Acarbose	51183801	UNSPSC
Accelerometer_integrated_circuit	32101661	UNSPSC
Accelerometers	41113639	UNSPSC
Accent_Lighting_(Automotive)	10003056	GS1
Access_Control_Security_Systems	10005398	GS1
Access_control_system_installation_service	72151701	UNSPSC
Access_CoversPanels	10006900	GS1
Access_flooring	30161717	UNSPSC
Access_flooring_system_installation_service	72152501	UNSPSC
Access_roads	95111503	UNSPSC
Access_servers	43222625	UNSPSC
Access_software	43232901	UNSPSC
Accessories_for_stringed_instruments	60131506	UNSPSC
Accessories_for_tent	57060203	UNSPSC
Accessory_or_supply_kits_for_typewriters	44102609	UNSPSC
Accidental_injury_insurance	84131603	UNSPSC
