url	ns	type	id	code	name	description	soc_code	career_cluster_id	subcluster_id
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	arts-entertainment-design	arts-entertainment-design/fashion-interiors
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/utilities
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/clean-alternative-energy
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/environmental-protection
	graph.org.ai	SOC_CareerCluster_Mapping					11-9051	hospitality-events-tourism	hospitality-events-tourism/culinary-food-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9071	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
	graph.org.ai	SOC_CareerCluster_Mapping					11-9072	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
	graph.org.ai	SOC_CareerCluster_Mapping					11-9081	hospitality-events-tourism	hospitality-events-tourism/accommodations
	graph.org.ai	SOC_CareerCluster_Mapping					11-9111	healthcare-human-services	healthcare-human-services/health-data-administration
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	advanced-manufacturing	advanced-manufacturing/safety-quality-assurance
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	energy-natural-resources	energy-natural-resources/conservation-land-management
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	healthcare-human-services	healthcare-human-services/physical-health
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	healthcare-human-services	healthcare-human-services/biotechnology-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	supply-chain-transportation	supply-chain-transportation/air-space-transportation
	graph.org.ai	SOC_CareerCluster_Mapping					11-9131	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9141	financial-services	financial-services/real-estate
	graph.org.ai	SOC_CareerCluster_Mapping					11-9151	healthcare-human-services	healthcare-human-services/community-social-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9151	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9161	public-service-safety	public-service-safety/emergency-response
	graph.org.ai	SOC_CareerCluster_Mapping					11-9161	public-service-safety	public-service-safety/military-national-security
	graph.org.ai	SOC_CareerCluster_Mapping					11-9171	healthcare-human-services	healthcare-human-services/physical-health
	graph.org.ai	SOC_CareerCluster_Mapping					11-9171	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-9179	arts-entertainment-design	arts-entertainment-design/performing-arts
	graph.org.ai	SOC_CareerCluster_Mapping					11-9179	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-9199	arts-entertainment-design	arts-entertainment-design/design-digital-arts
	graph.org.ai	SOC_CareerCluster_Mapping					11-9199	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-9199	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-9199	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9199	public-service-safety	public-service-safety/military-national-security
	graph.org.ai	SOC_CareerCluster_Mapping					13-1011	arts-entertainment-design	arts-entertainment-design/performing-arts
	graph.org.ai	SOC_CareerCluster_Mapping					13-1020	marketing-sales	marketing-sales/strategic-sales
	graph.org.ai	SOC_CareerCluster_Mapping					13-1020	supply-chain-transportation	supply-chain-transportation/purchasing-warehousing
	graph.org.ai	SOC_CareerCluster_Mapping					13-1031	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					13-1032	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					13-1041	energy-natural-resources	energy-natural-resources/environmental-protection
	graph.org.ai	SOC_CareerCluster_Mapping					13-1041	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					13-1041	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					13-1041	management-entrepreneurship	management-entrepreneurship/regulation
	graph.org.ai	SOC_CareerCluster_Mapping					13-1041	public-service-safety	public-service-safety/public-safety
	graph.org.ai	SOC_CareerCluster_Mapping					13-1041	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					13-1051	construction	construction/construction-planning-development
	graph.org.ai	SOC_CareerCluster_Mapping					13-1071	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					13-1071	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					13-1074	agriculture	agriculture/agricultural-technology-automation
	graph.org.ai	SOC_CareerCluster_Mapping					13-1075	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					13-1081	supply-chain-transportation	supply-chain-transportation/planning-logistics
	graph.org.ai	SOC_CareerCluster_Mapping					13-1082	management-entrepreneurship	management-entrepreneurship/project-management
	graph.org.ai	SOC_CareerCluster_Mapping					13-1082	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					13-1111	education	education/education-administration-leadership
	graph.org.ai	SOC_CareerCluster_Mapping					13-1111	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					13-1111	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					13-1111	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					13-1121	hospitality-events-tourism	hospitality-events-tourism/conferences-events
	graph.org.ai	SOC_CareerCluster_Mapping					13-1131	hospitality-events-tourism	hospitality-events-tourism/conferences-events
	graph.org.ai	SOC_CareerCluster_Mapping					13-1141	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					13-1151	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					13-1161	marketing-sales	marketing-sales/market-research-analytics-ethics
	graph.org.ai	SOC_CareerCluster_Mapping					13-1199	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					13-1199	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					13-1199	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					13-2011	financial-services	financial-services/accounting
	graph.org.ai	SOC_CareerCluster_Mapping					13-2020	financial-services	financial-services/real-estate
	graph.org.ai	SOC_CareerCluster_Mapping					13-2031	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					13-2041	financial-services	financial-services/banking-credit
	graph.org.ai	SOC_CareerCluster_Mapping					13-2051	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					13-2051	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					13-2052	financial-services	financial-services/accounting
	graph.org.ai	SOC_CareerCluster_Mapping					13-2052	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					13-2053	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					13-2054	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					13-2061	financial-services	financial-services/banking-credit
	graph.org.ai	SOC_CareerCluster_Mapping					13-2071	financial-services	financial-services/banking-credit
	graph.org.ai	SOC_CareerCluster_Mapping					13-2072	financial-services	financial-services/banking-credit
	graph.org.ai	SOC_CareerCluster_Mapping					13-2081	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					13-2082	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					13-2099	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					15-1211	digital-technology	digital-technology/data-science-ai
	graph.org.ai	SOC_CareerCluster_Mapping					15-1211	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-1212	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-1221	digital-technology	digital-technology/data-science-ai
	graph.org.ai	SOC_CareerCluster_Mapping					15-1221	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1231	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-1231	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1232	digital-technology	digital-technology/it-support-services
	graph.org.ai	SOC_CareerCluster_Mapping					15-1232	healthcare-human-services	healthcare-human-services/health-data-administration
	graph.org.ai	SOC_CareerCluster_Mapping					15-1241	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-1241	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1242	digital-technology	digital-technology/software-solutions
	graph.org.ai	SOC_CareerCluster_Mapping					15-1243	digital-technology	digital-technology/software-solutions
	graph.org.ai	SOC_CareerCluster_Mapping					15-1243	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1244	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-1251	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-1251	digital-technology	digital-technology/software-solutions
	graph.org.ai	SOC_CareerCluster_Mapping					15-1251	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1252	arts-entertainment-design	arts-entertainment-design/design-digital-arts
	graph.org.ai	SOC_CareerCluster_Mapping					15-1252	digital-technology	digital-technology/software-solutions
	graph.org.ai	SOC_CareerCluster_Mapping					15-1252	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1253	digital-technology	digital-technology/it-support-services
	graph.org.ai	SOC_CareerCluster_Mapping					15-1253	digital-technology	digital-technology/software-solutions
	graph.org.ai	SOC_CareerCluster_Mapping					15-1254	arts-entertainment-design	arts-entertainment-design/design-digital-arts
	graph.org.ai	SOC_CareerCluster_Mapping					15-1254	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1255	arts-entertainment-design	arts-entertainment-design/design-digital-arts
	graph.org.ai	SOC_CareerCluster_Mapping					15-1255	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					15-1299	digital-technology	digital-technology/data-science-ai
	graph.org.ai	SOC_CareerCluster_Mapping					15-1299	digital-technology	digital-technology/it-support-services
	graph.org.ai	SOC_CareerCluster_Mapping					15-1299	public-service-safety	public-service-safety/military-national-security
	graph.org.ai	SOC_CareerCluster_Mapping					15-2011	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	digital-technology	digital-technology/data-science-ai
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	healthcare-human-services	healthcare-human-services/biotechnology-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	marketing-sales	marketing-sales/market-research-analytics-ethics
	graph.org.ai	SOC_CareerCluster_Mapping					15-2021	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					15-2031	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	digital-technology	digital-technology/data-science-ai
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	education	education/education-administration-leadership
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	healthcare-human-services	healthcare-human-services/biotechnology-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	healthcare-human-services	healthcare-human-services/behavioral-mental-health
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	marketing-sales	marketing-sales/market-research-analytics-ethics
	graph.org.ai	SOC_CareerCluster_Mapping					15-2041	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					15-2051	digital-technology	digital-technology/data-science-ai
	graph.org.ai	SOC_CareerCluster_Mapping					15-2051	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					15-2051	marketing-sales	marketing-sales/market-research-analytics-ethics
	graph.org.ai	SOC_CareerCluster_Mapping					15-2099	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					15-2099	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					15-2099	financial-services	financial-services/insurance
	graph.org.ai	SOC_CareerCluster_Mapping					15-2099	healthcare-human-services	healthcare-human-services/biotechnology-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					15-2099	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					17-1011	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-1012	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-1021	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-1021	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-1021	energy-natural-resources	energy-natural-resources/conservation-land-management
	graph.org.ai	SOC_CareerCluster_Mapping					17-1021	public-service-safety	public-service-safety/military-national-security
	graph.org.ai	SOC_CareerCluster_Mapping					17-1022	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-1022	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-1022	energy-natural-resources	energy-natural-resources/conservation-land-management
	graph.org.ai	SOC_CareerCluster_Mapping					17-2011	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2021	agriculture	agriculture/agricultural-technology-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2031	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2041	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2041	agriculture	agriculture/plant-systems
	graph.org.ai	SOC_CareerCluster_Mapping					17-2051	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2051	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					17-2061	digital-technology	digital-technology/it-support-services
	graph.org.ai	SOC_CareerCluster_Mapping					17-2071	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2071	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2072	energy-natural-resources	energy-natural-resources/utilities
	graph.org.ai	SOC_CareerCluster_Mapping					17-2081	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					17-2081	energy-natural-resources	energy-natural-resources/utilities
	graph.org.ai	SOC_CareerCluster_Mapping					17-2111	management-entrepreneurship	management-entrepreneurship/regulation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2112	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2121	supply-chain-transportation	supply-chain-transportation/marine-transportation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2131	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2131	arts-entertainment-design	arts-entertainment-design/fashion-interiors
	graph.org.ai	SOC_CareerCluster_Mapping					17-2131	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-2141	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2141	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2151	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-2161	energy-natural-resources	energy-natural-resources/clean-alternative-energy
	graph.org.ai	SOC_CareerCluster_Mapping					17-2161	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					17-2171	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	agriculture	agriculture/plant-systems
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	energy-natural-resources	energy-natural-resources/utilities
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	energy-natural-resources	energy-natural-resources/environmental-protection
	graph.org.ai	SOC_CareerCluster_Mapping					17-2199	energy-natural-resources	energy-natural-resources/clean-alternative-energy
	graph.org.ai	SOC_CareerCluster_Mapping					17-3011	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3012	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3012	advanced-manufacturing	advanced-manufacturing/robotics
	graph.org.ai	SOC_CareerCluster_Mapping					17-3012	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3013	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3013	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-3019	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3019	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-3021	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3021	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-3021	advanced-manufacturing	advanced-manufacturing/robotics
	graph.org.ai	SOC_CareerCluster_Mapping					17-3021	supply-chain-transportation	supply-chain-transportation/air-space-transportation
	graph.org.ai	SOC_CareerCluster_Mapping					17-3022	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					17-3022	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					17-3022	supply-chain-transportation	supply-chain-transportation/planning-logistics
	graph.org.ai	SOC_CareerCluster_Mapping					17-3023	advanced-manufacturing	advanced-manufacturing/industrial-machinery
	graph.org.ai	SOC_CareerCluster_Mapping					17-3023	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					17-3023	advanced-manufacturing	advanced-manufacturing/robotics
	graph.org.ai	SOC_CareerCluster_Mapping					17-3023	advanced-manufacturing	advanced-manufacturing/safety-quality-assurance
	graph.org.ai	SOC_CareerCluster_Mapping					17-3023	energy-natural-resources	energy-natural-resources/utilities
	graph.org.ai	SOC_CareerCluster_Mapping					17-3024	advanced-manufacturing	advanced-manufacturing/industrial-machinery
	graph.org.ai	SOC_CareerCluster_Mapping					17-3024	advanced-manufacturing	advanced-manufacturing/production-automation
