serviceId	standard	standardCode
FiberCropsProduction	UNSPSC	70141510
FruitProduction	UNSPSC	70141511
GrainProduction	UNSPSC	70141512
LegumeProduction	UNSPSC	70141512
InsecticidalPlantsProduction	UNSPSC	70141513
MedicinalPlantsProduction	UNSPSC	70141514
RootsProduction	UNSPSC	70141515
TubersProduction	UNSPSC	70141515
CerealsProduction	UNSPSC	70141516
RubberPlantProduction	UNSPSC	70141517
SpiceCropsProduction	UNSPSC	70141518
TobaccoCropProduction	UNSPSC	70141519
VegetableProduction	UNSPSC	70141520
CropSprayingServices	UNSPSC	70141601
BiologicalControlServices	UNSPSC	70141602
WeedControlServices	UNSPSC	70141603
HerbicideServices	UNSPSC	70141604
IntegratedPestManagementServices	UNSPSC	70141605
PlantPathology	UNSPSC	70141606
LocustControl	UNSPSC	70141607
AerialCropSurvey	UNSPSC	70141608
GreenhouseServices	UNSPSC	70141701
FertilizerServices	UNSPSC	70141702
CropAdministration	UNSPSC	70141703
CropSubstitution	UNSPSC	70141704
ExtensionServices	UNSPSC	70141705
CropSpecialization	UNSPSC	70141706
CultivationFarmingSystemManagement	UNSPSC	70141707
CropRotationCounselingServices	UNSPSC	70141708
DiversificationCounselingServices	UNSPSC	70141708
PlantTaxonomyServices	UNSPSC	70141709
FieldCropEntomology	UNSPSC	70141710
AgronomyConsultancyService	UNSPSC	70141711
OrchardTreePlantingServices	UNSPSC	70141801
VinePlantingServices	UNSPSC	70141801
SproutServices	UNSPSC	70141802
TwigServices	UNSPSC	70141802
CropCultivatingServices	UNSPSC	70141803
CropPlantingServices	UNSPSC	70141804
CashGrainsHarvestingServices	UNSPSC	70141901
FruitNutsHarvestingServices	UNSPSC	70141902
TreeNutsHarvestingServices	UNSPSC	70141902
FieldCropHarvestingServices	UNSPSC	70141903
SeedHarvestingServices	UNSPSC	70141904
SilosRelatedServices	UNSPSC	70142001
GrainDryersServices	UNSPSC	70142002
CropProcessingServices	UNSPSC	70142003
FieldCropsMarketPreparationServices	UNSPSC	70142004
