url	ns	type	id	name	description	code	sourceUrl
https://onet.org.ai/Occupation/Computer_and_Information_Research_Scientists	onet.org.ai	Occupation	Computer_and_Information_Research_Scientists	Computer and Information Research Scientists		15-1221.00	https://www.onetonline.org/link/summary/15-1221.00
https://onet.org.ai/Occupation/Computer_Network_Support_Specialists	onet.org.ai	Occupation	Computer_Network_Support_Specialists	Computer Network Support Specialists		15-1231.00	https://www.onetonline.org/link/summary/15-1231.00
https://onet.org.ai/Occupation/Computer_User_Support_Specialists	onet.org.ai	Occupation	Computer_User_Support_Specialists	Computer User Support Specialists		15-1232.00	https://www.onetonline.org/link/summary/15-1232.00
https://onet.org.ai/Occupation/Computer_Network_Architects	onet.org.ai	Occupation	Computer_Network_Architects	Computer Network Architects		15-1241.00	https://www.onetonline.org/link/summary/15-1241.00
https://onet.org.ai/Occupation/Telecommunications_Engineering_Specialists	onet.org.ai	Occupation	Telecommunications_Engineering_Specialists	Telecommunications Engineering Specialists		15-1241.01	https://www.onetonline.org/link/summary/15-1241.01
https://onet.org.ai/Occupation/Database_Administrators	onet.org.ai	Occupation	Database_Administrators	Database Administrators		15-1242.00	https://www.onetonline.org/link/summary/15-1242.00
https://onet.org.ai/Occupation/Database_Architects	onet.org.ai	Occupation	Database_Architects	Database Architects		15-1243.00	https://www.onetonline.org/link/summary/15-1243.00
https://onet.org.ai/Occupation/Data_Warehousing_Specialists	onet.org.ai	Occupation	Data_Warehousing_Specialists	Data Warehousing Specialists		15-1243.01	https://www.onetonline.org/link/summary/15-1243.01
https://onet.org.ai/Occupation/Network_and_Computer_Systems_Administrators	onet.org.ai	Occupation	Network_and_Computer_Systems_Administrators	Network and Computer Systems Administrators		15-1244.00	https://www.onetonline.org/link/summary/15-1244.00
https://onet.org.ai/Occupation/Computer_Programmers	onet.org.ai	Occupation	Computer_Programmers	Computer Programmers		15-1251.00	https://www.onetonline.org/link/summary/15-1251.00
https://onet.org.ai/Occupation/Software_Developers	onet.org.ai	Occupation	Software_Developers	Software Developers		15-1252.00	https://www.onetonline.org/link/summary/15-1252.00
https://onet.org.ai/Occupation/Software_Quality_Assurance_Analysts_and_Testers	onet.org.ai	Occupation	Software_Quality_Assurance_Analysts_and_Testers	Software Quality Assurance Analysts and Testers		15-1253.00	https://www.onetonline.org/link/summary/15-1253.00
https://onet.org.ai/Occupation/Web_Developers	onet.org.ai	Occupation	Web_Developers	Web Developers		15-1254.00	https://www.onetonline.org/link/summary/15-1254.00
https://onet.org.ai/Occupation/Web_and_Digital_Interface_Designers	onet.org.ai	Occupation	Web_and_Digital_Interface_Designers	Web and Digital Interface Designers		15-1255.00	https://www.onetonline.org/link/summary/15-1255.00
https://onet.org.ai/Occupation/Video_Game_Designers	onet.org.ai	Occupation	Video_Game_Designers	Video Game Designers		15-1255.01	https://www.onetonline.org/link/summary/15-1255.01
https://onet.org.ai/Occupation/Computer_Occupations,_All_Other	onet.org.ai	Occupation	Computer_Occupations,_All_Other	Computer Occupations, All Other		15-1299.00	https://www.onetonline.org/link/summary/15-1299.00
https://onet.org.ai/Occupation/Web_Administrators	onet.org.ai	Occupation	Web_Administrators	Web Administrators		15-1299.01	https://www.onetonline.org/link/summary/15-1299.01
https://onet.org.ai/Occupation/Geographic_Information_Systems_Technologists_and_Technicians	onet.org.ai	Occupation	Geographic_Information_Systems_Technologists_and_Technicians	Geographic Information Systems Technologists and Technicians		15-1299.02	https://www.onetonline.org/link/summary/15-1299.02
https://onet.org.ai/Occupation/Document_Management_Specialists	onet.org.ai	Occupation	Document_Management_Specialists	Document Management Specialists		15-1299.03	https://www.onetonline.org/link/summary/15-1299.03
https://onet.org.ai/Occupation/Penetration_Testers	onet.org.ai	Occupation	Penetration_Testers	Penetration Testers		15-1299.04	https://www.onetonline.org/link/summary/15-1299.04
https://onet.org.ai/Occupation/Information_Security_Engineers	onet.org.ai	Occupation	Information_Security_Engineers	Information Security Engineers		15-1299.05	https://www.onetonline.org/link/summary/15-1299.05
https://onet.org.ai/Occupation/Digital_Forensics_Analysts	onet.org.ai	Occupation	Digital_Forensics_Analysts	Digital Forensics Analysts		15-1299.06	https://www.onetonline.org/link/summary/15-1299.06
https://onet.org.ai/Occupation/Blockchain_Engineers	onet.org.ai	Occupation	Blockchain_Engineers	Blockchain Engineers		15-1299.07	https://www.onetonline.org/link/summary/15-1299.07
https://onet.org.ai/Occupation/Computer_Systems_Engineers_Architects	onet.org.ai	Occupation	Computer_Systems_Engineers_Architects	Computer Systems Engineers/Architects		15-1299.08	https://www.onetonline.org/link/summary/15-1299.08
https://onet.org.ai/Occupation/Information_Technology_Project_Managers	onet.org.ai	Occupation	Information_Technology_Project_Managers	Information Technology Project Managers		15-1299.09	https://www.onetonline.org/link/summary/15-1299.09
https://onet.org.ai/Occupation/Actuaries	onet.org.ai	Occupation	Actuaries	Actuaries		15-2011.00	https://www.onetonline.org/link/summary/15-2011.00
https://onet.org.ai/Occupation/Mathematicians	onet.org.ai	Occupation	Mathematicians	Mathematicians		15-2021.00	https://www.onetonline.org/link/summary/15-2021.00
https://onet.org.ai/Occupation/Operations_Research_Analysts	onet.org.ai	Occupation	Operations_Research_Analysts	Operations Research Analysts		15-2031.00	https://www.onetonline.org/link/summary/15-2031.00
https://onet.org.ai/Occupation/Statisticians	onet.org.ai	Occupation	Statisticians	Statisticians		15-2041.00	https://www.onetonline.org/link/summary/15-2041.00
https://onet.org.ai/Occupation/Biostatisticians	onet.org.ai	Occupation	Biostatisticians	Biostatisticians		15-2041.01	https://www.onetonline.org/link/summary/15-2041.01
https://onet.org.ai/Occupation/Data_Scientists	onet.org.ai	Occupation	Data_Scientists	Data Scientists		15-2051.00	https://www.onetonline.org/link/summary/15-2051.00
https://onet.org.ai/Occupation/Business_Intelligence_Analysts	onet.org.ai	Occupation	Business_Intelligence_Analysts	Business Intelligence Analysts		15-2051.01	https://www.onetonline.org/link/summary/15-2051.01
https://onet.org.ai/Occupation/Clinical_Data_Managers	onet.org.ai	Occupation	Clinical_Data_Managers	Clinical Data Managers		15-2051.02	https://www.onetonline.org/link/summary/15-2051.02
https://onet.org.ai/Occupation/Mathematical_Science_Occupations,_All_Other	onet.org.ai	Occupation	Mathematical_Science_Occupations,_All_Other	Mathematical Science Occupations, All Other		15-2099.00	https://www.onetonline.org/link/summary/15-2099.00
https://onet.org.ai/Occupation/Bioinformatics_Technicians	onet.org.ai	Occupation	Bioinformatics_Technicians	Bioinformatics Technicians		15-2099.01	https://www.onetonline.org/link/summary/15-2099.01
https://onet.org.ai/Occupation/Architects,_Except_Landscape_and_Naval	onet.org.ai	Occupation	Architects,_Except_Landscape_and_Naval	Architects, Except Landscape and Naval		17-1011.00	https://www.onetonline.org/link/summary/17-1011.00
https://onet.org.ai/Occupation/Landscape_Architects	onet.org.ai	Occupation	Landscape_Architects	Landscape Architects		17-1012.00	https://www.onetonline.org/link/summary/17-1012.00
https://onet.org.ai/Occupation/Cartographers_and_Photogrammetrists	onet.org.ai	Occupation	Cartographers_and_Photogrammetrists	Cartographers and Photogrammetrists		17-1021.00	https://www.onetonline.org/link/summary/17-1021.00
https://onet.org.ai/Occupation/Surveyors	onet.org.ai	Occupation	Surveyors	Surveyors		17-1022.00	https://www.onetonline.org/link/summary/17-1022.00
https://onet.org.ai/Occupation/Geodetic_Surveyors	onet.org.ai	Occupation	Geodetic_Surveyors	Geodetic Surveyors		17-1022.01	https://www.onetonline.org/link/summary/17-1022.01
https://onet.org.ai/Occupation/Aerospace_Engineers	onet.org.ai	Occupation	Aerospace_Engineers	Aerospace Engineers		17-2011.00	https://www.onetonline.org/link/summary/17-2011.00
https://onet.org.ai/Occupation/Agricultural_Engineers	onet.org.ai	Occupation	Agricultural_Engineers	Agricultural Engineers		17-2021.00	https://www.onetonline.org/link/summary/17-2021.00
https://onet.org.ai/Occupation/Bioengineers_and_Biomedical_Engineers	onet.org.ai	Occupation	Bioengineers_and_Biomedical_Engineers	Bioengineers and Biomedical Engineers		17-2031.00	https://www.onetonline.org/link/summary/17-2031.00
https://onet.org.ai/Occupation/Chemical_Engineers	onet.org.ai	Occupation	Chemical_Engineers	Chemical Engineers		17-2041.00	https://www.onetonline.org/link/summary/17-2041.00
https://onet.org.ai/Occupation/Civil_Engineers	onet.org.ai	Occupation	Civil_Engineers	Civil Engineers		17-2051.00	https://www.onetonline.org/link/summary/17-2051.00
https://onet.org.ai/Occupation/Transportation_Engineers	onet.org.ai	Occupation	Transportation_Engineers	Transportation Engineers		17-2051.01	https://www.onetonline.org/link/summary/17-2051.01
https://onet.org.ai/Occupation/Water_Wastewater_Engineers	onet.org.ai	Occupation	Water_Wastewater_Engineers	Water/Wastewater Engineers		17-2051.02	https://www.onetonline.org/link/summary/17-2051.02
https://onet.org.ai/Occupation/Computer_Hardware_Engineers	onet.org.ai	Occupation	Computer_Hardware_Engineers	Computer Hardware Engineers		17-2061.00	https://www.onetonline.org/link/summary/17-2061.00
https://onet.org.ai/Occupation/Electrical_Engineers	onet.org.ai	Occupation	Electrical_Engineers	Electrical Engineers		17-2071.00	https://www.onetonline.org/link/summary/17-2071.00
https://onet.org.ai/Occupation/Electronics_Engineers,_Except_Computer	onet.org.ai	Occupation	Electronics_Engineers,_Except_Computer	Electronics Engineers, Except Computer		17-2072.00	https://www.onetonline.org/link/summary/17-2072.00
https://onet.org.ai/Occupation/Radio_Frequency_Identification_Device_Specialists	onet.org.ai	Occupation	Radio_Frequency_Identification_Device_Specialists	Radio Frequency Identification Device Specialists		17-2072.01	https://www.onetonline.org/link/summary/17-2072.01
https://onet.org.ai/Occupation/Environmental_Engineers	onet.org.ai	Occupation	Environmental_Engineers	Environmental Engineers		17-2081.00	https://www.onetonline.org/link/summary/17-2081.00
https://onet.org.ai/Occupation/Health_and_Safety_Engineers,_Except_Mining_Safety_Engineers_and_Inspectors	onet.org.ai	Occupation	Health_and_Safety_Engineers,_Except_Mining_Safety_Engineers_and_Inspectors	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors		17-2111.00	https://www.onetonline.org/link/summary/17-2111.00
https://onet.org.ai/Occupation/Fire-Prevention_and_Protection_Engineers	onet.org.ai	Occupation	Fire-Prevention_and_Protection_Engineers	Fire-Prevention and Protection Engineers		17-2111.02	https://www.onetonline.org/link/summary/17-2111.02
