compound	component	position	totalComponents
ItRiskMitigationMeasures	Measures	3	4
ItContinuity	It	0	2
ItContinuity	Continuity	1	2
ItSecurity	It	0	2
ItSecurity	Security	1	2
ItBusinessContinuityPlanning	It	0	4
ItBusinessContinuityPlanning	Business	1	4
ItBusinessContinuityPlanning	Continuity	2	4
ItBusinessContinuityPlanning	Planning	3	4
DevelopmentMethodologiesTools	Development	0	3
DevelopmentMethodologiesTools	Methodologies	1	3
DevelopmentMethodologiesTools	Tools	2	3
TreasuryOperations	Treasury	0	2
TreasuryOperations	Operations	1	2
TreasuryPolicies	Treasury	0	2
TreasuryPolicies	Policies	1	2
ComplianceProgram	Compliance	0	2
ComplianceProgram	Program	1	2
ExistingKmApproaches	Existing	0	3
ExistingKmApproaches	Km	1	3
ExistingKmApproaches	Approaches	2	3
KmApproaches	Km	0	2
KmApproaches	Approaches	1	2
StrategicOptions	Strategic	0	2
StrategicOptions	Options	1	2
ConstructionWork	Construction	0	2
ConstructionWork	Work	1	2
TestData	Test	0	2
TestData	Data	1	2
MachineControls	Machine	0	2
MachineControls	Controls	1	2
MaintainRequiredTemperatures	Maintain	0	3
MaintainRequiredTemperatures	Required	1	3
MaintainRequiredTemperatures	Temperatures	2	3
ApprovalLimits	Approval	0	2
ApprovalLimits	Limits	1	2
OrganizationalGoals	Organizational	0	2
OrganizationalGoals	Goals	1	2
OtherStaffMembers	Other	0	3
OtherStaffMembers	Staff	1	3
OtherStaffMembers	Members	2	3
SupplementPresentations	Supplement	0	2
SupplementPresentations	Presentations	1	2
BusinessUnit	Business	0	2
BusinessUnit	Unit	1	2
CompetitiveAnalysis	Competitive	0	2
CompetitiveAnalysis	Analysis	1	2
ResourcePlan	Resource	0	2
ResourcePlan	Plan	1	2
ImprovementOpportunities	Improvement	0	2
ImprovementOpportunities	Opportunities	1	2
EmployeeInductionProgram	Employee	0	3
EmployeeInductionProgram	Induction	1	3
EmployeeInductionProgram	Program	2	3
EmployeeTimeWorked	Employee	0	3
EmployeeTimeWorked	Time	1	3
EmployeeTimeWorked	Worked	2	3
AssetConstruction	Asset	0	2
AssetConstruction	Construction	1	2
AssetMaintenance	Asset	0	2
AssetMaintenance	Maintenance	1	2
LenderRelations	Lender	0	2
LenderRelations	Relations	1	2
AnalystRelations	Analyst	0	2
AnalystRelations	Relations	1	2
TechnicalSupport	Technical	0	2
TechnicalSupport	Support	1	2
ProductionProcess	Production	0	2
ProductionProcess	Process	1	2
JobRequisitions	Job	0	2
JobRequisitions	Requisitions	1	2
ServiceDeliveryResources	Service	0	3
ServiceDeliveryResources	Delivery	1	3
ServiceDeliveryResources	Resources	2	3
CommunityEvents	Community	0	2
CommunityEvents	Events	1	2
InboundDeliveries	Inbound	0	2
InboundDeliveries	Deliveries	1	2
OutboundProduct	Outbound	0	2
OutboundProduct	Product	1	2
WarrantyPolicies	Warranty	0	2
WarrantyPolicies	Policies	1	2
StudentRecruitment	Student	0	2
StudentRecruitment	Recruitment	1	2
ReadingCurrentLiterature	Reading	0	3
ReadingCurrentLiterature	Current	1	3
ReadingCurrentLiterature	Literature	2	3
InboundMaterialFlow	Inbound	0	3
InboundMaterialFlow	Material	1	3
InboundMaterialFlow	Flow	2	3
CustomerServiceExperience	Customer	0	3
CustomerServiceExperience	Service	1	3
CustomerServiceExperience	Experience	2	3
CustomerServiceWorkForce	Customer	0	4
CustomerServiceWorkForce	Service	1	4
CustomerServiceWorkForce	Work	2	4
CustomerServiceWorkForce	Force	3	4
AdviseStudents	Advise	0	2
AdviseStudents	Students	1	2
AssistStudents	Assist	0	2
AssistStudents	Students	1	2
MarketOpportunities	Market	0	2
MarketOpportunities	Opportunities	1	2
SalesOrders	Sales	0	2
SalesOrders	Orders	1	2
CostEstimates	Cost	0	2
CostEstimates	Estimates	1	2
ParticularField	Particular	0	2
ParticularField	Field	1	2
AddressTeachingIssues	Address	0	3
AddressTeachingIssues	Teaching	1	3
AddressTeachingIssues	Issues	2	3
ResearchIssues	Research	0	2
ResearchIssues	Issues	1	2
ProspectiveCustomers	Prospective	0	2
ProspectiveCustomers	Customers	1	2
DesignSpecifications	Design	0	2
DesignSpecifications	Specifications	1	2
SalesPartners	Sales	0	2
SalesPartners	Partners	1	2
StaffMembers	Staff	0	2
StaffMembers	Members	1	2
CourseMaterials	Course	0	2
CourseMaterials	Materials	1	2
StudentAttendanceRecords	Student	0	3
StudentAttendanceRecords	Attendance	1	3
StudentAttendanceRecords	Records	2	3
OtherRequiredRecords	Other	0	3
OtherRequiredRecords	Required	1	3
OtherRequiredRecords	Records	2	3
KnowledgeFindings	Knowledge	0	2
KnowledgeFindings	Findings	1	2
SpecializedMaterials	Specialized	0	2
SpecializedMaterials	Materials	1	2
OutsideReadingAssignments	Outside	0	3
OutsideReadingAssignments	Reading	1	3
OutsideReadingAssignments	Assignments	2	3
CampusEvents	Campus	0	2
CampusEvents	Events	1	2
PlacementActivities	Placement	0	2
PlacementActivities	Activities	1	2
StudentOrganizations	Student	0	2
StudentOrganizations	Organizations	1	2
RepairingShipEquipment	Repairing	0	3
RepairingShipEquipment	Ship	1	3
RepairingShipEquipment	Equipment	2	3
ProjectPlans	Project	0	2
ProjectPlans	Plans	1	2
ProfessionalConferences	Professional	0	2
ProfessionalConferences	Conferences	1	2
GradeStudentsClassWork	Grade	0	4
