skillId	occupationId
Active_Learning	Cleaning,_Washing,_and_Metal_Pickling_Equipment_Operators_and_Tenders
Active_Learning	Clergy
Active_Learning	Climate_Change_Policy_Analysts
Active_Learning	Clinical_and_Counseling_Psychologists
Active_Learning	Clinical_Data_Managers
Active_Learning	Clinical_Neuropsychologists
Active_Learning	Clinical_Nurse_Specialists
Active_Learning	Clinical_Research_Coordinators
Active_Learning	Coaches_and_Scouts
Active_Learning	Coating,_Painting,_and_Spraying_Machine_Setters,_Operators,_and_Tenders
Active_Learning	Coil_Winders,_Tapers,_and_Finishers
Active_Learning	Coin,_Vending,_and_Amusement_Machine_Servicers_and_Repairers
Active_Learning	Commercial_and_Industrial_Designers
Active_Learning	Commercial_Divers
Active_Learning	Commercial_Pilots
Active_Learning	Communications_Teachers,_Postsecondary
Active_Learning	Community_Health_Workers
Active_Learning	Compensation_and_Benefits_Managers
Active_Learning	Compensation,_Benefits,_and_Job_Analysis_Specialists
Active_Learning	Compliance_Managers
Active_Learning	Compliance_Officers
Active_Learning	Computer_and_Information_Research_Scientists
Active_Learning	Computer_and_Information_Systems_Managers
Active_Learning	Computer_Hardware_Engineers
Active_Learning	Computer_Network_Architects
Active_Learning	Computer_Network_Support_Specialists
Active_Learning	Computer_Numerically_Controlled_Tool_Operators
Active_Learning	Computer_Numerically_Controlled_Tool_Programmers
Active_Learning	Computer_Programmers
Active_Learning	Computer_Science_Teachers,_Postsecondary
Active_Learning	Computer_Systems_Analysts
Active_Learning	Computer_Systems_Engineers_Architects
Active_Learning	Computer_User_Support_Specialists
Active_Learning	Computer,_Automated_Teller,_and_Office_Machine_Repairers
Active_Learning	Concierges
Active_Learning	Conservation_Scientists
Active_Learning	Construction_and_Building_Inspectors
Active_Learning	Construction_Laborers
Active_Learning	Construction_Managers
Active_Learning	Continuous_Mining_Machine_Operators
Active_Learning	Control_and_Valve_Installers_and_Repairers,_Except_Mechanical_Door
Active_Learning	Conveyor_Operators_and_Tenders
Active_Learning	Cooks,_Fast_Food
Active_Learning	Cooks,_Institution_and_Cafeteria
Active_Learning	Cooks,_Private_Household
Active_Learning	Cooks,_Restaurant
Active_Learning	Cooks,_Short_Order
Active_Learning	Cooling_and_Freezing_Equipment_Operators_and_Tenders
Active_Learning	Coroners
Active_Learning	Correctional_Officers_and_Jailers
Active_Learning	Correspondence_Clerks
Active_Learning	Cost_Estimators
Active_Learning	Costume_Attendants
Active_Learning	Counter_and_Rental_Clerks
Active_Learning	Couriers_and_Messengers
Active_Learning	Court_Reporters_and_Simultaneous_Captioners
Active_Learning	Court,_Municipal,_and_License_Clerks
Active_Learning	Craft_Artists
Active_Learning	Crane_and_Tower_Operators
Active_Learning	Credit_Analysts
Active_Learning	Credit_Authorizers,_Checkers,_and_Clerks
Active_Learning	Credit_Counselors
Active_Learning	Criminal_Justice_and_Law_Enforcement_Teachers,_Postsecondary
Active_Learning	Critical_Care_Nurses
Active_Learning	Crossing_Guards_and_Flaggers
Active_Learning	Crushing,_Grinding,_and_Polishing_Machine_Setters,_Operators,_and_Tenders
Active_Learning	Curators
Active_Learning	Customer_Service_Representatives
Active_Learning	Customs_and_Border_Protection_Officers
Active_Learning	Customs_Brokers
Active_Learning	Cutters_and_Trimmers,_Hand
Active_Learning	Cutting_and_Slicing_Machine_Setters,_Operators,_and_Tenders
Active_Learning	Cutting,_Punching,_and_Press_Machine_Setters,_Operators,_and_Tenders,_Metal_and_Plastic
Active_Learning	Cytogenetic_Technologists
Active_Learning	Cytotechnologists
Active_Learning	Dancers
Active_Learning	Data_Entry_Keyers
Active_Learning	Data_Warehousing_Specialists
Active_Learning	Database_Administrators
Active_Learning	Database_Architects
Active_Learning	Demonstrators_and_Product_Promoters
Active_Learning	Dental_Assistants
Active_Learning	Dental_Hygienists
Active_Learning	Dental_Laboratory_Technicians
Active_Learning	Dentists,_General
Active_Learning	Dermatologists
Active_Learning	Derrick_Operators,_Oil_and_Gas
Active_Learning	Desktop_Publishers
Active_Learning	Detectives_and_Criminal_Investigators
Active_Learning	Diagnostic_Medical_Sonographers
Active_Learning	Dietetic_Technicians
Active_Learning	Dietitians_and_Nutritionists
Active_Learning	Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers
Active_Learning	Directors,_Religious_Activities_and_Education
Active_Learning	Dishwashers
Active_Learning	Dispatchers,_Except_Police,_Fire,_and_Ambulance
Active_Learning	Document_Management_Specialists
Active_Learning	Door-to-Door_Sales_Workers,_News_and_Street_Vendors,_and_Related_Workers
Active_Learning	Dredge_Operators
Active_Learning	Drilling_and_Boring_Machine_Tool_Setters,_Operators,_and_Tenders,_Metal_and_Plastic
Active_Learning	Driver_Sales_Workers
Active_Learning	Drywall_and_Ceiling_Tile_Installers
Active_Learning	Earth_Drillers,_Except_Oil_and_Gas
Active_Learning	Economics_Teachers,_Postsecondary
Active_Learning	Economists
Active_Learning	Editors
Active_Learning	Education_Administrators,_Kindergarten_through_Secondary
Active_Learning	Education_Administrators,_Postsecondary
Active_Learning	Education_and_Childcare_Administrators,_Preschool_and_Daycare
Active_Learning	Education_Teachers,_Postsecondary
Active_Learning	Educational,_Guidance,_and_Career_Counselors_and_Advisors
Active_Learning	Electric_Motor,_Power_Tool,_and_Related_Repairers
Active_Learning	Electrical_and_Electronic_Engineering_Technologists_and_Technicians
Active_Learning	Electrical_and_Electronic_Equipment_Assemblers
Active_Learning	Electrical_and_Electronics_Drafters
Active_Learning	Electrical_and_Electronics_Installers_and_Repairers,_Transportation_Equipment
Active_Learning	Electrical_and_Electronics_Repairers,_Commercial_and_Industrial_Equipment
Active_Learning	Electrical_and_Electronics_Repairers,_Powerhouse,_Substation,_and_Relay
Active_Learning	Electrical_Engineers
Active_Learning	Electrical_Power-Line_Installers_and_Repairers
Active_Learning	Electricians
Active_Learning	Electro-Mechanical_and_Mechatronics_Technologists_and_Technicians
Active_Learning	Electromechanical_Equipment_Assemblers
Active_Learning	Electronic_Equipment_Installers_and_Repairers,_Motor_Vehicles
Active_Learning	Electronics_Engineers,_Except_Computer
Active_Learning	Elementary_School_Teachers,_Except_Special_Education
Active_Learning	Elevator_and_Escalator_Installers_and_Repairers
Active_Learning	Eligibility_Interviewers,_Government_Programs
Active_Learning	Embalmers
Active_Learning	Emergency_Management_Directors
Active_Learning	Emergency_Medicine_Physicians
Active_Learning	Endoscopy_Technicians
Active_Learning	Energy_Auditors
Active_Learning	Energy_Engineers,_Except_Wind_and_Solar
Active_Learning	Engine_and_Other_Machine_Assemblers
Active_Learning	Engineering_Teachers,_Postsecondary
Active_Learning	English_Language_and_Literature_Teachers,_Postsecondary
Active_Learning	Entertainment_and_Recreation_Managers,_Except_Gambling
Active_Learning	Environmental_Compliance_Inspectors
Active_Learning	Environmental_Economists
Active_Learning	Environmental_Engineering_Technologists_and_Technicians
Active_Learning	Environmental_Engineers
Active_Learning	Environmental_Restoration_Planners
Active_Learning	Environmental_Science_and_Protection_Technicians,_Including_Health
Active_Learning	Environmental_Science_Teachers,_Postsecondary
Active_Learning	Environmental_Scientists_and_Specialists,_Including_Health
Active_Learning	Epidemiologists
Active_Learning	Equal_Opportunity_Representatives_and_Officers
Active_Learning	Etchers_and_Engravers
Active_Learning	Excavating_and_Loading_Machine_and_Dragline_Operators,_Surface_Mining
Active_Learning	Executive_Secretaries_and_Executive_Administrative_Assistants
Active_Learning	Exercise_Physiologists
Active_Learning	Exercise_Trainers_and_Group_Fitness_Instructors
Active_Learning	Explosives_Workers,_Ordnance_Handling_Experts,_and_Blasters
Active_Learning	Extruding_and_Drawing_Machine_Setters,_Operators,_and_Tenders,_Metal_and_Plastic
Active_Learning	Extruding_and_Forming_Machine_Setters,_Operators,_and_Tenders,_Synthetic_and_Glass_Fibers
Active_Learning	Extruding,_Forming,_Pressing,_and_Compacting_Machine_Setters,_Operators,_and_Tenders
Active_Learning	Fabric_and_Apparel_Patternmakers
Active_Learning	Facilities_Managers
Active_Learning	Fallers
Active_Learning	Family_and_Consumer_Sciences_Teachers,_Postsecondary
Active_Learning	Family_Medicine_Physicians
Active_Learning	Farm_and_Home_Management_Educators
Active_Learning	Farm_Equipment_Mechanics_and_Service_Technicians
Active_Learning	Farm_Labor_Contractors
Active_Learning	Farmers,_Ranchers,_and_Other_Agricultural_Managers
Active_Learning	Farmworkers_and_Laborers,_Crop,_Nursery,_and_Greenhouse
Active_Learning	Farmworkers,_Farm,_Ranch,_and_Aquacultural_Animals
Active_Learning	Fashion_Designers
Active_Learning	Fast_Food_and_Counter_Workers
Active_Learning	Fence_Erectors
Active_Learning	Fiberglass_Laminators_and_Fabricators
Active_Learning	File_Clerks
Active_Learning	Film_and_Video_Editors
Active_Learning	Financial_Examiners
Active_Learning	Financial_Managers
Active_Learning	Financial_Quantitative_Analysts
Active_Learning	Fine_Artists,_Including_Painters,_Sculptors,_and_Illustrators
Active_Learning	Fire_Inspectors_and_Investigators
Active_Learning	Fire-Prevention_and_Protection_Engineers
Active_Learning	Firefighters
Active_Learning	First-Line_Supervisors_of_Construction_Trades_and_Extraction_Workers
Active_Learning	First-Line_Supervisors_of_Correctional_Officers
Active_Learning	First-Line_Supervisors_of_Farming,_Fishing,_and_Forestry_Workers
Active_Learning	First-Line_Supervisors_of_Firefighting_and_Prevention_Workers
Active_Learning	First-Line_Supervisors_of_Food_Preparation_and_Serving_Workers
