url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy
https://schema.org.ai/Type/Schema:publictoilet	schema.org.ai	Type	Schema:publictoilet	schema:PublicToilet	schema:PublicToilet		PublicToilet	A public toilet is a room or small building containing one or more toilets (and possibly also urinals) which is available for use by the general public, or by customers or employees of certain businesses.	schema:CivicStructure	
https://schema.org.ai/Type/Schema:performingartstheater	schema.org.ai	Type	Schema:performingartstheater	schema:PerformingArtsTheater	schema:PerformingArtsTheater		PerformingArtsTheater	A theater or other performing art center.	schema:CivicStructure	
https://schema.org.ai/Type/Schema:datadownload	schema.org.ai	Type	Schema:datadownload	schema:DataDownload	schema:DataDownload		DataDownload	All or part of a [[Dataset]] in downloadable form.	schema:MediaObject	
https://schema.org.ai/Type/Schema:educationaloccupationalcredential	schema.org.ai	Type	Schema:educationaloccupationalcredential	schema:EducationalOccupationalCredential	schema:EducationalOccupationalCredential		EducationalOccupationalCredential	An educational or occupational credential. A diploma, academic degree, certification, qualification, badge, etc., that may be awarded to a person or other entity that meets the requirements defined by the credentialer.	schema:CreativeWork	
https://schema.org.ai/Type/Schema:language	schema.org.ai	Type	Schema:language	schema:Language	schema:Language		Language	Natural languages such as Spanish, Tamil, Hindi, English, etc. Formal language code tags expressed in [BCP 47](https://en.wikipedia.org/wiki/IETF_language_tag) can be used via the [[alternateName]] property. The Language type previously also covered programming languages such as Scheme and Lisp, which are now best represented using [[ComputerLanguage]].	schema:Intangible	
https://schema.org.ai/Type/Schema:riverbodyofwater	schema.org.ai	Type	Schema:riverbodyofwater	schema:RiverBodyOfWater	schema:RiverBodyOfWater		RiverBodyOfWater	A river (for example, the broad majestic Shannon).	schema:BodyOfWater	
https://schema.org.ai/Type/Schema:collectionpage	schema.org.ai	Type	Schema:collectionpage	schema:CollectionPage	schema:CollectionPage		CollectionPage	Web page type: Collection page.	schema:WebPage	
https://schema.org.ai/Type/Schema:medicalstudy	schema.org.ai	Type	Schema:medicalstudy	schema:MedicalStudy	schema:MedicalStudy		MedicalStudy	A medical study is an umbrella type covering all kinds of research studies relating to human medicine or health, including observational studies and interventional trials and registries, randomized, controlled or not. When the specific type of study is known, use one of the extensions of this type, such as MedicalTrial or MedicalObservationalStudy. Also, note that this type should be used to mark up data that describes the study itself; to tag an article that publishes the results of a study, use MedicalScholarlyArticle. Note: use the code property of MedicalEntity to store study IDs, e.g. clinicaltrials.gov ID.	schema:MedicalEntity	
https://schema.org.ai/Type/Schema:eventattendancemodeenumeration	schema.org.ai	Type	Schema:eventattendancemodeenumeration	schema:EventAttendanceModeEnumeration	schema:EventAttendanceModeEnumeration		EventAttendanceModeEnumeration	An EventAttendanceModeEnumeration value is one of potentially several modes of organising an event, relating to whether it is online or offline.	schema:Enumeration	
https://schema.org.ai/Type/Schema:periodical	schema.org.ai	Type	Schema:periodical	schema:Periodical	schema:Periodical		Periodical	A publication in any medium issued in successive parts bearing numerical or chronological designations and intended to continue indefinitely, such as a magazine, scholarly journal, or newspaper.\n\nSee also [blog post](https://blog.schema.org/2014/09/02/schema-org-support-for-bibliographic-relationships-and-periodicals/).	schema:CreativeWorkSeries	
https://schema.org.ai/Type/Schema:rsvpresponsetype	schema.org.ai	Type	Schema:rsvpresponsetype	schema:RsvpResponseType	schema:RsvpResponseType		RsvpResponseType	RsvpResponseType is an enumeration type whose instances represent responding to an RSVP request.	schema:Enumeration	
https://schema.org.ai/Type/Schema:visualartwork	schema.org.ai	Type	Schema:visualartwork	schema:VisualArtwork	schema:VisualArtwork		VisualArtwork	A work of art that is primarily visual in character.	schema:CreativeWork	
