ns	from	to	predicate	reverse
Industries	FloricultureProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	GreenhouseProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	FloricultureProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	FloricultureProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	TreeProduction	hasSubIndustry	partOfIndustry
Industries	FloricultureProduction	TreeProduction	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	FloricultureProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	CropProduction	OtherCropFarming	hasSubIndustry	partOfIndustry
Industries	OtherCropFarming	TobaccoFarming	hasSubIndustry	partOfIndustry
Industries	TobaccoFarming	TobaccoFarming	hasSubIndustry	partOfIndustry
Industries	OtherCropFarming	CottonFarming	hasSubIndustry	partOfIndustry
Industries	CottonFarming	CottonFarming	hasSubIndustry	partOfIndustry
Industries	OtherCropFarming	SugarcaneFarming	hasSubIndustry	partOfIndustry
Industries	SugarcaneFarming	SugarcaneFarming	hasSubIndustry	partOfIndustry
Industries	OtherCropFarming	HayFarming	hasSubIndustry	partOfIndustry
Industries	HayFarming	HayFarming	hasSubIndustry	partOfIndustry
Industries	OtherCropFarming	AllOtherCropFarming	hasSubIndustry	partOfIndustry
Industries	AllOtherCropFarming	SugarBeetFarming	hasSubIndustry	partOfIndustry
Industries	AllOtherCropFarming	PeanutFarming	hasSubIndustry	partOfIndustry
Industries	AllOtherCropFarming	AllOtherMiscellaneousCropFarming	hasSubIndustry	partOfIndustry
Industries	Agriculture	AnimalProduction	hasSubIndustry	partOfIndustry
Industries	Agriculture	Aquaculture	hasSubIndustry	partOfIndustry
Industries	AnimalProduction	CattleRanching	hasSubIndustry	partOfIndustry
Industries	Aquaculture	CattleRanching	hasSubIndustry	partOfIndustry
Industries	AnimalProduction	Farming	hasSubIndustry	partOfIndustry
Industries	Aquaculture	Farming	hasSubIndustry	partOfIndustry
Industries	CattleRanching	BeefCattleRanching	hasSubIndustry	partOfIndustry
Industries	Farming	BeefCattleRanching	hasSubIndustry	partOfIndustry
Industries	CattleRanching	Farming	hasSubIndustry	partOfIndustry
Industries	Farming	Farming	hasSubIndustry	partOfIndustry
Industries	CattleRanching	Feedlots	hasSubIndustry	partOfIndustry
Industries	Farming	Feedlots	hasSubIndustry	partOfIndustry
Industries	BeefCattleRanching	BeefCattleRanching	hasSubIndustry	partOfIndustry
Industries	Farming	BeefCattleRanching	hasSubIndustry	partOfIndustry
Industries	Feedlots	BeefCattleRanching	hasSubIndustry	partOfIndustry
