$id	$type	$context	name	description	code	subClassOf	url
https://schema.org.ai/PronounceableText	https://schema.org.ai/Class	https://schema.org.ai	PronounceableText	Data type: PronounceableText.	schema:PronounceableText	schema:Text	schema:PronounceableText
https://schema.org.ai/ArriveAction	https://schema.org.ai/Class	https://schema.org.ai	ArriveAction	The act of arriving at a place. An agent arrives at a destination from a fromLocation, optionally with participants.	schema:ArriveAction	schema:MoveAction	schema:ArriveAction
https://schema.org.ai/MedicalRiskScore	https://schema.org.ai/Class	https://schema.org.ai	MedicalRiskScore	A simple system that adds up the number of risk factors to yield a score that is associated with prognosis, e.g. CHAD score, TIMI risk score.	schema:MedicalRiskScore	schema:MedicalRiskEstimator	schema:MedicalRiskScore
https://schema.org.ai/Conversation	https://schema.org.ai/Class	https://schema.org.ai	Conversation	One or more messages between organizations or people on a particular topic. Individual messages can be linked to the conversation with isPartOf or hasPart properties.	schema:Conversation	schema:CreativeWork	schema:Conversation
https://schema.org.ai/AutoRepair	https://schema.org.ai/Class	https://schema.org.ai	AutoRepair	Car repair business.	schema:AutoRepair	schema:AutomotiveBusiness	schema:AutoRepair
https://schema.org.ai/PaymentStatusType	https://schema.org.ai/Class	https://schema.org.ai	PaymentStatusType	A specific payment status. For example, PaymentDue, PaymentComplete, etc.	schema:PaymentStatusType	schema:StatusEnumeration	schema:PaymentStatusType
https://schema.org.ai/VacationRental	https://schema.org.ai/Class	https://schema.org.ai	VacationRental	A kind of lodging business that focuses on renting single properties for limited time.	schema:VacationRental	schema:LodgingBusiness	schema:VacationRental
https://schema.org.ai/JewelryStore	https://schema.org.ai/Class	https://schema.org.ai	JewelryStore	A jewelry store.	schema:JewelryStore	schema:Store	schema:JewelryStore
https://schema.org.ai/QuantitativeValueDistribution	https://schema.org.ai/Class	https://schema.org.ai	QuantitativeValueDistribution	A statistical distribution of values.	schema:QuantitativeValueDistribution	schema:StructuredValue	schema:QuantitativeValueDistribution
https://schema.org.ai/ReserveAction	https://schema.org.ai/Class	https://schema.org.ai	ReserveAction	Reserving a concrete object.\n\nRelated actions:\n\n* [[ScheduleAction]]: Unlike ScheduleAction, ReserveAction reserves concrete objects (e.g. a table, a hotel) towards a time slot / spatial allocation.	schema:ReserveAction	schema:PlanAction	schema:ReserveAction
https://schema.org.ai/PawnShop	https://schema.org.ai/Class	https://schema.org.ai	PawnShop	A shop that will buy, or lend money against the security of, personal possessions.	schema:PawnShop	schema:Store	schema:PawnShop
https://schema.org.ai/FoodEstablishment	https://schema.org.ai/Class	https://schema.org.ai	FoodEstablishment	A food-related business.	schema:FoodEstablishment	schema:LocalBusiness	schema:FoodEstablishment
https://schema.org.ai/TextObject	https://schema.org.ai/Class	https://schema.org.ai	TextObject	A text file. The text can be unformatted or contain markup, html, etc.	schema:TextObject	schema:MediaObject	schema:TextObject
https://schema.org.ai/LocalBusiness	https://schema.org.ai/Class	https://schema.org.ai	LocalBusiness	A particular physical business or branch of an organization. Examples of LocalBusiness include a restaurant, a particular branch of a restaurant chain, a branch of a bank, a medical practice, a club, a bowling alley, etc.	schema:LocalBusiness	schema:Place,schema:Organization	schema:LocalBusiness
https://schema.org.ai/ExercisePlan	https://schema.org.ai/Class	https://schema.org.ai	ExercisePlan	Fitness-related activity designed for a specific health-related purpose, including defined exercise routines as well as activity prescribed by a clinician.	schema:ExercisePlan	schema:CreativeWork,schema:PhysicalActivity	schema:ExercisePlan
https://schema.org.ai/ChildrensEvent	https://schema.org.ai/Class	https://schema.org.ai	ChildrensEvent	Event type: Children's event.	schema:ChildrensEvent	schema:Event	schema:ChildrensEvent
https://schema.org.ai/InfectiousAgentClass	https://schema.org.ai/Class	https://schema.org.ai	InfectiousAgentClass	Classes of agents or pathogens that transmit infectious diseases. Enumerated type.	schema:InfectiousAgentClass	schema:MedicalEnumeration	schema:InfectiousAgentClass
https://schema.org.ai/MedicalCondition	https://schema.org.ai/Class	https://schema.org.ai	MedicalCondition	Any condition of the human body that affects the normal functioning of a person, whether physically or mentally. Includes diseases, injuries, disabilities, disorders, syndromes, etc.	schema:MedicalCondition	schema:MedicalEntity	schema:MedicalCondition
https://schema.org.ai/SizeGroupEnumeration	https://schema.org.ai/Class	https://schema.org.ai	SizeGroupEnumeration	Enumerates common size groups for various product categories.	schema:SizeGroupEnumeration	schema:Enumeration	schema:SizeGroupEnumeration
https://schema.org.ai/DrugLegalStatus	https://schema.org.ai/Class	https://schema.org.ai	DrugLegalStatus	The legal availability status of a medical drug.	schema:DrugLegalStatus	schema:MedicalIntangible	schema:DrugLegalStatus
https://schema.org.ai/OnlineBusiness	https://schema.org.ai/Class	https://schema.org.ai	OnlineBusiness	A particular online business, either standalone or the online part of a broader organization. Examples include an eCommerce site, an online travel booking site, an online learning site, an online logistics and shipping provider, an online (virtual) doctor, etc.	schema:OnlineBusiness	schema:Organization	schema:OnlineBusiness
https://schema.org.ai/TypeAndQuantityNode	https://schema.org.ai/Class	https://schema.org.ai	TypeAndQuantityNode	A structured value indicating the quantity, unit of measurement, and business function of goods included in a bundle offer.	schema:TypeAndQuantityNode	schema:StructuredValue	schema:TypeAndQuantityNode
https://schema.org.ai/DrugPrescriptionStatus	https://schema.org.ai/Class	https://schema.org.ai	DrugPrescriptionStatus	Indicates whether this drug is available by prescription or over-the-counter.	schema:DrugPrescriptionStatus	schema:MedicalEnumeration	schema:DrugPrescriptionStatus
https://schema.org.ai/Question	https://schema.org.ai/Class	https://schema.org.ai	Question	A specific question - e.g. from a user seeking answers online, or collected in a Frequently Asked Questions (FAQ) document.	schema:Question	schema:Comment	schema:Question
https://schema.org.ai/PublicToilet	https://schema.org.ai/Class	https://schema.org.ai	PublicToilet	A public toilet is a room or small building containing one or more toilets (and possibly also urinals) which is available for use by the general public, or by customers or employees of certain businesses.	schema:PublicToilet	schema:CivicStructure	schema:PublicToilet
https://schema.org.ai/PerformingArtsTheater	https://schema.org.ai/Class	https://schema.org.ai	PerformingArtsTheater	A theater or other performing art center.	schema:PerformingArtsTheater	schema:CivicStructure	schema:PerformingArtsTheater
https://schema.org.ai/DataDownload	https://schema.org.ai/Class	https://schema.org.ai	DataDownload	All or part of a [[Dataset]] in downloadable form. 	schema:DataDownload	schema:MediaObject	schema:DataDownload
https://schema.org.ai/EducationalOccupationalCredential	https://schema.org.ai/Class	https://schema.org.ai	EducationalOccupationalCredential	An educational or occupational credential. A diploma, academic degree, certification, qualification, badge, etc., that may be awarded to a person or other entity that meets the requirements defined by the credentialer.	schema:EducationalOccupationalCredential	schema:CreativeWork	schema:EducationalOccupationalCredential
https://schema.org.ai/Language	https://schema.org.ai/Class	https://schema.org.ai	Language	Natural languages such as Spanish, Tamil, Hindi, English, etc. Formal language code tags expressed in [BCP 47](https://en.wikipedia.org/wiki/IETF_language_tag) can be used via the [[alternateName]] property. The Language type previously also covered programming languages such as Scheme and Lisp, which are now best represented using [[ComputerLanguage]].	schema:Language	schema:Intangible	schema:Language
https://schema.org.ai/RiverBodyOfWater	https://schema.org.ai/Class	https://schema.org.ai	RiverBodyOfWater	A river (for example, the broad majestic Shannon).	schema:RiverBodyOfWater	schema:BodyOfWater	schema:RiverBodyOfWater
https://schema.org.ai/CollectionPage	https://schema.org.ai/Class	https://schema.org.ai	CollectionPage	Web page type: Collection page.	schema:CollectionPage	schema:WebPage	schema:CollectionPage
https://schema.org.ai/MedicalStudy	https://schema.org.ai/Class	https://schema.org.ai	MedicalStudy	A medical study is an umbrella type covering all kinds of research studies relating to human medicine or health, including observational studies and interventional trials and registries, randomized, controlled or not. When the specific type of study is known, use one of the extensions of this type, such as MedicalTrial or MedicalObservationalStudy. Also, note that this type should be used to mark up data that describes the study itself; to tag an article that publishes the results of a study, use MedicalScholarlyArticle. Note: use the code property of MedicalEntity to store study IDs, e.g. clinicaltrials.gov ID.	schema:MedicalStudy	schema:MedicalEntity	schema:MedicalStudy
https://schema.org.ai/EventAttendanceModeEnumeration	https://schema.org.ai/Class	https://schema.org.ai	EventAttendanceModeEnumeration	An EventAttendanceModeEnumeration value is one of potentially several modes of organising an event, relating to whether it is online or offline.	schema:EventAttendanceModeEnumeration	schema:Enumeration	schema:EventAttendanceModeEnumeration
https://schema.org.ai/Periodical	https://schema.org.ai/Class	https://schema.org.ai	Periodical	A publication in any medium issued in successive parts bearing numerical or chronological designations and intended to continue indefinitely, such as a magazine, scholarly journal, or newspaper.\n\nSee also [blog post](https://blog.schema.org/2014/09/02/schema-org-support-for-bibliographic-relationships-and-periodicals/).	schema:Periodical	schema:CreativeWorkSeries	schema:Periodical
https://schema.org.ai/RsvpResponseType	https://schema.org.ai/Class	https://schema.org.ai	RsvpResponseType	RsvpResponseType is an enumeration type whose instances represent responding to an RSVP request.	schema:RsvpResponseType	schema:Enumeration	schema:RsvpResponseType
https://schema.org.ai/VisualArtwork	https://schema.org.ai/Class	https://schema.org.ai	VisualArtwork	A work of art that is primarily visual in character.	schema:VisualArtwork	schema:CreativeWork	schema:VisualArtwork
https://schema.org.ai/ComicStory	https://schema.org.ai/Class	https://schema.org.ai	ComicStory	The term "story" is any indivisible, re-printable      unit of a comic, including the interior stories, covers, and backmatter. Most      comics have at least two stories: a cover (ComicCoverArt) and an interior story.	schema:ComicStory	schema:CreativeWork	schema:ComicStory
