ns	from	to	predicate	reverse
schema	schema:BikeStore	schema:Store	subClassOf	superClassOf
schema	schema:RadioBroadcastService	schema:BroadcastService	subClassOf	superClassOf
schema	schema:InformAction	schema:CommunicateAction	subClassOf	superClassOf
schema	schema:StructuredValue	schema:Intangible	subClassOf	superClassOf
schema	schema:NLNonprofitType	schema:NonprofitType	subClassOf	superClassOf
schema	schema:DepositAccount	schema:InvestmentOrDeposit,schema:BankAccount	subClassOf	superClassOf
schema	schema:Joint	schema:AnatomicalStructure	subClassOf	superClassOf
schema	schema:DeleteAction	schema:UpdateAction	subClassOf	superClassOf
schema	schema:NailSalon	schema:HealthAndBeautyBusiness	subClassOf	superClassOf
schema	schema:TrackAction	schema:FindAction	subClassOf	superClassOf
schema	schema:Winery	schema:FoodEstablishment	subClassOf	superClassOf
schema	schema:PhysicalActivity	schema:LifestyleModification	subClassOf	superClassOf
schema	schema:MiddleSchool	schema:EducationalOrganization	subClassOf	superClassOf
schema	schema:DDxElement	schema:MedicalIntangible	subClassOf	superClassOf
schema	schema:Taxon	schema:Thing	subClassOf	superClassOf
schema	schema:CategoryCode	schema:DefinedTerm	subClassOf	superClassOf
schema	schema:UserInteraction	schema:Event	subClassOf	superClassOf
schema	schema:AddAction	schema:UpdateAction	subClassOf	superClassOf
schema	schema:BusinessFunction	schema:Enumeration	subClassOf	superClassOf
schema	schema:BuyAction	schema:TradeAction	subClassOf	superClassOf
schema	schema:Vehicle	schema:Product	subClassOf	superClassOf
schema	schema:PerformingGroup	schema:Organization	subClassOf	superClassOf
schema	schema:ExchangeRateSpecification	schema:StructuredValue	subClassOf	superClassOf
schema	schema:ComputerLanguage	schema:Intangible	subClassOf	superClassOf
schema	schema:Trip	schema:Intangible	subClassOf	superClassOf
schema	schema:EmploymentAgency	schema:LocalBusiness	subClassOf	superClassOf
schema	schema:WebContent	schema:CreativeWork	subClassOf	superClassOf
schema	schema:OnlineMarketplace	schema:OnlineStore	subClassOf	superClassOf
schema	schema:RsvpAction	schema:InformAction	subClassOf	superClassOf
schema	schema:OutletStore	schema:Store	subClassOf	superClassOf
schema	schema:RegisterAction	schema:InteractAction	subClassOf	superClassOf
schema	schema:BackgroundNewsArticle	schema:NewsArticle	subClassOf	superClassOf
schema	schema:PalliativeProcedure	schema:MedicalTherapy,schema:MedicalProcedure	subClassOf	superClassOf
schema	schema:TelevisionStation	schema:LocalBusiness	subClassOf	superClassOf
schema	schema:SoftwareApplication	schema:CreativeWork	subClassOf	superClassOf
schema	schema:Message	schema:CreativeWork	subClassOf	superClassOf
schema	schema:TherapeuticProcedure	schema:MedicalProcedure	subClassOf	superClassOf
schema	schema:RestrictedDiet	schema:Enumeration	subClassOf	superClassOf
schema	schema:AutoDealer	schema:AutomotiveBusiness	subClassOf	superClassOf
schema	schema:WarrantyPromise	schema:StructuredValue	subClassOf	superClassOf
schema	schema:SportingGoodsStore	schema:Store	subClassOf	superClassOf
schema	schema:GroceryStore	schema:Store	subClassOf	superClassOf
schema	schema:PsychologicalTreatment	schema:TherapeuticProcedure	subClassOf	superClassOf
schema	schema:FinancialService	schema:LocalBusiness	subClassOf	superClassOf
schema	schema:DietarySupplement	schema:Substance,schema:Product	subClassOf	superClassOf
schema	schema:BusinessAudience	schema:Audience	subClassOf	superClassOf
schema	schema:Seat	schema:Intangible	subClassOf	superClassOf
schema	schema:MedicalClinic	schema:MedicalOrganization,schema:MedicalBusiness	subClassOf	superClassOf
schema	schema:ComicSeries	schema:Periodical	subClassOf	superClassOf
schema	schema:Blog	schema:CreativeWork	subClassOf	superClassOf
schema	schema:TaxiService	schema:Service	subClassOf	superClassOf
schema	schema:LiveBlogPosting	schema:BlogPosting	subClassOf	superClassOf
schema	schema:SingleFamilyResidence	schema:House	subClassOf	superClassOf
schema	schema:DownloadAction	schema:TransferAction	subClassOf	superClassOf
schema	schema:PodcastEpisode	schema:Episode	subClassOf	superClassOf
schema	schema:DatedMoneySpecification	schema:StructuredValue	subClassOf	superClassOf
schema	schema:DisagreeAction	schema:ReactAction	subClassOf	superClassOf
schema	schema:ServicePeriod	schema:StructuredValue	subClassOf	superClassOf
schema	schema:PaymentService	schema:FinancialProduct,schema:PaymentMethod	subClassOf	superClassOf
schema	schema:ServiceChannel	schema:Intangible	subClassOf	superClassOf
schema	schema:MemberProgram	schema:Intangible	subClassOf	superClassOf
schema	schema:AssessAction	schema:Action	subClassOf	superClassOf
schema	schema:MoveAction	schema:Action	subClassOf	superClassOf
