ns	type	id	name	description	code	commodityTitle
onet.org.ai	Tool	FlatBedScanners	Flat bed scanners	Flat bed scanners	43211711	
onet.org.ai	Tool	FlexographicPlateProcessors	Flexographic plate processors	Flexographic plate processors	45101510	
onet.org.ai	Tool	GravureCylinderEngravers	Gravure cylinder engravers	Gravure cylinder engravers	45101505	
onet.org.ai	Tool	LithographicPlateProcessors	Lithographic plate processors	Lithographic plate processors	45101504	
onet.org.ai	Tool	NewspaperPlatesetters	Newspaper platesetters	Newspaper platesetters	45101512	
onet.org.ai	Tool	PlateStackers	Plate stackers	Plate stackers	24101606	
onet.org.ai	Tool	PrintingDensitometers	Printing densitometers	Printing densitometers	41103303	
onet.org.ai	Tool	ThermalPlatesetters	Thermal platesetters	Thermal platesetters	45101512	
onet.org.ai	Tool	BackJoggers	Back joggers	Back joggers	44101605	
onet.org.ai	Tool	CollatingEquipment	Collating equipment	Collating equipment	45101703	
onet.org.ai	Tool	ColorSeparationScanners	Color separation scanners	Color separation scanners	43211711	
onet.org.ai	Tool	CuttingEquipment	Cutting equipment	Cutting equipment	45101704	
onet.org.ai	Tool	DigitalLetterpresses	Digital letterpresses	Digital letterpresses	45101503	
onet.org.ai	Tool	ElectricLifts	Electric lifts	Electric lifts	24101604	
onet.org.ai	Tool	ExternalDrumImagesetters	External drum imagesetters	External drum imagesetters	45101902	
onet.org.ai	Tool	FlatBedImagesetters	Flat-bed imagesetters	Flat-bed imagesetters	45101902	
onet.org.ai	Tool	FlexoPresses	Flexo presses	Flexo presses	45101510	
onet.org.ai	Tool	FlexographicPresses	Flexographic presses	Flexographic presses	45101510	
onet.org.ai	Tool	FoldingEquipment	Folding equipment	Folding equipment	45101701	
onet.org.ai	Tool	GravurePresses	Gravure presses	Gravure presses	45101505	
onet.org.ai	Tool	InfraredDryers	Infrared dryers	Infrared dryers	23201202	
onet.org.ai	Tool	InternalDrumImagesetters	Internal drum imagesetters	Internal drum imagesetters	45101902	
onet.org.ai	Tool	LetterPresses	Letter presses	Letter presses	45101503	
onet.org.ai	Tool	LineGaugeRulers	Line gauge rulers	Line gauge rulers	41111604	
onet.org.ai	Tool	MulticolorPresses	Multicolor presses	Multicolor presses	45101507	
onet.org.ai	Tool	OffsetPrintingEquipment	Offset printing equipment	Offset printing equipment	45101502	
