id	name	description	code
DigitalStillCameras	Digital still cameras	Digital still cameras	45121504
DigitalStopwatches	Digital stopwatches	Digital stopwatches	54111503
DigitalStorageOscilloscopes	Digital storage oscilloscopes	Digital storage oscilloscopes	41113638
DigitalStorageOscilloscopesDso	Digital storage oscilloscopes DSO	Digital storage oscilloscopes DSO	41113638
DigitalStrainGauges	Digital strain gauges	Digital strain gauges	41111605
DigitalSurfaceThermometers	Digital surface thermometers	Digital surface thermometers	41112212
DigitalSurveillanceCameraSystems	Digital surveillance camera systems	Digital surveillance camera systems	46171610
DigitalSurveyMeters	Digital survey meters	Digital survey meters	41111929
DigitalSwitchers	Digital switchers	Digital switchers	45111801
DigitalTachometers	Digital tachometers	Digital tachometers	41112802
DigitalTapeMeasures	Digital tape measures	Digital tape measures	27111801
DigitalTapeRecorders	Digital tape recorders	Digital tape recorders	46171621
DigitalTapes	Digital tapes	Digital tapes	43201806
DigitalTemperatureAnalyzers	Digital temperature analyzers	Digital temperature analyzers	41112212
DigitalThermocouples	Digital thermocouples	Digital thermocouples	41112206
DigitalThermometers	Digital thermometers	Digital thermometers	41112213
DigitalThicknessGauges	Digital thickness gauges	Digital thickness gauges	41111623
DigitalTimers	Digital timers	Digital timers	46171603
DigitalTimingLights	Digital timing lights	Digital timing lights	41111921
DigitalTirePressureGauges	Digital tire pressure gauges	Digital tire pressure gauges	25191835
DigitalToAnalogConverters	Digital to analog converters	Digital to analog converters	32101631
DigitalTorqueScrewdrivers	Digital torque screwdrivers	Digital torque screwdrivers	27111739
DigitalTorqueWrenches	Digital torque wrenches	Digital torque wrenches	27111715
DigitalTransmissionDensitometers	Digital transmission densitometers	Digital transmission densitometers	42201817
DigitalTuners	Digital tuners	Digital tuners	60131516
DigitalVacuumGauges	Digital vacuum gauges	Digital vacuum gauges	41112406
DigitalVeterinaryThermometers	Digital veterinary thermometers	Digital veterinary thermometers	42121509
DigitalVeterinaryXRayEquipment	Digital veterinary x ray equipment	Digital veterinary x ray equipment	42201815
DigitalVideoCameras	Digital video cameras	Digital video cameras	45121516
DigitalVideoDiskDvdDuplicators	Digital video disk DVD duplicators	Digital video disk DVD duplicators	43201814
DigitalVideoDiskDvdPlayers	Digital video disk DVD players	Digital video disk DVD players	52161516
DigitalVideoDiskDvdRecorders	Digital video disk DVD recorders	Digital video disk DVD recorders	52161516
DigitalVideoEditingSystems	Digital video editing systems	Digital video editing systems	45111805
DigitalVideoEditors	Digital video editors	Digital video editors	45111805
DigitalVideoEffectsUnits	Digital video effects units	Digital video effects units	45111805
DigitalVideoEquipment	Digital video equipment	Digital video equipment	45121516
DigitalVideoPlayers	Digital video players	Digital video players	52161516
DigitalVideoRecorders	Digital video recorders	Digital video recorders	45121516
DigitalVideoRecordersDvr	Digital video recorders DVR	Digital video recorders DVR	52161516
DigitalVideoRecordingEquipment	Digital video recording equipment	Digital video recording equipment	52161545
DigitalVideoStroboscopySystems	Digital video stroboscopy systems	Digital video stroboscopy systems	41115317
DigitalViscosometers	Digital viscosometers	Digital viscosometers	41103312
DigitalVoiceRecorders	Digital voice recorders	Digital voice recorders	46171621
DigitalVoltageMeters	Digital voltage meters	Digital voltage meters	41113637
DigitalVoltmeters	Digital voltmeters	Digital voltmeters	41113637
DigitalVoltMeters	Digital volt meters	Digital volt meters	41113637
DigitalVoltmetersDvm	Digital voltmeters DVM	Digital voltmeters DVM	41113637
DigitalWattmeters	Digital wattmeters	Digital wattmeters	41113640
DigitalXRayEquipment	Digital x ray equipment	Digital x ray equipment	42201815
DigitalXRayMachines	Digital x ray machines	Digital x ray machines	42201815
Digitizers	Digitizers	Digitizers	43211711
DigitizingOscilloscopes	Digitizing oscilloscopes	Digitizing oscilloscopes	41113638
DigitizingTablets	Digitizing tablets	Digitizing tablets	43211712
Dikes	Dikes	Dikes	27112114
Dilatometers	Dilatometers	Dilatometers	41113033
DilatorCatheters	Dilator catheters	Dilator catheters	42142702
DiluterDemandEmergencyOxygenSystems	Diluter demand emergency oxygen systems	Diluter demand emergency oxygen systems	25202607
Diluters	Diluters	Diluters	41121502
DilutionSystems	Dilution systems	Dilution systems	41121502
Dimmers	Dimmers	Dimmers	39112401
Dimplers	Dimplers	Dimplers	27112402
DinkeyEngines	Dinkey engines	Dinkey engines	25121501
DinkyEngines	Dinky engines	Dinky engines	25121501
DiodeLasers	Diode lasers	Diode lasers	41115307
DipNets	Dip nets	Dip nets	21111504
DipNetSamplers	Dip net samplers	Dip net samplers	21111504
DippingTanks	Dipping tanks	Dipping tanks	24111803
DippingTongs	Dipping tongs	Dipping tongs	27112104
DippingVats	Dipping vats	Dipping vats	21101902
DipTanks	Dip tanks	Dip tanks	24111806
DirectComputerControlledCoordinateMeasuringMachinesDccCmm	Direct computer-controlled coordinate measuring machines DCC-CMM	Direct computer-controlled coordinate measuring machines DCC-CMM	41111920
DirectCurrentAc	Alternating current/direct current AC/DC inductive current clamps	Alternating current/direct current AC/DC inductive current clamps	41113637
DirectCurrentDcArcWelder	Direct current DC arc welder	Direct current DC arc welder	23271424
DirectCurrentDcPotentiometers	Direct current DC potentiometers	Direct current DC potentiometers	41113633
DirectCurrentDcPowerSupplies	Direct current DC power supplies	Direct current DC power supplies	26101209
DirectCurrentDcPowerTesters	Direct current DC power testers	Direct current DC power testers	41113708
DirectCurrentDcSources	Direct current DC sources	Direct current DC sources	23271709
DirectCurrentDcSputteringSystems	Direct current DC sputtering systems	Direct current DC sputtering systems	23211101
DirectCurrentStabilityTestingDevices	Direct current stability testing devices	Direct current stability testing devices	41113637
DirectElevationRods	Direct elevation rods	Direct elevation rods	41114202
DirectExpansionEvaporators	Direct expansion evaporators	Direct expansion evaporators	40101703
DirectFiredFryers	Direct-fired fryers	Direct-fired fryers	23181703
DirectGasFiredOvens	Direct gas fired ovens	Direct gas fired ovens	48101517
DirectHeatDryWallCarbonDioxideCo2Incubators	Direct heat dry wall carbon dioxide CO2 incubators	Direct heat dry wall carbon dioxide CO2 incubators	41104411
DirectionalCompasses	Directional compasses	Directional compasses	41113801
DirectionalRadioFrequencyRfPowerMeters	Directional radio frequency RF power meters	Directional radio frequency RF power meters	41113708
DirectOphthalmoscopes	Direct ophthalmoscopes	Direct ophthalmoscopes	42182005
Directors'Viewfinders	Directors' viewfinders	Directors' viewfinders	45121631
DirectoryServers	Directory servers	Directory servers	43211502
DirectReadAirMonitors	Direct read air monitors	Direct read air monitors	41113118
DirectRecirculatingOvens	Direct recirculating ovens	Direct recirculating ovens	48101517
DirectShearTestingDevices	Direct shear testing devices	Direct shear testing devices	41114619
DirectTapMachines	Direct tap machines	Direct tap machines	27112703
DirtBikeLiftsStands	Dirt bike lifts stands	Dirt bike lifts stands	24101661
DirtShovels	Dirt shovels	Dirt shovels	27112004
DirtSifters	Dirt sifters	Dirt sifters	23151608
DiscBrakePadSpreaders	Disc brake pad spreaders	Disc brake pad spreaders	25171718
DiscCutterDies	Disc cutter dies	Disc cutter dies	23251802
DiscCutters	Disc cutters	Disc cutters	27112731
DiscFinishingMachines	Disc finishing machines	Disc finishing machines	27112704
DiscGrinders	Disc grinders	Disc grinders	27112704
DischargeHoses	Discharge hoses	Discharge hoses	40142007
DischargerPumps	Discharger pumps	Discharger pumps	40151512
DiscriminativeReactionTimeApparatus	Discriminative reaction time apparatus	Discriminative reaction time apparatus	41111912
Discriminators	Discriminators	Discriminators	41111912
DiscSanders	Disc sanders	Disc sanders	27112742
DiscScreeners	Disc screeners	Disc screeners	26131605
DishCleaningBrushes	Dish-cleaning brushes	Dish-cleaning brushes	52152203
DishDryingRacks	Dish drying racks	Dish drying racks	52152202
Dishwashers	Dishwashers	Dishwashers	52141505
DishwashingMachines	Dishwashing machines	Dishwashing machines	48101615
DisimpactionForceps	Disimpaction forceps	Disimpaction forceps	42151623
DisinfectantSprayers	Disinfectant sprayers	Disinfectant sprayers	27112903
DisinfectionChlorinators	Disinfection chlorinators	Disinfection chlorinators	47101505
DiskGrinders	Disk grinders	Disk grinders	27112704
DiskGrindingMachines	Disk grinding machines	Disk grinding machines	23101506
DiskRippers	Disk rippers	Disk rippers	21101502
Disks	Disks	Disks	21101513
DiskSanders	Disk sanders	Disk sanders	27112708
DiskStorageSystems	Disk storage systems	Disk storage systems	43201803
DiskTillageEquipment	Disk tillage equipment	Disk tillage equipment	21101513
DispatchServers	Dispatch servers	Dispatch servers	43221520
DispensingSystems	Medication pulling/dispensing systems	Medication pulling/dispensing systems	42192602
DisplacementTransducers	Displacement transducers	Displacement transducers	41112111
DisplayScreens	Display screens	Display screens	43211901
DisplayUnits	Infrared thermography cameras and display units	Infrared thermography cameras and display units	41115321
DisposableFoamPadElectrodes	Disposable foam pad electrodes	Disposable foam pad electrodes	42181541
DisposablePlasticPipettes	Disposable plastic pipettes	Disposable plastic pipettes	41121513
DisposalUnits	Disposal units	Disposal units	52141503
DissectingKits	Dissecting kits	Dissecting kits	41102915
DissectingKnives	Dissecting knives	Dissecting knives	42261505
DissectingMicroscopes	Dissecting microscopes	Dissecting microscopes	41111703
DissectingTools	Dissecting tools	Dissecting tools	60103915
DissectionForceps	Dissection forceps	Dissection forceps	42261502
DissectionMicroscopes	Dissection microscopes	Dissection microscopes	41111709
DissectionScalpels	Dissection scalpels	Dissection scalpels	41122407
DissectionScissors	Dissection scissors	Dissection scissors	42261501
DissectionTrays	Dissection trays	Dissection trays	60103915
DissectorRods	Dissector rods	Dissector rods	42292701
DissolvedOrganicCarbonAnalyzers	Dissolved organic carbon analyzers	Dissolved organic carbon analyzers	41113315
DissolvedOxygenIndicators	Dissolved oxygen indicators	Dissolved oxygen indicators	41115611
DissolvedOxygenMeters	Dissolved oxygen meters	Dissolved oxygen meters	41115611
DissolvedOxygenMonitors	Dissolved oxygen monitors	Dissolved oxygen monitors	41115611
DissolvedOxygenPolarographicMeasurementDevices	Dissolved oxygen polarographic measurement devices	Dissolved oxygen polarographic measurement devices	41115611
DissolvedOxygenProbes	Dissolved oxygen probes	Dissolved oxygen probes	41115611
DissolvedOxygenSensors	Dissolved oxygen sensors	Dissolved oxygen sensors	41115611
DissolvedOxygenTestKits	Dissolved oxygen test kits	Dissolved oxygen test kits	41115611
DissolvedSaltMeters	Dissolved salt meters	Dissolved salt meters	41115613
DistalEmbolicProtectionDevices	Distal embolic protection devices	Distal embolic protection devices	42203414
DistalEndCutters	Distal end cutters	Distal end cutters	42151638
DistanceMeasuringEquipmentDme	Distance measuring equipment DME	Distance measuring equipment DME	25201604
DistanceMeasuringWheels	Distance measuring wheels	Distance measuring wheels	41111616
DistanceMeters	Distance meters	Distance meters	41111613
DistillationColumns	Distillation columns	Distillation columns	41104812
DistillationEquipment	Distillation equipment	Distillation equipment	41104802
DistillationOvens	Distillation ovens	Distillation ovens	41104804
DistillationSystems	Distillation systems	Distillation systems	41104802
DistillationUnits	Distillation units	Distillation units	41104802
DistilledWaterUnits	Distilled water units	Distilled water units	41104812
Distillers	Distillers	Distillers	41104802
DistillingCondensers	Distilling condensers	Distilling condensers	41104814
DistillingEquipment	Distilling equipment	Distilling equipment	41104806
DistillingUnits	Distilling units	Distilling units	41104801
DistortionAnalyzers	Distortion analyzers	Distortion analyzers	41113727
DistortionMeters	Distortion meters	Distortion meters	41113710
DistressFlags	Distress flags	Distress flags	46161503
DistressFlares	Distress flares	Distress flares	12131604
DistributedHeterogeneousComputers	Distributed heterogeneous computers	Distributed heterogeneous computers	43211502
DistributionControlSystems	Power generation and distribution control systems	Power generation and distribution control systems	25202003
Ditchers	Ditchers	Ditchers	22101516
DitchPumps	Ditch pumps	Ditch pumps	40151510
DiveComputers	Dive computers	Dive computers	49141504
DivergingCollimators	Diverging collimators	Diverging collimators	41102704
Divers'Knives	Divers' knives	Divers' knives	49141504
Divers'Lights	Divers' lights	Divers' lights	49141504
Divers'SafetyHarnesses	Divers' safety harnesses	Divers' safety harnesses	49141504
DiverterSamplers	Diverter samplers	Diverter samplers	41104017
DiveSuits	Dive suits	Dive suits	49141506
DiveTimingDevices	Dive timing devices	Dive timing devices	46171603
Dividers	Dividers	Dividers	44111803
DivingCompressorSystems	Diving compressor systems	Diving compressor systems	40151578
DivingGauges	Diving gauges	Diving gauges	49141504
DivingMasks	Diving masks	Diving masks	49141505
DivingPlatforms	Diving platforms	Diving platforms	49241701
DivingSuits	Diving suits	Diving suits	49141506
DjiGo	DJI Go 4	DJI Go 4	25201604
DjiGsPro	DJI GS Pro	DJI GS Pro	25201604
DjiPilot	DJI Pilot	DJI Pilot	25201604
DnaTypingKits	DNA typing kits	DNA typing kits	41106103
DobsonianTelescopes	Dobsonian telescopes	Dobsonian telescopes	41111715
DockageTesters	Dockage testers	Dockage testers	21102003
Dockboards	Dockboards	Dockboards	24101803
DockBoards	Dock boards	Dock boards	30191502
DocumentBindingEquipment	Document binding equipment	Document binding equipment	44101602
DocumentCameras	Document cameras	Document cameras	45121517
DocumentMailingEquipment	Document mailing equipment	Document mailing equipment	44102109
DocumentPrinters	Document printers	Document printers	43212105
DocumentScanners	Document scanners	Document scanners	43211711
DocumentShredders	Document shredders	Document shredders	44101603
DocumentSigners	Check and document signers	Check and document signers	44101901
DocumentStamps	Document stamps	Document stamps	60121701
Dogbones	Dogbones	Dogbones	21111503
DogCoolingVests	Dog cooling vests	Dog cooling vests	42142106
DogMuzzles	Dog muzzles	Dog muzzles	10141610
DogTrainingCollars	Dog training collars	Dog training collars	10141607
DogTrainingDummies	Dog training dummies	Dog training dummies	49131602
DogTrainingDummyLaunchers	Dog training dummy launchers	Dog training dummy launchers	49181606
DollHouses	Doll houses	Doll houses	60141003
Dollies	Dollies	Dollies	24101503
Dolls	Dolls	Dolls	60141002
DollyBlocks	Dolly blocks	Dolly blocks	27111603
DolphinKnives	Dolphin knives	Dolphin knives	27111502
DomainNameServersDns	Domain name servers DNS	Domain name servers DNS	43211501
DomeBrushes	Dome brushes	Dome brushes	53131629
DomeMagnifiers	Dome magnifiers	Dome magnifiers	41111713
DomesticCoffeeMakers	Domestic coffee makers	Domestic coffee makers	52141526
DomesticDishwashers	Domestic dishwashers	Domestic dishwashers	52141505
DomesticElectricSkillets	Domestic electric skillets	Domestic electric skillets	52141532
DomesticSewingMachines	Domestic sewing machines	Domestic sewing machines	52141801
DomesticToasterOvens	Domestic toaster ovens	Domestic toaster ovens	52141521
DomesticWashers	Domestic washers	Domestic washers	47111502
DontrixGauges	Dontrix gauges	Dontrix gauges	42151644
DoorOpeningControls	Door opening controls	Door opening controls	30171512
DoorPanelFastenerRemovalTools	Door panel fastener removal tools	Door panel fastener removal tools	27141001
DoorPinTools	Door pin tools	Door pin tools	27111712
DoorSkinDollies	Door skin dollies	Door skin dollies	27141001
DoorTrimRemovers	Door trim removers	Door trim removers	27111712
DopingTubes	Doping tubes	Doping tubes	41104603
DopplerCurrent	Doppler current and depth meters	Doppler current and depth meters	41115501
DopplerPulseMeasurementDevices	Doppler pulse measurement devices	Doppler pulse measurement devices	42182102
DopplerRadarEquipment	Doppler radar equipment	Doppler radar equipment	41115201
DopplerRayleighLaserImagingRanging	Doppler Rayleigh laser imaging ranging and detecting LIDAR systems	Doppler Rayleigh laser imaging ranging and detecting LIDAR systems	41115201
DopplerUltrasoundEquipment	Doppler ultrasound equipment	Doppler ultrasound equipment	42201724
DopplerUltrasoundFetascopes	Doppler ultrasound fetascopes	Doppler ultrasound fetascopes	42201724
DopplerVascularEquipment	Doppler vascular equipment	Doppler vascular equipment	42201724
DoseCalibrators	Dose calibrators	Dose calibrators	42203901
DoseRateMonitors	Dose rate monitors	Dose rate monitors	26141702
Dosimeters	Dosimeters	Dosimeters	26141702
DosimetryBadges	Dosimetry badges	Dosimetry badges	42203902
DotLasers	Dot lasers	Dot lasers	41115307
DotMatrixPrinters	Dot matrix printers	Dot matrix printers	43212102
DoubleActionRevolvers	Double-action revolvers	Double-action revolvers	46101504
DoubleBasses	Double basses	Double basses	60131309
DoubleBeamBalances	Double-beam balances	Double-beam balances	41111502
DoubleBeamScreeders	Double-beam screeders	Double-beam screeders	22101905
DoubleBoilers	Double boilers	Double boilers	52151812
DoubleBurnerPumpKettles	Double-burner pump kettles	Double-burner pump kettles	40101816
DoubleCheckValveBailers	Double check valve bailers	Double check valve bailers	41104005
DoubleCutFiles	Double cut files	Double cut files	27111929
DoubleCuttingWallpaperKnives	Double cutting wallpaper knives	Double cutting wallpaper knives	27111502
DoubleDeckers	Double deckers	Double deckers	24101505
DoubleEdgedBlades	Double-edged blades	Double-edged blades	27111501
DoubleEdgedCutterTools	Double-edged cutter tools	Double-edged cutter tools	27111507
DoubleEndCanSocketWrenches	Double-end can socket wrenches	Double-end can socket wrenches	27111725
DoubleEndedBandSeaters	Double-ended band seaters	Double-ended band seaters	42151630
DoubleEndedCurettes	Double-ended curettes	Double-ended curettes	42291607
DoubleEndedEtchingScribes	Double-ended etching scribes	Double-ended etching scribes	27112303
DoubleEndedProbes	Double-ended probes	Double-ended probes	42151631
DoubleEndedScrewdrivers	Double ended screwdrivers	Double ended screwdrivers	27111701
DoubleEndedScrewstarters	Double-ended screwstarters	Double-ended screwstarters	27111701
DoubleEndExplorers	Double-end explorers	Double-end explorers	42151631
DoubleEndPeriodontalProbes	Double-end periodontal probes	Double-end periodontal probes	42151631
DoubleEndSocketCanWrenches	Double end socket can wrenches	Double end socket can wrenches	27111714
DoubleEndTenoners	Double end tenoners	Double end tenoners	23101508
DoubleFacedSledgeHammers	Double faced sledge hammers	Double faced sledge hammers	27111615
DoubleHornAnvils	Double horn anvils	Double horn anvils	27111603
DoubleLanyards	Double lanyards	Double lanyards	46182302
DoubleLockSeamers	Double-lock seamers	Double-lock seamers	23271702
DoubleLumenCatheters	Double lumen catheters	Double lumen catheters	42221504
DoubleLumenTubes	Double lumen tubes	Double lumen tubes	42271903
DoubleMonochromators	Double monochromators	Double monochromators	41113025
DoubleNeedleSewingMachines	Double needle sewing machines	Double needle sewing machines	23121614
DoublePackerSystems	Double-packer systems	Double-packer systems	41104007
DoublePushRodDilatometers	Double push rod dilatometers	Double push rod dilatometers	41113033
DoubleRightAnglePrisms	Double right-angle prisms	Double right-angle prisms	31241502
DoubleRingInfiltrometers	Double-ring infiltrometers	Double-ring infiltrometers	41113905
DoubleRingWrenches	Double ring wrenches	Double ring wrenches	27111713
DoublesDetectors	Doubles detectors	Doubles detectors	44102502
DoubleSeamingEquipment	Double seaming equipment	Double seaming equipment	23251602
DoubleSidedFiles	Double-sided files	Double-sided files	27111920
DoubleSidedMagneticTapeMeasures	Double-sided magnetic tape measures	Double-sided magnetic tape measures	27111801
DoubleStuddedAdapters	Double studded adapters	Double studded adapters	20141011
DoubleTubeBagTriers	Double tube bag triers	Double tube bag triers	41104017
DoughChunkers	Dough chunkers	Dough chunkers	23181511
DoughDividers	Dough dividers	Dough dividers	23181511
DoughDockers	Dough dockers	Dough dockers	48101811
DoughExtruders	Dough extruders	Dough extruders	23181511
DoughLaminators	Dough laminators	Dough laminators	48101613
DoughMixers	Dough mixers	Dough mixers	48101613
DoughnutCutters	Doughnut cutters	Doughnut cutters	52151625
DoughnutDepositors	Doughnut depositors	Doughnut depositors	23181511
DoughnutFryers	Doughnut fryers	Doughnut fryers	48101509
DoughnutScreens	Doughnut screens	Doughnut screens	48101812
DoughnutTumblers	Doughnut tumblers	Doughnut tumblers	23181513
DoughProcessingMachines	Dough processing machines	Dough processing machines	48101613
DoughProofers	Dough proofers	Dough proofers	48101510
DoughPumps	Dough pumps	Dough pumps	40151533
DoughScrapers	Dough scrapers	Dough scrapers	52151613
DoughSheeters	Dough sheeters	Dough sheeters	23181511
DoughThermometers	Dough thermometers	Dough thermometers	52151648
DoughTroughHoists	Dough trough hoists	Dough trough hoists	24101602
DovetailJigs	Dovetail jigs	Dovetail jigs	23101530
DovetailSaws	Dovetail saws	Dovetail saws	27111508
DowelPinDrills	Dowel pin drills	Dowel pin drills	42151652
DownhillSkis	Downhill skis	Downhill skis	49151502
DownholeFishingTools	Downhole fishing tools	Downhole fishing tools	20111618
DownholeHammers	Downhole hammers	Downhole hammers	20111603
DownholeJetPumps	Downhole jet pumps	Downhole jet pumps	20141301
DownholeObjectRetrievalEquipment	Downhole object retrieval equipment	Downhole object retrieval equipment	20111618
DownholeWellTestingEquipment	Downhole well testing equipment	Downhole well testing equipment	20122216
Downriggers	Downriggers	Downriggers	21111502
DownspoutCrimpers	Downspout crimpers	Downspout crimpers	27112501
DownstreamStrippers	Downstream strippers	Downstream strippers	23211101
DraftGauges	Draft gauges	Draft gauges	41112509
DraftingBoards	Drafting boards	Drafting boards	56101707
DraftingCompasses	Drafting compasses	Drafting compasses	44111803
DraftingCurves	Drafting curves	Drafting curves	44111805
DraftingDividers	Drafting dividers	Drafting dividers	44111817
DraftingInstruments	Drafting instruments	Drafting instruments	44111812
DraftingKits	Drafting kits	Drafting kits	44111812
DraftingMachines	Drafting machines	Drafting machines	44111812
DraftingPlotters	Drafting plotters	Drafting plotters	43212107
DraftingScales	Drafting scales	Drafting scales	44111807
DraftingTemplates	Drafting templates	Drafting templates	44111809
DraftingTools	Drafting tools	Drafting tools	44111812
DraftingTriangles	Drafting triangles	Drafting triangles	44111810
DragBrooms	Drag brooms	Drag brooms	22101513
DragConveyors	Drag conveyors	Drag conveyors	24101722
DragLevelingBars	Drag leveling bars	Drag leveling bars	22101513
DraglineBuckets	Dragline buckets	Dragline buckets	22101513
DraglineCranes	Dragline cranes	Dragline cranes	22101513
Draglines	Draglines	Draglines	22101513
DragLinkSockets	Drag link sockets	Drag link sockets	27111704
DragMats	Drag mats	Drag mats	22101513
DragSpikers	Drag spikers	Drag spikers	22101513
DrainagePumps	Drainage pumps	Drainage pumps	40151531
DrainageTubes	Drainage tubes	Drainage tubes	42295475
DrainAugers	Drain augers	Drain augers	47121808
DrainCleaningCables	Drain cleaning cables	Drain cleaning cables	47121808
DrainCleaningMachines	Drain cleaning machines	Drain cleaning machines	47121808
DrainRacks	Drain racks	Drain racks	52152202
DrainSpades	Drain spades	Drain spades	27112201
DraughtFoamControlDevices	Draught foam control devices	Draught foam control devices	48101701
DrawChisels	Draw chisels	Draw chisels	27111906
DrawingScales	Drawing scales	Drawing scales	44111807
DrawingTablets	Drawing tablets	Drawing tablets	43211712
Drawknives	Drawknives	Drawknives	27111503
DrawKnives	Draw knives	Draw knives	27111503
DrawnBoxScrapers	Drawn box scrapers	Drawn box scrapers	21101506
DrawReins	Draw reins	Draw reins	10141604
DrawstringThreaders	Drawstring threaders	Drawstring threaders	53141621
DrawTongs	Draw tongs	Draw tongs	27112104
Dredges	Dredges	Dredges	22101514
DressageWhips	Dressage whips	Dressage whips	10141502
DressFormMannequins	Dress form mannequins	Dress form mannequins	56131504
DressForms	Dress forms	Dress forms	56131504
DressingForceps	Dressing forceps	Dressing forceps	42291802
DressingSticks	Dressing sticks	Dressing sticks	42211803
DressingWheels	Dressing wheels	Dressing wheels	27112704
DressmakersShears	Dressmakers shears	Dressmakers shears	27111506
DriftNets	Drift nets	Drift nets	21111504
DriftPins	Drift pins	Drift pins	27111505
DriftPunches	Drift punches	Drift punches	27111505
Drifts	Drifts	Drifts	27111505
DrillBitIndexSets	Drill bit index sets	Drill bit index sets	27112845
DrillBitSets	Drill bit sets	Drill bit sets	27112845
DrillCasings	Drill casings	Drill casings	20111703
DrillGauges	Drill gauges	Drill gauges	41111650
DrillGaugeSets	Drill gauge sets	Drill gauge sets	41111650
DrillGrinders	Drill grinders	Drill grinders	27112704
DrillingChokes	Drilling chokes	Drilling chokes	20141005
DrillingCollars	Drilling collars	Drilling collars	20121504
DrillingCrosses	Drilling crosses	Drilling crosses	20141015
DrillingDrawWorks	Drilling draw works	Drilling draw works	20122807
DrillingFluidCentrifuges	Drilling fluid centrifuges	Drilling fluid centrifuges	20142501
DrillingMudMixers	Drilling mud mixers	Drilling mud mixers	20122823
DrillingMudShaleShakers	Drilling mud shale shakers	Drilling mud shale shakers	20122838
DrillingMudTanks	Drilling mud tanks	Drilling mud tanks	20122802
DrillingRigRotaryTables	Drilling rig rotary tables	Drilling rig rotary tables	20122829
DrillingSpools	Drilling spools	Drilling spools	20141014
DrillingSwivels	Drilling swivels	Drilling swivels	20122809
DrillMachines	Drill machines	Drill machines	27112703
DrillPipeThreadProtectors	Drill pipe thread protectors	Drill pipe thread protectors	20122709
DrillPipeTongs	Drill pipe tongs	Drill pipe tongs	20122833
DrillPointGauges	Drill point gauges	Drill point gauges	41111650
DrillPresses	Drill presses	Drill presses	23241801
DRingNets	D-ring nets	D-ring nets	21111504
DrinkBlenders	Drink blenders	Drink blenders	48101601
DrinkDispensers	Drink dispensers	Drink dispensers	48101702
DrinkMixers	Drink mixers	Drink mixers	48101608
DripEmitters	Drip emitters	Drip emitters	21102501
DripTorches	Drip torches	Drip torches	12131707
DriveOnScales	Drive-on scales	Drive-on scales	41111511
DrivePointPiezometers	Drive-point piezometers	Drive-point piezometers	41111927
DrivePunches	Drive punches	Drive punches	27111505
DriveRatchets	Drive ratchets	Drive ratchets	27111711
Drivers	Cavity dumpers or drivers	Cavity dumpers or drivers	31241804
DriveToTreeFellerBunchers	Drive-to-tree feller bunchers	Drive-to-tree feller bunchers	21102202
DrivewaySqueegees	Driveway squeegees	Driveway squeegees	47121803
DrivingWedges	Driving wedges	Driving wedges	27112504
Drogues	Drogues	Drogues	25111925
Dronedeploy	DroneDeploy	DroneDeploy	25201604
Dronelogbook	DroneLogbook	DroneLogbook	25201604
DropCloths	Drop cloths	Drop cloths	31211901
DropCountIndustrialWaterTestKits	Drop count industrial water test kits	Drop count industrial water test kits	41113319
DropHammers	Drop hammers	Drop hammers	22101504
DropheadDies	Drophead dies	Drophead dies	27112805
DropIndicators	Drop indicators	Drop indicators	41111630
DroppingPipettes	Dropping pipettes	Dropping pipettes	41121513
DropPlates	Drop plates	Drop plates	41121812
DropSpreaders	Drop spreaders	Drop spreaders	21101804
DropTables	Drop tables	Drop tables	42251620
DropVolumeTensiometers	Drop volume tensiometers	Drop volume tensiometers	41103317
DropWeightImpactTowers	Drop weight impact towers	Drop weight impact towers	41114612
DrossHoes	Dross hoes	Dross hoes	23161608
DrowningLocks	Drowning locks	Drowning locks	49131603
DrugTestingKits	Drug testing kits	Drug testing kits	46151606
DrumBrakeLathes	Rotor/drum brake lathes	Rotor/drum brake lathes	25191714
DrumCementMixers	Drum cement mixers	Drum cement mixers	22101902
DrumDryers	Drum dryers	Drum dryers	23181505
DrumLathes	Drum lathes	Drum lathes	23242303
DrumMallets	Drum mallets	Drum mallets	60131520
DrumMortarMixers	Drum mortar mixers	Drum mortar mixers	22101902
DrumPumps	Drum pumps	Drum pumps	40151502
DrumRollers	Drum rollers	Drum rollers	21101507
DrumSanders	Drum sanders	Drum sanders	23101528
DrumScanners	Drum scanners	Drum scanners	43211711
DrumSets	Drum sets	Drum sets	60131405
Dry	Dry or liquid measuring cups	Dry or liquid measuring cups	48101804
DryBathIncubators	Dry bath incubators	Dry bath incubators	41102422
DryBulbThermometers	Dry bulb thermometers	Dry bulb thermometers	41112213
DryBulkStorageTanks	Dry bulk storage tanks	Dry bulk storage tanks	24111803
DryChemicalFireExtinguishers	Dry chemical fire extinguishers	Dry chemical fire extinguishers	46191601
DryCleaningEquipment	Dry cleaning equipment	Dry cleaning equipment	47111701
DryCleaningMachines	Dry-cleaning machines	Dry-cleaning machines	47111701
DryerMonitors	Dryer monitors	Dryer monitors	41111966
Dryers	Dryers	Dryers	52141602
DryEtchers	Dry etchers	Dry etchers	23211101
DryGasMeters	Dry gas meters	Dry gas meters	41104008
DryHeatSterilizers	Dry heat sterilizers	Dry heat sterilizers	42281502
DryIceBlasters	Dry ice blasters	Dry ice blasters	23241701
DryingCabinets	Drying cabinets	Drying cabinets	41104510
