personId	roleId
Employee	DesktopPublishers
Employee	DevelopmentSpecialists
Employee	DiagnosticMedicalSonographers
Employee	DiamondWorkers
Employee	DieMakers
Employee	DieselEngineSpecialists
Employee	DieteticTechnicians
Employee	DigitalForensicsAnalysts
Employee	DigitalInterfaceDesigners
Employee	Dishwashers
Employee	Dispatchers
Employee	DocumentManagementSpecialists
Employee	DraftersAllOther
Employee	DraglineOperatorsSurfaceMining
Employee	DredgeOperators
Employee	DressingRoomAttendants
Employee	DriverSalesWorkers
Employee	DryCleaningWorkers
Employee	EconomicsTeachersPostsecondary
Employee	Economists
Employee	Editors
Employee	EducationAdministratorsAllOther
Employee	EducationAdministratorsKindergartenThroughSecondary
Employee	EducationAdministratorsPostsecondary
Employee	EducationTeachersPostsecondary
Employee	ElectricalEngineers
Employee	ElectricalRepairers
Employee	Electricians
Employee	ElectromechanicalEquipmentAssemblers
Employee	ElectronicEquipmentAssemblers
Employee	ElectronicsDrafters
Employee	EligibilityInterviewersGovernmentPrograms
Employee	Embalmers
Employee	EmergencyMedicalTechnicians
Employee	EmergencyMedicinePhysicians
Employee	EndoscopyTechnicians
Employee	EnergyAuditors
Employee	EngineeringTeachersPostsecondary
Employee	EngineersAllOther
Employee	Engines
Employee	Engravers
Employee	EnvironmentalComplianceInspectors
Employee	EnvironmentalEconomists
Employee	EnvironmentalEngineers
Employee	EnvironmentalRestorationPlanners
Employee	EnvironmentalScienceTeachersPostsecondary
Employee	EnvironmentalScientists
Employee	Epidemiologists
Employee	Equipment
Employee	EquipmentRepairersAllOther
Employee	Ergonomists
Employee	Escorts
Employee	ESLInstructors
Employee	EventPlanners
Employee	ExercisePhysiologists
Employee	ExhibitDesigners
Employee	ExpeditingClerks
Employee	ExtractionWorkersAllOther
Employee	ExtrudingMachineOperators
Employee	Fabricators
Employee	FabricatorsAllOther
Employee	Fallers
Employee	FamilyMedicinePhysicians
Employee	FamilyTherapists
Employee	FarmLaborContractors
Employee	FarmProducts
Employee	FashionDesigners
Employee	FenceErectors
Employee	FileClerks
Employee	Film
Employee	FinancialClerksAllOther
Employee	FinancialExaminers
Employee	FinancialQuantitativeAnalysts
Employee	FinancialRiskSpecialists
Employee	FinancialServicesSalesAgents
Employee	FinancialSpecialistsAllOther
Employee	Finishers
Employee	FinishingWorkers
Employee	FireAlarmSystemsInstallers
Employee	Firefighters
Employee	FitnessStudiesTeachersPostsecondary
Employee	Fitters
Employee	Flaggers
Employee	FlightAttendants
Employee	FlightEngineers
Employee	FloralDesigners
Employee	FoodBatchmakers
Employee	FoodPreparationWorkers
Employee	FoodProcessingWorkersAllOther
Employee	FoodScienceTechnicians
Employee	FoodServersNonrestaurant
Employee	ForeignLanguageTeachers
Employee	ForensicScienceTechnicians
Employee	Foresters
Employee	FreightAgents
Employee	FreightForwarders
Employee	FuelCellEngineers
Employee	Fundraisers
Employee	FuneralArrangers
Employee	FuneralAttendants
Employee	FurnishingsWorkersAllOther
Employee	FurnitureFinishers
Employee	GamblingCageWorkers
Employee	GamblingDealers
Employee	GamblingInvestigators
Employee	GamblingServiceWorkersAllOther
Employee	GameWardens
Employee	Gas
Employee	GasPlantOperators
Employee	GasPumpingStationOperators
Employee	Gaugers
Employee	GeneralInternalMedicinePhysicians
Employee	GeneticCounselors
Employee	Geneticists
Employee	GeodeticSurveyors
Employee	Geographers
Employee	GeographyTeachersPostsecondary
Employee	GeothermalTechnicians
Employee	Glaziers
Employee	GraphicDesigners
Employee	Greenhouse
Employee	GroundsMaintenanceWorkersAllOther
Employee	GroupFitnessInstructors
Employee	Gynecologists
Employee	HardTiles
Employee	HazardousMaterialsRemovalWorkers
Employee	HeadCooks
Employee	Health
Employee	HealthcareSocialWorkers
Employee	HealthcareSupportWorkersAllOther
Employee	HealthEducationSpecialists
Employee	HealthInformaticsSpecialists
Employee	HealthSpecialtiesTeachersPostsecondary
Employee	HearingAidSpecialists
Employee	HearingOfficers
Employee	HelpersCarpenters
Employee	HelpersConstructionTradesAllOther
Employee	HelpersElectricians
Employee	HelpersExtractionWorkers
Employee	HelpersProductionWorkers
Employee	HelpersRoofers
Employee	HighwayMaintenanceWorkers
Employee	HistologyTechnicians
Employee	Historians
Employee	HistoryTeachersPostsecondary
Employee	Histotechnologists
Employee	HomeApplianceRepairers
Employee	HomeHealthAides
Employee	HomeManagementEducators
Employee	Hospitalists
Employee	Hostlers
Employee	HousekeepingCleaners
Employee	HumanResourcesSpecialists
Employee	HumanServiceAssistants
Employee	HuntingWorkers
Employee	HydroelectricPlantTechnicians
Employee	HydrologicTechnicians
Employee	Hydrologists
Employee	Illustrators
Employee	Immunologists
Employee	IndustrialDesigners
Employee	IndustrialEcologists
Employee	IndustrialEngineers
Employee	IndustrialMachineryMechanics
Employee	IndustrialOrganizationalPsychologists
Employee	Infantry
Employee	InfantryOfficers
Employee	InformationClerks
Employee	InformationResearchScientists
Employee	InformationSecurityAnalysts
Employee	InformationSecurityEngineers
Employee	Inspectors
Employee	Installers
Employee	InstructionalCoordinators
Employee	InstructorsAllOther
Employee	InsulationWorkersMechanical
Employee	InsuranceAppraisersAutoDamage
Employee	InsuranceSalesAgents
Employee	InsuranceUnderwriters
Employee	IntelligenceAnalysts
Employee	Intercity
Employee	InteriorDesigners
Employee	InventoryClerks
Employee	Investigators
Employee	InvestmentAnalysts
Employee	Jailers
Employee	Janitors
Employee	JobAnalysisSpecialists
Employee	Journalists
Employee	JudicialLawClerks
Employee	LaboratoryAnimalCaretakers
Employee	LaborRelationsSpecialists
Employee	LandscapeArchitects
Employee	LawEnforcementTeachersPostsecondary
Employee	LawTeachersPostsecondary
Employee	Lawyers
Employee	LegalAssistants
Employee	LegalSupportWorkersAllOther
Employee	Legislators
Employee	LibraryAssistantsClerical
Employee	LibraryScienceTeachersPostsecondary
Employee	LibraryTechnicians
Employee	LibraryWorkersAllOther
Employee	LicenseClerks
Employee	LicensedVocationalNurses
Employee	LifeScientistsAllOther
Employee	LightingTechnicians
Employee	LightTruckDrivers
Employee	LineInstallers
Employee	LiteratureTeachersPostsecondary
Employee	Loan
Employee	LoanOfficers
Employee	LockTenders
Employee	LocomotiveEngineers
Employee	LocomotiveFirers
Employee	LoggingEquipmentOperators
Employee	LoggingWorkersAllOther
Employee	Logisticians
Employee	LogisticsAnalysts
Employee	LogisticsEngineers
Employee	Machinists
Employee	Magistrates
