url	ns	type	id	name	description	code	domainIncludes	rangeIncludes	sourceUrl
https://schema.org.ai/startTime	schema.org.ai	Property	startTime	startTime	The startTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to start. For actions that span a period of time, when the action was performed. E.g. John wrote a book from *January* to December. For media, including audio and video, it's the time offset of the start of a clip within a larger file.\n\nNote that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.	startTime	FoodEstablishmentReservation,Action,Schedule,MediaObject,InteractionCounter	Time,DateTime	startTime
https://schema.org.ai/associatedClaimReview	schema.org.ai	Property	associatedClaimReview	associatedClaimReview	An associated [[ClaimReview]], related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case [[relatedMediaReview]] would commonly be used on a [[ClaimReview]], while [[relatedClaimReview]] would be used on [[MediaReview]].	associatedClaimReview	Review	Review	associatedClaimReview
https://schema.org.ai/result	schema.org.ai	Property	result	result	The result produced in the action. E.g. John wrote *a book*.	result	Action	Thing	result
https://schema.org.ai/availableOnDevice	schema.org.ai	Property	availableOnDevice	availableOnDevice	Device required to run the application. Used in cases where a specific make/model is required to run the application.	availableOnDevice	SoftwareApplication	Text	availableOnDevice
https://schema.org.ai/dateDeleted	schema.org.ai	Property	dateDeleted	dateDeleted	The datetime the item was removed from the DataFeed.	dateDeleted	DataFeedItem	DateTime,Date	dateDeleted
https://schema.org.ai/albums	schema.org.ai	Property	albums	albums	A collection of music albums.	albums	MusicGroup	MusicAlbum	albums
https://schema.org.ai/keywords	schema.org.ai	Property	keywords	keywords	Keywords or tags used to describe some item. Multiple textual entries in a keywords list are typically delimited by commas, or by repeating the property.	keywords	Event,Place,Product,CreativeWork,Organization	Text,URL,DefinedTerm	keywords
https://schema.org.ai/cvdNumTotBeds	schema.org.ai	Property	cvdNumTotBeds	cvdNumTotBeds	numtotbeds - ALL HOSPITAL BEDS: Total number of all inpatient and outpatient beds, including all staffed, ICU, licensed, and overflow (surge) beds used for inpatients or outpatients.	cvdNumTotBeds	CDCPMDRecord	Number	cvdNumTotBeds
https://schema.org.ai/biomechnicalClass	schema.org.ai	Property	biomechnicalClass	biomechnicalClass	The biomechanical properties of the bone.	biomechnicalClass	Joint	Text	biomechnicalClass
https://schema.org.ai/followee	schema.org.ai	Property	followee	followee	A sub property of object. The person or organization being followed.	followee	FollowAction	Person,Organization	followee
https://schema.org.ai/dateSent	schema.org.ai	Property	dateSent	dateSent	The date/time at which the message was sent.	dateSent	Message	DateTime	dateSent
