education_program_id	cip_code	career_cluster_id	subcluster_id
medical-genetics-and-genomicsmaternal-fetal-medicine-combined-specialty-program	61.0118	healthcare-human-services	healthcare-human-services/biotechnology-research-development
medical-genetics-and-genomicsmaternal-fetal-medicine-combined-specialty-program	61.0118	healthcare-human-services	healthcare-human-services/physical-health
pediatricsanesthesiology-combined-specialty-program	61.0119	education	education/teaching-training-facilitation
pediatricsanesthesiology-combined-specialty-program	61.0119	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatricsanesthesiology-combined-specialty-program	61.0119	healthcare-human-services	healthcare-human-services/physical-health
pediatricsemergency-medicine-combined-specialty-program	61.0120	education	education/teaching-training-facilitation
pediatricsemergency-medicine-combined-specialty-program	61.0120	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatricsemergency-medicine-combined-specialty-program	61.0120	healthcare-human-services	healthcare-human-services/physical-health
pediatricsmedical-genetics-and-genomics-combined-specialty-program	61.0121	education	education/teaching-training-facilitation
pediatricsmedical-genetics-and-genomics-combined-specialty-program	61.0121	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatricsmedical-genetics-and-genomics-combined-specialty-program	61.0121	healthcare-human-services	healthcare-human-services/physical-health
pediatricsphysical-medicine-rehabilitation-combined-specialty-program	61.0122	education	education/teaching-training-facilitation
pediatricsphysical-medicine-rehabilitation-combined-specialty-program	61.0122	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatricsphysical-medicine-rehabilitation-combined-specialty-program	61.0122	healthcare-human-services	healthcare-human-services/physical-health
pediatricspsychologychild-adolescent-psychology-combined-specialty-program	61.0123	education	education/teaching-training-facilitation
pediatricspsychologychild-adolescent-psychology-combined-specialty-program	61.0123	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatricspsychologychild-adolescent-psychology-combined-specialty-program	61.0123	healthcare-human-services	healthcare-human-services/physical-health
psychiatryneurology-combined-specialty-program	61.0124	education	education/teaching-training-facilitation
psychiatryneurology-combined-specialty-program	61.0124	healthcare-human-services	healthcare-human-services/biotechnology-research-development
psychiatryneurology-combined-specialty-program	61.0124	healthcare-human-services	healthcare-human-services/physical-health
reproductive-endocrinology-and-infertilitymedical-genetics-and-genomics-combined-specialty-program	61.0125	education	education/teaching-training-facilitation
reproductive-endocrinology-and-infertilitymedical-genetics-and-genomics-combined-specialty-program	61.0125	healthcare-human-services	healthcare-human-services/biotechnology-research-development
reproductive-endocrinology-and-infertilitymedical-genetics-and-genomics-combined-specialty-program	61.0125	healthcare-human-services	healthcare-human-services/physical-health
combined-medical-residencyfellowship-programs-other	61.0199	education	education/teaching-training-facilitation
combined-medical-residencyfellowship-programs-other	61.0199	healthcare-human-services	healthcare-human-services/biotechnology-research-development
combined-medical-residencyfellowship-programs-other	61.0199	healthcare-human-services	healthcare-human-services/physical-health
critical-care-medicine-fellowship-program	61.0202	education	education/teaching-training-facilitation
critical-care-medicine-fellowship-program	61.0202	healthcare-human-services	healthcare-human-services/biotechnology-research-development
critical-care-medicine-fellowship-program	61.0202	healthcare-human-services	healthcare-human-services/physical-health
geriatric-medicine-fellowship-program	61.0203	education	education/teaching-training-facilitation
geriatric-medicine-fellowship-program	61.0203	healthcare-human-services	healthcare-human-services/biotechnology-research-development
geriatric-medicine-fellowship-program	61.0203	healthcare-human-services	healthcare-human-services/physical-health
health-policy-fellowship-program	61.0204	education	education/teaching-training-facilitation
hospice-and-palliative-medicine-fellowship-program	61.0205	education	education/teaching-training-facilitation
hospice-and-palliative-medicine-fellowship-program	61.0205	healthcare-human-services	healthcare-human-services/biotechnology-research-development
hospice-and-palliative-medicine-fellowship-program	61.0205	healthcare-human-services	healthcare-human-services/physical-health
integrative-medicine-fellowship-program	61.0206	education	education/teaching-training-facilitation
integrative-medicine-fellowship-program	61.0206	healthcare-human-services	healthcare-human-services/biotechnology-research-development
integrative-medicine-fellowship-program	61.0206	healthcare-human-services	healthcare-human-services/physical-health
medical-education-fellowship-program	61.0207	education	education/education-administration-leadership
medical-education-fellowship-program	61.0207	education	education/teaching-training-facilitation
medical-toxicology-fellowship-program	61.0208	education	education/teaching-training-facilitation
medical-toxicology-fellowship-program	61.0208	healthcare-human-services	healthcare-human-services/biotechnology-research-development
medical-toxicology-fellowship-program	61.0208	healthcare-human-services	healthcare-human-services/physical-health
neuromuscular-medicine-fellowship-program	61.0209	education	education/teaching-training-facilitation
neuromuscular-medicine-fellowship-program	61.0209	healthcare-human-services	healthcare-human-services/biotechnology-research-development
neuromuscular-medicine-fellowship-program	61.0209	healthcare-human-services	healthcare-human-services/physical-health
pain-medicine-fellowship-program	61.0210	education	education/teaching-training-facilitation
pain-medicine-fellowship-program	61.0210	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pain-medicine-fellowship-program	61.0210	healthcare-human-services	healthcare-human-services/physical-health
simulation-fellowship-program	61.0211	education	education/education-administration-leadership
simulation-fellowship-program	61.0211	education	education/teaching-training-facilitation
sleep-medicine-fellowship-program	61.0212	education	education/teaching-training-facilitation
sleep-medicine-fellowship-program	61.0212	healthcare-human-services	healthcare-human-services/biotechnology-research-development
sleep-medicine-fellowship-program	61.0212	healthcare-human-services	healthcare-human-services/physical-health
sports-medicine-fellowship-program	61.0213	education	education/teaching-training-facilitation
sports-medicine-fellowship-program	61.0213	healthcare-human-services	healthcare-human-services/biotechnology-research-development
sports-medicine-fellowship-program	61.0213	healthcare-human-services	healthcare-human-services/physical-health
surgery-of-the-hand-fellowship-program	61.0214	education	education/teaching-training-facilitation
surgery-of-the-hand-fellowship-program	61.0214	healthcare-human-services	healthcare-human-services/biotechnology-research-development
surgery-of-the-hand-fellowship-program	61.0214	healthcare-human-services	healthcare-human-services/physical-health
telemedicine-fellowship-program	61.0215	education	education/teaching-training-facilitation
telemedicine-fellowship-program	61.0215	healthcare-human-services	healthcare-human-services/biotechnology-research-development
telemedicine-fellowship-program	61.0215	healthcare-human-services	healthcare-human-services/physical-health
undersea-and-hyperbaric-medicine-fellowship-program	61.0216	education	education/teaching-training-facilitation
undersea-and-hyperbaric-medicine-fellowship-program	61.0216	healthcare-human-services	healthcare-human-services/biotechnology-research-development
undersea-and-hyperbaric-medicine-fellowship-program	61.0216	healthcare-human-services	healthcare-human-services/physical-health
wilderness-medicine-fellowship-program	61.0217	education	education/teaching-training-facilitation
wilderness-medicine-fellowship-program	61.0217	healthcare-human-services	healthcare-human-services/biotechnology-research-development
wilderness-medicine-fellowship-program	61.0217	healthcare-human-services	healthcare-human-services/physical-health
womens-health-fellowship-program	61.0218	education	education/teaching-training-facilitation
womens-health-fellowship-program	61.0218	healthcare-human-services	healthcare-human-services/biotechnology-research-development
womens-health-fellowship-program	61.0218	healthcare-human-services	healthcare-human-services/physical-health
multiple-pathway-medical-fellowship-programs-other	61.0299	education	education/teaching-training-facilitation
multiple-pathway-medical-fellowship-programs-other	61.0299	healthcare-human-services	healthcare-human-services/biotechnology-research-development
multiple-pathway-medical-fellowship-programs-other	61.0299	healthcare-human-services	healthcare-human-services/physical-health
allergy-and-immunology-fellowship-program	61.0301	education	education/teaching-training-facilitation
allergy-and-immunology-fellowship-program	61.0301	healthcare-human-services	healthcare-human-services/biotechnology-research-development
allergy-and-immunology-fellowship-program	61.0301	healthcare-human-services	healthcare-human-services/physical-health
