id	code	name	familyCode
FluorocarbonBasedMedicalImagingAgentsMediaAndTracers	51442100	Fluorocarbon-based medical imaging agents, media, and tracers	51440000
GadoliniumBasedMedicalImagingAgentsMediaAndTracers	51442200	Gadolinium-based medical imaging agents, media, and tracers	51440000
IndiumBasedMedicalImagingAgentsAndMedia	51442300	Indium-based medical imaging agents and media	51440000
IodineBasedRadiopharmaceuticalsImagingAgentsMediaAndTracers	51442400	Iodine-based radiopharmaceuticals, imaging agents, media, and tracers	51440000
ManganeseBasedRadiopharmaceuticalsImagingAgentsMediaAndTracers	51442500	Manganese-based radiopharmaceuticals, imaging agents, media, and tracers	51440000
SodiumBasedRadiopharmaceuticalsImagingAgentsMediaAndTracers	51442600	Sodium-based radiopharmaceuticals, imaging agents, media, and tracers	51440000
TechnetiumBasedRadiopharmaceuticalsImagingAgentsMediaAndTracers	51442700	Technetium-based radiopharmaceuticals, imaging agents, media, and tracers	51440000
AnthelminticChlorophenols	51451500	Anthelmintic chlorophenols	51450000
AnthelminticBenzimidazoles	51451600	Anthelmintic benzimidazoles	51450000
AnthelminticPhenothiazinesAndPiperidinesAndPyrrolidinesAndQuaternaryAmmoniumCompoundsAndThiophenes	51451700	Anthelmintic phenothiazines and piperidines and pyrrolidines and quaternary ammonium compounds and thiophenes	51450000
AnthelminticFromOtherConstituents	51451800	Anthelmintic from other constituents	51450000
AnthelminticAmides	51451900	Anthelmintic amides	51450000
AnthelminticAmidinesAndAminesAndArsenicalsAndAzoles	51452000	Anthelmintic amidines and amines and arsenicals and azoles	51450000
AnthelminticBenzeneDerivatives	51452100	Anthelmintic benzene derivatives	51450000
AnthelminticBenzoates	51452200	Anthelmintic benzoates	51450000
AnthelminticBenzodioxolesAndButyrophenonesAndCopperCompoundsAndCyclohexanesAndNaphthalenes	51452300	Anthelmintic benzodioxoles and butyrophenones and copper compounds and cyclohexanes and naphthalenes	51450000
AnthelminticCarbamates	51452400	Anthelmintic carbamates	51450000
AnthelminticChlorinatedHydrocarbons	51452500	Anthelmintic chlorinated hydrocarbons	51450000
AnthelminticGuanidines	51452600	Anthelmintic guanidines	51450000
AnthelminticIsoquinolines	51452700	Anthelmintic isoquinolines	51450000
AnthelminticMacrolides	51452800	Anthelmintic macrolides	51450000
AnthelminticOrganophosphorusCompounds	51452900	Anthelmintic organophosphorus compounds	51450000
AnthelminticPiperazines	51453000	Anthelmintic piperazines	51450000
AnthelminticPyrimidines	51453100	Anthelmintic pyrimidines	51450000
AnthelminticQuinolines	51453200	Anthelmintic quinolines	51450000
AnthelminticSulfides	51453300	Anthelmintic sulfides	51450000
AnthelminticTerpenes	51453400	Anthelmintic terpenes	51450000
AnthelminticThiazoles	51453500	Anthelmintic thiazoles	51450000
AnthelminticThiocyanates	51453600	Anthelmintic thiocyanates	51450000
AnthelminticThioxanthenes	51453700	Anthelmintic thioxanthenes	51450000
MedicinalHerbs	51461500	Medicinal herbs	51460000
CombinationHerbsAlternativeTherapies	51461600	Combination herbs/alternative therapies	51460000
AntisepticAlkenesAndAmidinesAndAminesAndAmmoniaBasedCompounds	51471500	Antiseptic alkenes and amidines and amines and ammonia-based compounds	51470000
AntisepticAcetates	51471600	Antiseptic acetates	51470000
AntisepticAcids	51471700	Antiseptic acids	51470000
AntisepticAcridines	51471800	Antiseptic acridines	51470000
AntisepticAlcohols	51471900	Antiseptic alcohols	51470000
AntisepticAldehydes	51472000	Antiseptic aldehydes	51470000
AntisepticAmides	51472100	Antiseptic amides	51470000
AntisepticBoratesAndChlorineBasedCompoundsAndHeavyMetalsAndHerbalPreparations	51472300	Antiseptic borates and chlorine-based compounds and heavy metals and herbal preparations	51470000
AntisepticBenzoates	51472400	Antiseptic benzoates	51470000
AntisepticChlorobenzenes	51472500	Antiseptic chlorobenzenes	51470000
AntisepticCresols	51472600	Antiseptic cresols	51470000
AntisepticFluorineCompounds	51472700	Antiseptic fluorine compounds	51470000
AntisepticGuanidines	51472800	Antiseptic guanidines	51470000
AntisepticHalogens	51472900	Antiseptic halogens	51470000
AntisepticQuaternaryAmmoniumCompounds	51473000	Antiseptic quaternary ammonium compounds	51470000
AntisepticImidazolesAndKetonesAndLipidsAndNitrofurans	51473100	Antiseptic imidazoles and ketones and lipids and nitrofurans	51470000
AntisepticOrganometallicCompounds	51473200	Antiseptic organometallic compounds	51470000
AntisepticPhenols	51473300	Antiseptic phenols	51470000
AntisepticPyridines	51473400	Antiseptic pyridines	51470000
AntisepticPyrimidinesAndSilversAndUreasAndWaters	51473500	Antiseptic pyrimidines and silvers and ureas and waters	51470000
AntisepticQuinolines	51473600	Antiseptic quinolines	51470000
AntisepticSulfurCompounds	51473700	Antiseptic sulfur compounds	51470000
AntisepticTerpenes	51473800	Antiseptic terpenes	51470000
CombinationSoapsShampoosSoapFreeCleansers	51473900	Combination soaps/shampoos/soap-free cleansers	51470000
CombinationAntisepticsCeruminolyticsAndDisinfectants	51474000	Combination antiseptics, ceruminolytics, and disinfectants	51470000
RugsAndMats	52101500	Rugs and mats	52100000
Bedclothes	52121500	Bedclothes	52120000
TableAndKitchenLinenAndAccessories	52121600	Table and kitchen linen and accessories	52120000
Towels	52121700	Towels	52120000
