url	ns	type	id	code	name	description	annualMean	annualMedian	annual10th	annual25th	annual75th	annual90th	hourlyMean	hourlyMedian	matchedOnet	digital
https://onet.org.ai/Wage/FoodServiceManagers	onet.org.ai	Wage	FoodServiceManagers	119051	Food Service Managers		72370	65310	42380	53090	82300	105420	34.79	31.4	true	
https://onet.org.ai/Wage/EntertainmentandRecreationManagers	onet.org.ai	Wage	EntertainmentandRecreationManagers	119070	Entertainment and Recreation Managers		88780	77650	46080	59450	102890	137940	42.68	37.33	false	
https://onet.org.ai/Wage/GamblingManagers	onet.org.ai	Wage	GamblingManagers	119071	Gambling Managers		102480	85580	51670	70190	120490	165220	49.27	41.14	true	
https://onet.org.ai/Wage/Gambling	onet.org.ai	Wage	Gambling	119072	Entertainment and Recreation Managers, Except Gambling		87060	77180	45320	58380	101750	134680	41.86	37.11	true	
https://onet.org.ai/Wage/LodgingManagers	onet.org.ai	Wage	LodgingManagers	119081	Lodging Managers		77460	68130	39490	50040	90670	126990	37.24	32.76	true	
https://onet.org.ai/Wage/HealthServicesManagers	onet.org.ai	Wage	HealthServicesManagers	119111	Medical and Health Services Managers		137730	117960	69680	88560	162420	219080	66.22	56.71	true	
https://onet.org.ai/Wage/WaterResourceSpecialists	onet.org.ai	Wage	WaterResourceSpecialists	119121	Water Resource Specialists		173500	161180	79830	114110	214820		83.41	77.49	true	
https://onet.org.ai/Wage/MailSuperintendents	onet.org.ai	Wage	MailSuperintendents	119131	Postmasters and Mail Superintendents		93760	92730	81430	87150	99590	109140	45.08	44.58	true	
https://onet.org.ai/Wage/CommunityAssociationManagers	onet.org.ai	Wage	CommunityAssociationManagers	119141	Property, Real Estate, and Community Association Managers		82720	66700	39360	49530	95760	141040	39.77	32.07	true	
https://onet.org.ai/Wage/CommunityServiceManagers	onet.org.ai	Wage	CommunityServiceManagers	119151	Social and Community Service Managers		86100	78240	50020	62420	100600	129820	41.39	37.61	true	
https://onet.org.ai/Wage/EmergencyManagementDirectors	onet.org.ai	Wage	EmergencyManagementDirectors	119161	Emergency Management Directors		97700	86130	51260	64470	119690	160420	46.97	41.41	true	
https://onet.org.ai/Wage/PersonalServiceManagers	onet.org.ai	Wage	PersonalServiceManagers	119170	Personal Service Managers		78970	70560	40670	52070	95420	124950	37.97	33.92	false	
https://onet.org.ai/Wage/FuneralHomeManagers	onet.org.ai	Wage	FuneralHomeManagers	119171	Funeral Home Managers		85650	76830	45820	59780	99330	132470	41.18	36.94	true	
https://onet.org.ai/Wage/SpaManagers	onet.org.ai	Wage	SpaManagers	119179	Spa Managers		70620	61340	36880	47670	82890	111130	33.95	29.49	true	
https://onet.org.ai/Wage/SiteManagers	onet.org.ai	Wage	SiteManagers	119199	Brownfield Redevelopment Specialists and Site Managers		149890	136550	68860	100010	179190	227590	72.06	65.65	true	
https://onet.org.ai/Wage/BusinessandFinancialOperationsOccupations	onet.org.ai	Wage	BusinessandFinancialOperationsOccupations	130000	Business and Financial Operations Occupations		93680	80920	47310	61430	109370	150040	45.04	38.9	false	
https://onet.org.ai/Wage/BusinessOperationsSpecialists	onet.org.ai	Wage	BusinessOperationsSpecialists	131000	Business Operations Specialists		91020	80410	46690	60690	108270	143140	43.76	38.66	false	
https://onet.org.ai/Wage/Athletes	onet.org.ai	Wage	Athletes	131011	Agents and Business Managers of Artists, Performers, and Athletes		165600	96310	48530	63100	168850		79.62	46.3	true	
https://onet.org.ai/Wage/BuyersandPurchasingAgents	onet.org.ai	Wage	BuyersandPurchasingAgents	131020	Buyers and Purchasing Agents		81720	75650	46460	58670	99190	127520	39.29	36.37	false	
https://onet.org.ai/Wage/ClaimsAdjustersAppraisersExaminersandInvestigators	onet.org.ai	Wage	ClaimsAdjustersAppraisersExaminersandInvestigators	131030	Claims Adjusters, Appraisers, Examiners, and Investigators		78720	76790	47860	60220	95860	111360	37.85	36.92	false	
https://onet.org.ai/Wage/Investigators	onet.org.ai	Wage	Investigators	131031	Claims Adjusters, Examiners, and Investigators		61680	52370	37250	41940	75310	98770	29.65	25.18	true	
https://onet.org.ai/Wage/InsuranceAppraisersAutoDamage	onet.org.ai	Wage	InsuranceAppraisersAutoDamage	131032	Insurance Appraisers, Auto Damage		77050	76650	56690	64280	86430	101800	37.04	36.85	true	
https://onet.org.ai/Wage/CustomsBrokers	onet.org.ai	Wage	CustomsBrokers	131041	Customs Brokers		84980	78420	46230	59130	104800	130030	40.86	37.7	true	
https://onet.org.ai/Wage/CostEstimators	onet.org.ai	Wage	CostEstimators	131051	Cost Estimators		83160	77070	46330	59830	99630	128640	39.98	37.05	true	
https://onet.org.ai/Wage/HumanResourcesWorkers	onet.org.ai	Wage	HumanResourcesWorkers	131070	Human Resources Workers		80860	74220	45560	56540	98470	128180	38.88	35.68	false	
https://onet.org.ai/Wage/HumanResourcesSpecialists	onet.org.ai	Wage	HumanResourcesSpecialists	131071	Human Resources Specialists		79730	72910	45440	55870	97270	126540	38.33	35.05	true	
https://onet.org.ai/Wage/FarmLaborContractors	onet.org.ai	Wage	FarmLaborContractors	131074	Farm Labor Contractors		51910	48690	29800	32860	58250	86860	24.96	23.41	true	
https://onet.org.ai/Wage/LaborRelationsSpecialists	onet.org.ai	Wage	LaborRelationsSpecialists	131075	Labor Relations Specialists		97130	93500	49880	67670	123090	153440	46.7	44.95	true	
https://onet.org.ai/Wage/LogisticiansandProjectManagementSpecialists	onet.org.ai	Wage	LogisticiansandProjectManagementSpecialists	131080	Logisticians and Project Management Specialists		104210	98070	57540	74260	129100	162670	50.1	47.15	false	
https://onet.org.ai/Wage/LogisticsAnalysts	onet.org.ai	Wage	LogisticsAnalysts	131081	Logistics Analysts		87600	80880	49260	62920	104330	132110	42.12	38.89	true	
https://onet.org.ai/Wage/ProjectManagementSpecialists	onet.org.ai	Wage	ProjectManagementSpecialists	131082	Project Management Specialists		108100	100750	59830	76950	131660	165790	51.97	48.44	true	
https://onet.org.ai/Wage/ManagementAnalysts	onet.org.ai	Wage	ManagementAnalysts	131111	Management Analysts		114710	101190	59720	76770	133140	174140	55.15	48.65	true	
https://onet.org.ai/Wage/EventPlanners	onet.org.ai	Wage	EventPlanners	131121	Meeting, Convention, and Event Planners		65090	59440	35990	45610	77150	101310	31.29	28.58	true	
https://onet.org.ai/Wage/Fundraisers	onet.org.ai	Wage	Fundraisers	131131	Fundraisers		73130	66490	43200	52590	85280	106960	35.16	31.97	true	
https://onet.org.ai/Wage/JobAnalysisSpecialists	onet.org.ai	Wage	JobAnalysisSpecialists	131141	Compensation, Benefits, and Job Analysis Specialists		82920	77020	48300	59700	99210	128830	39.86	37.03	true	
https://onet.org.ai/Wage/DevelopmentSpecialists	onet.org.ai	Wage	DevelopmentSpecialists	131151	Training and Development Specialists		73760	65850	37510	48900	91550	120190	35.46	31.66	true	
https://onet.org.ai/Wage/SearchMarketingStrategists	onet.org.ai	Wage	SearchMarketingStrategists	131161	Search Marketing Strategists		86480	76950	42070	56220	104870	144610	41.58	37	true	
https://onet.org.ai/Wage/SecurityManagementSpecialists	onet.org.ai	Wage	SecurityManagementSpecialists	131199	Security Management Specialists		92380	81270	46230	60820	110030	147830	44.41	39.07	true	
https://onet.org.ai/Wage/FinancialSpecialists	onet.org.ai	Wage	FinancialSpecialists	132000	Financial Specialists		100090	82140	48960	63030	114220	162290	48.12	39.49	false	
https://onet.org.ai/Wage/Auditors	onet.org.ai	Wage	Auditors	132011	Accountants and Auditors		93520	81680	52780	64660	106450	141420	44.96	39.27	true	
https://onet.org.ai/Wage/PropertyAppraisersandAssessors	onet.org.ai	Wage	PropertyAppraisersandAssessors	132020	Property Appraisers and Assessors		77160	65420	38480	49310	90810	122760	37.1	31.45	false	
https://onet.org.ai/Wage/BudgetAnalysts	onet.org.ai	Wage	BudgetAnalysts	132031	Budget Analysts		93920	87930	60510	72240	110380	134640	45.15	42.27	true	
https://onet.org.ai/Wage/CreditAnalysts	onet.org.ai	Wage	CreditAnalysts	132041	Credit Analysts		98040	80970	52930	63850	113850	168840	47.14	38.93	true	
https://onet.org.ai/Wage/FinancialAnalystsandAdvisors	onet.org.ai	Wage	FinancialAnalystsandAdvisors	132050	Financial Analysts and Advisors		128420	99990	57870	74840	137310	213800	61.74	48.07	false	
https://onet.org.ai/Wage/InvestmentAnalysts	onet.org.ai	Wage	InvestmentAnalysts	132051	Financial and Investment Analysts		116490	101350	62410	78300	132050	180550	56.01	48.73	true	
https://onet.org.ai/Wage/PersonalFinancialAdvisors	onet.org.ai	Wage	PersonalFinancialAdvisors	132052	Personal Financial Advisors		160210	102140	49990	70620	172540		77.02	49.11	true	
https://onet.org.ai/Wage/InsuranceUnderwriters	onet.org.ai	Wage	InsuranceUnderwriters	132053	Insurance Underwriters		90830	79880	51640	63070	104820	138020	43.67	38.4	true	
https://onet.org.ai/Wage/FinancialRiskSpecialists	onet.org.ai	Wage	FinancialRiskSpecialists	132054	Financial Risk Specialists		119930	106000	62270	80280	145020	182310	57.66	50.96	true	
https://onet.org.ai/Wage/FinancialExaminers	onet.org.ai	Wage	FinancialExaminers	132061	Financial Examiners		103650	90400	53420	66800	127210	171540	49.83	43.46	true	
https://onet.org.ai/Wage/CreditCounselorsandLoanOfficers	onet.org.ai	Wage	CreditCounselorsandLoanOfficers	132070	Credit Counselors and Loan Officers		83360	69040	38550	49470	100090	138030	40.08	33.19	false	
https://onet.org.ai/Wage/CreditCounselors	onet.org.ai	Wage	CreditCounselors	132071	Credit Counselors		55890	50480	38980	45420	61760	77920	26.87	24.27	true	
https://onet.org.ai/Wage/LoanOfficers	onet.org.ai	Wage	LoanOfficers	132072	Loan Officers		86020	74180	38490	50460	101920	145780	41.35	35.66	true	
https://onet.org.ai/Wage/TaxExaminersCollectorsandPreparersandRevenueAgents	onet.org.ai	Wage	TaxExaminersCollectorsandPreparersandRevenueAgents	132080	Tax Examiners, Collectors and Preparers, and Revenue Agents		62530	56160	34770	41540	77130	100410	30.06	27	false	
https://onet.org.ai/Wage/RevenueAgents	onet.org.ai	Wage	RevenueAgents	132081	Tax Examiners and Collectors, and Revenue Agents		67570	59740	40020	46820	79330	110300	32.49	28.72	true	
https://onet.org.ai/Wage/TaxPreparers	onet.org.ai	Wage	TaxPreparers	132082	Tax Preparers		58860	50560	30500	37750	75590	96240	28.3	24.31	true	
https://onet.org.ai/Wage/Analysts	onet.org.ai	Wage	Analysts	132099	Fraud Examiners, Investigators and Analysts		93890	80190	46420	60140	109120	151780	45.14	38.55	true	
https://onet.org.ai/Wage/ComputerandMathematicalOccupations	onet.org.ai	Wage	ComputerandMathematicalOccupations	150000	Computer and Mathematical Occupations		116810	105850	54100	76350	146650	180110	56.16	50.89	false	
https://onet.org.ai/Wage/ComputerOccupations	onet.org.ai	Wage	ComputerOccupations	151200	Computer Occupations		116770	105990	53340	76180	147220	180110	56.14	50.96	false	
