ns	from	to	predicate	reverse
noun	LifestyleModification	schema.org	definedBy	defines
noun	DigitalDocumentPermissionType	Enumeration	subClassOf	superClassOf
noun	DigitalDocumentPermissionType	schema.org	definedBy	defines
noun	XPathType	Text	subClassOf	superClassOf
noun	XPathType	schema.org	definedBy	defines
noun	FMRadioChannel	RadioChannel	subClassOf	superClassOf
noun	FMRadioChannel	schema.org	definedBy	defines
noun	Review	CreativeWork	subClassOf	superClassOf
noun	Review	schema.org	definedBy	defines
noun	PriceComponentTypeEnumeration	Enumeration	subClassOf	superClassOf
noun	PriceComponentTypeEnumeration	schema.org	definedBy	defines
noun	Thing	schema.org	definedBy	defines
noun	AmpStory	MediaObject	subClassOf	superClassOf
noun	AmpStory	schema.org	definedBy	defines
noun	VideoGameSeries	CreativeWorkSeries	subClassOf	superClassOf
noun	VideoGameSeries	schema.org	definedBy	defines
noun	MusicReleaseFormatType	Enumeration	subClassOf	superClassOf
noun	MusicReleaseFormatType	schema.org	definedBy	defines
noun	MedicalTherapy	TherapeuticProcedure	subClassOf	superClassOf
noun	MedicalTherapy	schema.org	definedBy	defines
noun	WPAdBlock	WebPageElement	subClassOf	superClassOf
noun	WPAdBlock	schema.org	definedBy	defines
noun	CorrectionComment	Comment	subClassOf	superClassOf
noun	CorrectionComment	schema.org	definedBy	defines
noun	StatusEnumeration	Enumeration	subClassOf	superClassOf
noun	StatusEnumeration	schema.org	definedBy	defines
noun	GardenStore	Store	subClassOf	superClassOf
noun	GardenStore	schema.org	definedBy	defines
noun	Drug	Substance	subClassOf	superClassOf
noun	Drug	schema.org	definedBy	defines
noun	ElectronicsStore	Store	subClassOf	superClassOf
noun	ElectronicsStore	schema.org	definedBy	defines
noun	WebPageElement	CreativeWork	subClassOf	superClassOf
noun	WebPageElement	schema.org	definedBy	defines
noun	Integer	Number	subClassOf	superClassOf
noun	Integer	schema.org	definedBy	defines
noun	CheckAction	FindAction	subClassOf	superClassOf
noun	CheckAction	schema.org	definedBy	defines
noun	DigitalDocumentPermission	Intangible	subClassOf	superClassOf
noun	DigitalDocumentPermission	schema.org	definedBy	defines
noun	MerchantReturnEnumeration	Enumeration	subClassOf	superClassOf
noun	MerchantReturnEnumeration	schema.org	definedBy	defines
noun	IceCreamShop	FoodEstablishment	subClassOf	superClassOf
noun	IceCreamShop	schema.org	definedBy	defines
noun	Text	schema.org	definedBy	defines
noun	ReturnAction	TransferAction	subClassOf	superClassOf
noun	ReturnAction	schema.org	definedBy	defines
noun	Campground	LodgingBusiness	subClassOf	superClassOf
noun	Campground	schema.org	definedBy	defines
noun	DeliveryMethod	Enumeration	subClassOf	superClassOf
noun	DeliveryMethod	schema.org	definedBy	defines
noun	OfferItemCondition	Enumeration	subClassOf	superClassOf
noun	OfferItemCondition	schema.org	definedBy	defines
noun	BikeStore	Store	subClassOf	superClassOf
noun	BikeStore	schema.org	definedBy	defines
noun	RadioBroadcastService	BroadcastService	subClassOf	superClassOf
noun	RadioBroadcastService	schema.org	definedBy	defines
noun	InformAction	CommunicateAction	subClassOf	superClassOf
noun	InformAction	schema.org	definedBy	defines
noun	StructuredValue	Intangible	subClassOf	superClassOf
noun	StructuredValue	schema.org	definedBy	defines
noun	NLNonprofitType	NonprofitType	subClassOf	superClassOf
noun	NLNonprofitType	schema.org	definedBy	defines
noun	DepositAccount	InvestmentOrDeposit	subClassOf	superClassOf
noun	DepositAccount	schema.org	definedBy	defines
noun	Joint	AnatomicalStructure	subClassOf	superClassOf
noun	Joint	schema.org	definedBy	defines
noun	DeleteAction	UpdateAction	subClassOf	superClassOf
noun	DeleteAction	schema.org	definedBy	defines
noun	NailSalon	HealthAndBeautyBusiness	subClassOf	superClassOf
noun	NailSalon	schema.org	definedBy	defines
noun	TrackAction	FindAction	subClassOf	superClassOf
noun	TrackAction	schema.org	definedBy	defines
noun	Winery	FoodEstablishment	subClassOf	superClassOf
noun	Winery	schema.org	definedBy	defines
noun	PhysicalActivity	LifestyleModification	subClassOf	superClassOf
noun	PhysicalActivity	schema.org	definedBy	defines
noun	MiddleSchool	EducationalOrganization	subClassOf	superClassOf
noun	MiddleSchool	schema.org	definedBy	defines
noun	DDxElement	MedicalIntangible	subClassOf	superClassOf
noun	DDxElement	schema.org	definedBy	defines
noun	Taxon	Thing	subClassOf	superClassOf
noun	Taxon	schema.org	definedBy	defines
noun	CategoryCode	DefinedTerm	subClassOf	superClassOf
noun	CategoryCode	schema.org	definedBy	defines
noun	UserInteraction	Event	subClassOf	superClassOf
noun	UserInteraction	schema.org	definedBy	defines
noun	AddAction	UpdateAction	subClassOf	superClassOf
noun	AddAction	schema.org	definedBy	defines
noun	BusinessFunction	Enumeration	subClassOf	superClassOf
noun	BusinessFunction	schema.org	definedBy	defines
noun	BuyAction	TradeAction	subClassOf	superClassOf
noun	BuyAction	schema.org	definedBy	defines
noun	Vehicle	Product	subClassOf	superClassOf
noun	Vehicle	schema.org	definedBy	defines
noun	PerformingGroup	Organization	subClassOf	superClassOf
noun	PerformingGroup	schema.org	definedBy	defines
noun	ExchangeRateSpecification	StructuredValue	subClassOf	superClassOf
noun	ExchangeRateSpecification	schema.org	definedBy	defines
noun	ComputerLanguage	Intangible	subClassOf	superClassOf
noun	ComputerLanguage	schema.org	definedBy	defines
noun	Trip	Intangible	subClassOf	superClassOf
noun	Trip	schema.org	definedBy	defines
noun	EmploymentAgency	LocalBusiness	subClassOf	superClassOf
noun	EmploymentAgency	schema.org	definedBy	defines
noun	WebContent	CreativeWork	subClassOf	superClassOf
noun	WebContent	schema.org	definedBy	defines
noun	OnlineMarketplace	OnlineStore	subClassOf	superClassOf
noun	OnlineMarketplace	schema.org	definedBy	defines
noun	RsvpAction	InformAction	subClassOf	superClassOf
noun	RsvpAction	schema.org	definedBy	defines
noun	OutletStore	Store	subClassOf	superClassOf
noun	OutletStore	schema.org	definedBy	defines
noun	RegisterAction	InteractAction	subClassOf	superClassOf
noun	RegisterAction	schema.org	definedBy	defines
noun	BackgroundNewsArticle	NewsArticle	subClassOf	superClassOf
noun	BackgroundNewsArticle	schema.org	definedBy	defines
noun	PalliativeProcedure	MedicalTherapy	subClassOf	superClassOf
noun	PalliativeProcedure	schema.org	definedBy	defines
noun	TelevisionStation	LocalBusiness	subClassOf	superClassOf
noun	TelevisionStation	schema.org	definedBy	defines
noun	SoftwareApplication	CreativeWork	subClassOf	superClassOf
noun	SoftwareApplication	schema.org	definedBy	defines
noun	Message	CreativeWork	subClassOf	superClassOf
noun	Message	schema.org	definedBy	defines
noun	TherapeuticProcedure	MedicalProcedure	subClassOf	superClassOf
noun	TherapeuticProcedure	schema.org	definedBy	defines
noun	RestrictedDiet	Enumeration	subClassOf	superClassOf
