url	ns	type	id	code	name	description	appCount	digital
https://searches.org.ai/Search/GetOwnerByID	searches.org.ai	Search	GetOwnerByID	get_owner_by_id	get_owner_by_id	Search for get_owner_by_id	1	1.00
https://searches.org.ai/Search/GetDealByID	searches.org.ai	Search	GetDealByID	get_deal_by_id	get_deal_by_id	Search for get_deal_by_id	1	1.00
https://searches.org.ai/Search/Ticketsearch	searches.org.ai	Search	Ticketsearch	ticketsearch	ticketSearch	Search for ticketSearch	6	1.00
https://searches.org.ai/Search/Contactsearch	searches.org.ai	Search	Contactsearch	contactsearch	contactSearch	Search for contactSearch	40	1.00
https://searches.org.ai/Search/FindAssociations	searches.org.ai	Search	FindAssociations	find_associations	find_associations	Search for find_associations	1	1.00
https://searches.org.ai/Search/DealCrmsearch	searches.org.ai	Search	DealCrmsearch	deal_crmsearch	deal_crmSearch	Search for deal_crmSearch	1	1.00
https://searches.org.ai/Search/CompanyCrmsearch	searches.org.ai	Search	CompanyCrmsearch	company_crmsearch	company_crmSearch	Search for company_crmSearch	1	1.00
https://searches.org.ai/Search/LineItemCrmsearch	searches.org.ai	Search	LineItemCrmsearch	line_item_crmsearch	line_item_crmSearch	Search for line_item_crmSearch	1	1.00
https://searches.org.ai/Search/ProductCrmsearch	searches.org.ai	Search	ProductCrmsearch	product_crmsearch	product_crmSearch	Search for product_crmSearch	1	1.00
https://searches.org.ai/Search/FindOwnerByEmail	searches.org.ai	Search	FindOwnerByEmail	find_owner_by_email	find_owner_by_email	Search for find_owner_by_email	1	1.00
https://searches.org.ai/Search/CustomObjectsearch	searches.org.ai	Search	CustomObjectsearch	custom_objectsearch	custom_objectSearch	Search for custom_objectSearch	1	1.00
https://searches.org.ai/Search/CommonCRMObjectsearch	searches.org.ai	Search	CommonCRMObjectsearch	common_crm_objectsearch	common_crm_objectSearch	Search for common_crm_objectSearch	1	1.00
https://searches.org.ai/Search/Campaignsearch	searches.org.ai	Search	Campaignsearch	campaignsearch	campaignSearch	Search for campaignSearch	5	1.00
https://searches.org.ai/Search/Membersearch	searches.org.ai	Search	Membersearch	membersearch	memberSearch	Search for memberSearch	8	1.00
https://searches.org.ai/Search/FindCustomer	searches.org.ai	Search	FindCustomer	find_customer	find_customer	Search for find_customer	86	1.00
https://searches.org.ai/Search/FindTag	searches.org.ai	Search	FindTag	find_tag	find_tag	Search for find_tag	8	1.00
https://searches.org.ai/Search/FindCalendarEvent	searches.org.ai	Search	FindCalendarEvent	find_calendar_event	find_calendar_event	Search for find_calendar_event	2	1.00
https://searches.org.ai/Search/FindEmail	searches.org.ai	Search	FindEmail	find_email	find_email	Search for find_email	5	1.00
https://searches.org.ai/Search/GetCalendarEventsInDateRange	searches.org.ai	Search	GetCalendarEventsInDateRange	get_calendar_events_in_date_range	get_calendar_events_in_date_range	Search for get_calendar_events_in_date_range	2	1.00
https://searches.org.ai/Search/FindEmailsInFolder	searches.org.ai	Search	FindEmailsInFolder	find_emails_in_folder	find_emails_in_folder	Search for find_emails_in_folder	2	1.00
https://searches.org.ai/Search/FindGroupCalendarEvents	searches.org.ai	Search	FindGroupCalendarEvents	find_group_calendar_events	find_group_calendar_events	Search for find_group_calendar_events	1	1.00
https://searches.org.ai/Search/FindCompany	searches.org.ai	Search	FindCompany	find_company	find_company	Search for find_company	33	1.00
https://searches.org.ai/Search/FindDeal	searches.org.ai	Search	FindDeal	find_deal	find_deal	Search for find_deal	17	1.00
https://searches.org.ai/Search/FindFile	searches.org.ai	Search	FindFile	find_file	find_file	Search for find_file	7	1.00
https://searches.org.ai/Search/FindAssistant	searches.org.ai	Search	FindAssistant	find_assistant	find_assistant	Search for find_assistant	1	1.00
https://searches.org.ai/Search/SearchEmbeddings	searches.org.ai	Search	SearchEmbeddings	search_embeddings	search_embeddings	Search for search_embeddings	2	1.00
https://searches.org.ai/Search/SearchEmbeddingsV2	searches.org.ai	Search	SearchEmbeddingsV2	search_embeddings_v2	search_embeddings_v2	Search for search_embeddings_v2	1	1.00
https://searches.org.ai/Search/FindCharge	searches.org.ai	Search	FindCharge	find_charge	find_charge	Search for find_charge	4	1.00
https://searches.org.ai/Search/FindSubscription	searches.org.ai	Search	FindSubscription	find_subscription	find_subscription	Search for find_subscription	10	1.00
https://searches.org.ai/Search/FindInvoice	searches.org.ai	Search	FindInvoice	find_invoice	find_invoice	Search for find_invoice	31	1.00
https://searches.org.ai/Search/FindPayment	searches.org.ai	Search	FindPayment	find_payment	find_payment	Search for find_payment	12	1.00
https://searches.org.ai/Search/AccountBalance	searches.org.ai	Search	AccountBalance	account_balance	account_balance	Search for account_balance	2	1.00
https://searches.org.ai/Search/FindAccount	searches.org.ai	Search	FindAccount	find_account	find_account	Search for find_account	29	1.00
https://searches.org.ai/Search/LookupResponses	searches.org.ai	Search	LookupResponses	lookup_responses	lookup_responses	Search for lookup_responses	2	1.00
https://searches.org.ai/Search/Findrecord	searches.org.ai	Search	Findrecord	findrecord	findRecord	Search for findRecord	4	1.00
https://searches.org.ai/Search/Findmanyrecords	searches.org.ai	Search	Findmanyrecords	findmanyrecords	findManyRecords	Search for findManyRecords	2	1.00
https://searches.org.ai/Search/Findrecordbyid	searches.org.ai	Search	Findrecordbyid	findrecordbyid	findRecordById	Search for findRecordById	1	1.00
https://searches.org.ai/Search/Findtablebyid	searches.org.ai	Search	Findtablebyid	findtablebyid	findTableById	Search for findTableById	1	1.00
https://searches.org.ai/Search/FindBase	searches.org.ai	Search	FindBase	find_base	find_base	Search for find_base	1	1.00
https://searches.org.ai/Search/Findtable	searches.org.ai	Search	Findtable	findtable	findTable	Search for findTable	1	1.00
https://searches.org.ai/Search/GetBaseSchema	searches.org.ai	Search	GetBaseSchema	get_base_schema	get_base_schema	Search for get_base_schema	1	1.00
https://searches.org.ai/Search/FindUser	searches.org.ai	Search	FindUser	find_user	find_user	Search for find_user	95	1.00
https://searches.org.ai/Search/FindEvent	searches.org.ai	Search	FindEvent	find_event	find_event	Search for find_event	15	1.00
https://searches.org.ai/Search/OrganizationBoard	searches.org.ai	Search	OrganizationBoard	organization_board	organization_board	Search for organization_board	1	1.00
https://searches.org.ai/Search/OrganizationMember	searches.org.ai	Search	OrganizationMember	organization_member	organization_member	Search for organization_member	1	1.00
https://searches.org.ai/Search/Checklist	searches.org.ai	Search	Checklist	checklist	checklist	Search for checklist	1	1.00
https://searches.org.ai/Search/OrganizationCard	searches.org.ai	Search	OrganizationCard	organization_card	organization_card	Search for organization_card	1	1.00
https://searches.org.ai/Search/ChecklistItem	searches.org.ai	Search	ChecklistItem	checklist_item	checklist_item	Search for checklist_item	1	1.00
https://searches.org.ai/Search/BoardList	searches.org.ai	Search	BoardList	board_list	board_list	Search for board_list	1	1.00
https://searches.org.ai/Search/BoardLabel	searches.org.ai	Search	BoardLabel	board_label	board_label	Search for board_label	1	1.00
https://searches.org.ai/Search/ActionByID	searches.org.ai	Search	ActionByID	action_by_id	action_by_id	Search for action_by_id	1	1.00
https://searches.org.ai/Search/BoardByID	searches.org.ai	Search	BoardByID	board_by_id	board_by_id	Search for board_by_id	1	1.00
https://searches.org.ai/Search/CardAttachmentsByID	searches.org.ai	Search	CardAttachmentsByID	card_attachments_by_id	card_attachments_by_id	Search for card_attachments_by_id	1	1.00
https://searches.org.ai/Search/CardByID	searches.org.ai	Search	CardByID	card_by_id	card_by_id	Search for card_by_id	1	1.00
https://searches.org.ai/Search/ChecklistByID	searches.org.ai	Search	ChecklistByID	checklist_by_id	checklist_by_id	Search for checklist_by_id	1	1.00
https://searches.org.ai/Search/ChecklistItemByID	searches.org.ai	Search	ChecklistItemByID	checklist_item_by_id	checklist_item_by_id	Search for checklist_item_by_id	1	1.00
https://searches.org.ai/Search/LabelByID	searches.org.ai	Search	LabelByID	label_by_id	label_by_id	Search for label_by_id	1	1.00
https://searches.org.ai/Search/ListByID	searches.org.ai	Search	ListByID	list_by_id	list_by_id	Search for list_by_id	1	1.00
https://searches.org.ai/Search/MemberByID	searches.org.ai	Search	MemberByID	member_by_id	member_by_id	Search for member_by_id	1	1.00
https://searches.org.ai/Search/OrganizationByID	searches.org.ai	Search	OrganizationByID	organization_by_id	organization_by_id	Search for organization_by_id	1	1.00
https://searches.org.ai/Search/OrganizationCardV2	searches.org.ai	Search	OrganizationCardV2	organization_card_v2	organization_card_v2	Search for organization_card_v2	1	1.00
https://searches.org.ai/Search/OrganizationCardCustomQuery	searches.org.ai	Search	OrganizationCardCustomQuery	organization_card_custom_query	organization_card_custom_query	Search for organization_card_custom_query	1	1.00
https://searches.org.ai/Search/FindChannel	searches.org.ai	Search	FindChannel	find_channel	find_channel	Search for find_channel	3	1.00
https://searches.org.ai/Search/Document	searches.org.ai	Search	Document	document	document	Search for document	6	1.00
https://searches.org.ai/Search/GetDocumentContent	searches.org.ai	Search	GetDocumentContent	get_document_content	get_document_content	Search for get_document_content	1	1.00
https://searches.org.ai/Search/FindRecord	searches.org.ai	Search	FindRecord	find_record	find_record	Search for find_record	26	1.00
https://searches.org.ai/Search/FindRecords	searches.org.ai	Search	FindRecords	find_records	find_records	Search for find_records	6	1.00
https://searches.org.ai/Search/FindTable	searches.org.ai	Search	FindTable	find_table	find_table	Search for find_table	1	1.00
https://searches.org.ai/Search/GetSummaryFormulaValues	searches.org.ai	Search	GetSummaryFormulaValues	get_summary_formula_values	get_summary_formula_values	Search for get_summary_formula_values	1	1.00
https://searches.org.ai/Search/FindRecordByQuery	searches.org.ai	Search	FindRecordByQuery	find_record_by_query	find_record_by_query	Search for find_record_by_query	3	1.00
https://searches.org.ai/Search/FindRecordsByQuery	searches.org.ai	Search	FindRecordsByQuery	find_records_by_query	find_records_by_query	Search for find_records_by_query	1	1.00
https://searches.org.ai/Search/FindChildRecords	searches.org.ai	Search	FindChildRecords	find_child_records	find_child_records	Search for find_child_records	1	1.00
https://searches.org.ai/Search/GetRecordAttachments	searches.org.ai	Search	GetRecordAttachments	get_record_attachments	get_record_attachments	Search for get_record_attachments	1	1.00
https://searches.org.ai/Search/FindRecordsV2	searches.org.ai	Search	FindRecordsV2	find_records_v2	find_records_v2	Search for find_records_v2	2	1.00
https://searches.org.ai/Search/FindRecordsByQueryV2	searches.org.ai	Search	FindRecordsByQueryV2	find_records_by_query_v2	find_records_by_query_v2	Search for find_records_by_query_v2	1	1.00
https://searches.org.ai/Search/FindChildRecordsV2	searches.org.ai	Search	FindChildRecordsV2	find_child_records_v2	find_child_records_v2	Search for find_child_records_v2	1	1.00
https://searches.org.ai/Search/CustomSoqlQuery	searches.org.ai	Search	CustomSoqlQuery	custom_soql_query	custom_soql_query	Search for custom_soql_query	1	1.00
https://searches.org.ai/Search/FindItem	searches.org.ai	Search	FindItem	find_item	find_item	Search for find_item	7	1.00
https://searches.org.ai/Search/FindLiveItem	searches.org.ai	Search	FindLiveItem	find_live_item	find_live_item	Search for find_live_item	1	1.00
https://searches.org.ai/Search/FindTaskID	searches.org.ai	Search	FindTaskID	find_task_id	find_task_id	Search for find_task_id	1	1.00
https://searches.org.ai/Search/FindSection	searches.org.ai	Search	FindSection	find_section	find_section	Search for find_section	2	1.00
https://searches.org.ai/Search/FindProject	searches.org.ai	Search	FindProject	find_project	find_project	Search for find_project	49	1.00
