url	ns	type	id	code	name	description	employment	annual_mean_wage	matched_onet
https://onet.org.ai/STEMOccupation/ManufacturingEngineers	onet.org.ai	STEMOccupation	ManufacturingEngineers	17-2112	Manufacturing Engineers		350230	107900	true
https://onet.org.ai/STEMOccupation/NavalArchitects	onet.org.ai	STEMOccupation	NavalArchitects	17-2121	Marine Engineers and Naval Architects		8440	116680	true
https://onet.org.ai/STEMOccupation/MaterialsEngineers	onet.org.ai	STEMOccupation	MaterialsEngineers	17-2131	Materials Engineers		22770	116380	true
https://onet.org.ai/STEMOccupation/AutomotiveEngineers	onet.org.ai	STEMOccupation	AutomotiveEngineers	17-2141	Automotive Engineers		286760	110080	true
https://onet.org.ai/STEMOccupation/MiningSafetyEngineers	onet.org.ai	STEMOccupation	MiningSafetyEngineers	17-2151	Mining and Geological Engineers, Including Mining Safety Engineers		6770	108940	true
https://onet.org.ai/STEMOccupation/NuclearEngineers	onet.org.ai	STEMOccupation	NuclearEngineers	17-2161	Nuclear Engineers		14740	134980	true
https://onet.org.ai/STEMOccupation/PetroleumEngineers	onet.org.ai	STEMOccupation	PetroleumEngineers	17-2171	Petroleum Engineers		18970	153560	true
https://onet.org.ai/STEMOccupation/SolarEnergySystemsEngineers	onet.org.ai	STEMOccupation	SolarEnergySystemsEngineers	17-2199	Solar Energy Systems Engineers		150750	121720	true
https://onet.org.ai/STEMOccupation/CivilDrafters	onet.org.ai	STEMOccupation	CivilDrafters	17-3011	Architectural and Civil Drafters		109550	68860	true
https://onet.org.ai/STEMOccupation/ElectronicsDrafters	onet.org.ai	STEMOccupation	ElectronicsDrafters	17-3012	Electrical and Electronics Drafters		20020	77960	true
https://onet.org.ai/STEMOccupation/MechanicalDrafters	onet.org.ai	STEMOccupation	MechanicalDrafters	17-3013	Mechanical Drafters		39900	74040	true
https://onet.org.ai/STEMOccupation/DraftersAllOther	onet.org.ai	STEMOccupation	DraftersAllOther	17-3019	Drafters, All Other		16010	66530	true
https://onet.org.ai/STEMOccupation/Technicians	onet.org.ai	STEMOccupation	Technicians	17-3021	Aerospace Engineering and Operations Technologists and Technicians		9060	69940	true
https://onet.org.ai/STEMOccupation/RoboticsTechnicians	onet.org.ai	STEMOccupation	RoboticsTechnicians	17-3024	Robotics Technicians		14680	75710	true
https://onet.org.ai/STEMOccupation/AutomotiveEngineeringTechnicians	onet.org.ai	STEMOccupation	AutomotiveEngineeringTechnicians	17-3027	Automotive Engineering Technicians		37450	72450	true
https://onet.org.ai/STEMOccupation/PhotonicsTechnicians	onet.org.ai	STEMOccupation	PhotonicsTechnicians	17-3029	Photonics Technicians		64410	79740	true
https://onet.org.ai/STEMOccupation/MappingTechnicians	onet.org.ai	STEMOccupation	MappingTechnicians	17-3031	Surveying and Mapping Technicians		56720	56890	true
