url	ns	type	id	code	name	description	digital
https://occupations.org.ai/EducationAdministratorsPreschool	occupations.org.ai	Occupation	EducationAdministratorsPreschool	11-9031.00	Education and Childcare Administrators, Preschool and Daycare	Education and Childcare Administrators, Preschool and Daycare	0.75
https://occupations.org.ai/Daycare	occupations.org.ai	Occupation	Daycare	11-9031.00	Education and Childcare Administrators, Preschool and Daycare	Education and Childcare Administrators, Preschool and Daycare	0.75
https://occupations.org.ai/ChildcareAdministratorsPreschool	occupations.org.ai	Occupation	ChildcareAdministratorsPreschool	11-9031.00	Education and Childcare Administrators, Preschool and Daycare	Education and Childcare Administrators, Preschool and Daycare	0.75
https://occupations.org.ai/Daycare	occupations.org.ai	Occupation	Daycare	11-9031.00	Education and Childcare Administrators, Preschool and Daycare	Education and Childcare Administrators, Preschool and Daycare	0.75
https://occupations.org.ai/EducationAdministratorsKindergartenThroughSecondary	occupations.org.ai	Occupation	EducationAdministratorsKindergartenThroughSecondary	11-9032.00	Education Administrators, Kindergarten through Secondary	Education Administrators, Kindergarten through Secondary	0.75
https://occupations.org.ai/EducationAdministratorsPostsecondary	occupations.org.ai	Occupation	EducationAdministratorsPostsecondary	11-9033.00	Education Administrators, Postsecondary	Education Administrators, Postsecondary	0.75
https://occupations.org.ai/EducationAdministratorsAllOther	occupations.org.ai	Occupation	EducationAdministratorsAllOther	11-9039.00	Education Administrators, All Other	Education Administrators, All Other	0.75
https://occupations.org.ai/ArchitecturalManagers	occupations.org.ai	Occupation	ArchitecturalManagers	11-9041.00	Architectural and Engineering Managers	Architectural and Engineering Managers	0.75
https://occupations.org.ai/EngineeringManagers	occupations.org.ai	Occupation	EngineeringManagers	11-9041.00	Architectural and Engineering Managers	Architectural and Engineering Managers	0.75
https://occupations.org.ai/BiofuelsBiodieselTechnologyDevelopmentManagers	occupations.org.ai	Occupation	BiofuelsBiodieselTechnologyDevelopmentManagers	11-9041.01	Biofuels/Biodiesel Technology and Product Development Managers	Biofuels/Biodiesel Technology and Product Development Managers	0.75
https://occupations.org.ai/ProductDevelopmentManagers	occupations.org.ai	Occupation	ProductDevelopmentManagers	11-9041.01	Biofuels/Biodiesel Technology and Product Development Managers	Biofuels/Biodiesel Technology and Product Development Managers	0.75
https://occupations.org.ai/FoodServiceManagers	occupations.org.ai	Occupation	FoodServiceManagers	11-9051.00	Food Service Managers	Food Service Managers	0.75
https://occupations.org.ai/GamblingManagers	occupations.org.ai	Occupation	GamblingManagers	11-9071.00	Gambling Managers	Gambling Managers	0.75
https://occupations.org.ai/EntertainmentManagers	occupations.org.ai	Occupation	EntertainmentManagers	11-9072.00	Entertainment and Recreation Managers, Except Gambling	Entertainment and Recreation Managers, Except Gambling	0.75
https://occupations.org.ai/RecreationManagers	occupations.org.ai	Occupation	RecreationManagers	11-9072.00	Entertainment and Recreation Managers, Except Gambling	Entertainment and Recreation Managers, Except Gambling	0.75
https://occupations.org.ai/Gambling	occupations.org.ai	Occupation	Gambling	11-9072.00	Entertainment and Recreation Managers, Except Gambling	Entertainment and Recreation Managers, Except Gambling	0.75
https://occupations.org.ai/LodgingManagers	occupations.org.ai	Occupation	LodgingManagers	11-9081.00	Lodging Managers	Lodging Managers	0.75
https://occupations.org.ai/MedicalServicesManagers	occupations.org.ai	Occupation	MedicalServicesManagers	11-9111.00	Medical and Health Services Managers	Medical and Health Services Managers	0.75
https://occupations.org.ai/HealthServicesManagers	occupations.org.ai	Occupation	HealthServicesManagers	11-9111.00	Medical and Health Services Managers	Medical and Health Services Managers	0.75
https://occupations.org.ai/NaturalSciencesManagers	occupations.org.ai	Occupation	NaturalSciencesManagers	11-9121.00	Natural Sciences Managers	Natural Sciences Managers	0.75
https://occupations.org.ai/ClinicalResearchCoordinators	occupations.org.ai	Occupation	ClinicalResearchCoordinators	11-9121.01	Clinical Research Coordinators	Clinical Research Coordinators	0.75
https://occupations.org.ai/WaterResourceSpecialists	occupations.org.ai	Occupation	WaterResourceSpecialists	11-9121.02	Water Resource Specialists	Water Resource Specialists	0.75
https://occupations.org.ai/PostmastersSuperintendents	occupations.org.ai	Occupation	PostmastersSuperintendents	11-9131.00	Postmasters and Mail Superintendents	Postmasters and Mail Superintendents	0.75
https://occupations.org.ai/MailSuperintendents	occupations.org.ai	Occupation	MailSuperintendents	11-9131.00	Postmasters and Mail Superintendents	Postmasters and Mail Superintendents	0.75
https://occupations.org.ai/PropertyAssociationManagers	occupations.org.ai	Occupation	PropertyAssociationManagers	11-9141.00	Property, Real Estate, and Community Association Managers	Property, Real Estate, and Community Association Managers	0.75
https://occupations.org.ai/RealEstateAssociationManagers	occupations.org.ai	Occupation	RealEstateAssociationManagers	11-9141.00	Property, Real Estate, and Community Association Managers	Property, Real Estate, and Community Association Managers	0.75
https://occupations.org.ai/CommunityAssociationManagers	occupations.org.ai	Occupation	CommunityAssociationManagers	11-9141.00	Property, Real Estate, and Community Association Managers	Property, Real Estate, and Community Association Managers	0.75
https://occupations.org.ai/SocialServiceManagers	occupations.org.ai	Occupation	SocialServiceManagers	11-9151.00	Social and Community Service Managers	Social and Community Service Managers	0.75
https://occupations.org.ai/CommunityServiceManagers	occupations.org.ai	Occupation	CommunityServiceManagers	11-9151.00	Social and Community Service Managers	Social and Community Service Managers	0.75
