url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy	domainIncludes	rangeIncludes
https://schema.org.ai/Property/Schemaprintedition	schema.org.ai	Property	Schema:printedition	schema:printEdition	schema:printEdition		printEdition	The edition of the print product in which the NewsArticle appears.			schema:NewsArticle	schema:Text
https://schema.org.ai/Property/Schemapotentialaction	schema.org.ai	Property	Schema:potentialaction	schema:potentialAction	schema:potentialAction		potentialAction	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.			schema:Thing	schema:Action
https://schema.org.ai/Property/Schemaeligiblequantity	schema.org.ai	Property	Schema:eligiblequantity	schema:eligibleQuantity	schema:eligibleQuantity		eligibleQuantity	The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.			schema:PriceSpecification,schema:Demand,schema:Offer	schema:QuantitativeValue
https://schema.org.ai/Property/Schemacircle	schema.org.ai	Property	Schema:circle	schema:circle	schema:circle		circle	A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.			schema:GeoShape	schema:Text
https://schema.org.ai/Property/Schemaagent	schema.org.ai	Property	Schema:agent	schema:agent	schema:agent		agent	The direct performer or driver of the action (animate or inanimate). E.g. *John* wrote a book.			schema:Action	schema:Person,schema:Organization
https://schema.org.ai/Property/Schemaknowslanguage	schema.org.ai	Property	Schema:knowslanguage	schema:knowsLanguage	schema:knowsLanguage		knowsLanguage	Of a [[Person]], and less typically of an [[Organization]], to indicate a known language. We do not distinguish skill levels or reading/writing/speaking/signing here. Use language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47).			schema:Person,schema:Organization	schema:Text,schema:Language
https://schema.org.ai/Property/Schemaoffersprescriptionbymail	schema.org.ai	Property	Schema:offersprescriptionbymail	schema:offersPrescriptionByMail	schema:offersPrescriptionByMail		offersPrescriptionByMail	Whether prescriptions can be delivered by mail.			schema:HealthPlanFormulary	schema:Boolean
https://schema.org.ai/Property/Schemadoesnotship	schema.org.ai	Property	Schema:doesnotship	schema:doesNotShip	schema:doesNotShip		doesNotShip	Indicates when shipping to a particular [[shippingDestination]] is not available.			schema:ShippingRateSettings,schema:OfferShippingDetails,schema:ShippingConditions	schema:Boolean
https://schema.org.ai/Property/Schemamaintainer	schema.org.ai	Property	Schema:maintainer	schema:maintainer	schema:maintainer		maintainer	A maintainer of a [[Dataset]], software package ([[SoftwareApplication]]), or other [[Project]]. A maintainer is a [[Person]] or [[Organization]] that manages contributions to, and/or publication of, some (typically complex) artifact. It is common for distributions of software and data to be based on "upstream" sources. When [[maintainer]] is applied to a specific version of something e.g. a particular version or packaging of a [[Dataset]], it is always  possible that the upstream source has a different maintainer. The [[isBasedOn]] property can be used to indicate such relationships between datasets to make the different maintenance roles clear. Similarly in the case of software, a package may have dedicated maintainers working on integration into software distributions such as Ubuntu, as well as upstream maintainers of the underlying work.			schema:CreativeWork	schema:Person,schema:Organization
https://schema.org.ai/Property/Schemaincludeshealthplanformulary	schema.org.ai	Property	Schema:includeshealthplanformulary	schema:includesHealthPlanFormulary	schema:includesHealthPlanFormulary		includesHealthPlanFormulary	Formularies covered by this plan.			schema:HealthInsurancePlan	schema:HealthPlanFormulary
https://schema.org.ai/Property/Schemareplacer	schema.org.ai	Property	Schema:replacer	schema:replacer	schema:replacer		replacer	A sub property of object. The object that replaces.			schema:ReplaceAction	schema:Thing
https://schema.org.ai/Property/Schemalicense	schema.org.ai	Property	Schema:license	schema:license	schema:license		license	A license document that applies to this content, typically indicated by URL.			schema:CreativeWork	schema:CreativeWork,schema:URL
https://schema.org.ai/Property/Schemaeducationrequirements	schema.org.ai	Property	Schema:educationrequirements	schema:educationRequirements	schema:educationRequirements		educationRequirements	Educational background needed for the position or Occupation.			schema:JobPosting,schema:Occupation	schema:EducationalOccupationalCredential,schema:Text
https://schema.org.ai/Property/Schemafunctionalclass	schema.org.ai	Property	Schema:functionalclass	schema:functionalClass	schema:functionalClass		functionalClass	The degree of mobility the joint allows.			schema:Joint	schema:MedicalEntity,schema:Text
https://schema.org.ai/Property/Schemaexpires	schema.org.ai	Property	Schema:expires	schema:expires	schema:expires		expires	Date the content expires and is no longer useful or available. For example a [[VideoObject]] or [[NewsArticle]] whose availability or relevance is time-limited, a [[ClaimReview]] fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date, or a [[Certification]] the validity has expired.			schema:CreativeWork,schema:Certification	schema:Date,schema:DateTime
https://schema.org.ai/Property/Schemahealthcondition	schema.org.ai	Property	Schema:healthcondition	schema:healthCondition	schema:healthCondition		healthCondition	Specifying the health condition(s) of a patient, medical study, or other target audience.			schema:Patient,schema:MedicalStudy,schema:PeopleAudience	schema:MedicalCondition
https://schema.org.ai/Property/Schemareplacee	schema.org.ai	Property	Schema:replacee	schema:replacee	schema:replacee		replacee	A sub property of object. The object that is being replaced.			schema:ReplaceAction	schema:Thing
https://schema.org.ai/Property/Schemasupplyto	schema.org.ai	Property	Schema:supplyto	schema:supplyTo	schema:supplyTo		supplyTo	The area to which the artery supplies blood.			schema:Artery	schema:AnatomicalStructure
https://schema.org.ai/Property/Schemafeaturelist	schema.org.ai	Property	Schema:featurelist	schema:featureList	schema:featureList		featureList	Features or modules provided by this application (and possibly required by other applications).			schema:SoftwareApplication	schema:URL,schema:Text
https://schema.org.ai/Property/Schemaversion	schema.org.ai	Property	Schema:version	schema:version	schema:version		version	The version of the CreativeWork embodied by a specified resource.			schema:CreativeWork	schema:Text,schema:Number
https://schema.org.ai/Property/Schemaarticlesection	schema.org.ai	Property	Schema:articlesection	schema:articleSection	schema:articleSection		articleSection	Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.			schema:Article	schema:Text
https://schema.org.ai/Property/Schemaeducationallevel	schema.org.ai	Property	Schema:educationallevel	schema:educationalLevel	schema:educationalLevel		educationalLevel	The level in terms of progression through an educational or training context. Examples of educational levels include 'beginner', 'intermediate' or 'advanced', and formal sets of level indicators.			schema:LearningResource,schema:EducationEvent,schema:EducationalOccupationalCredential,schema:CreativeWork	schema:Text,schema:URL,schema:DefinedTerm
https://schema.org.ai/Property/Schemacommentcount	schema.org.ai	Property	Schema:commentcount	schema:commentCount	schema:commentCount		commentCount	The number of comments this CreativeWork (e.g. Article, Question or Answer) has received. This is most applicable to works published in Web sites with commenting system; additional comments may exist elsewhere.			schema:CreativeWork	schema:Integer
https://schema.org.ai/Property/Schemastudylocation	schema.org.ai	Property	Schema:studylocation	schema:studyLocation	schema:studyLocation		studyLocation	The location in which the study is taking/took place.			schema:MedicalStudy	schema:AdministrativeArea
https://schema.org.ai/Property/Schemaparentitem	schema.org.ai	Property	Schema:parentitem	schema:parentItem	schema:parentItem		parentItem	The parent of a question, answer or item in general. Typically used for Q/A discussion threads e.g. a chain of comments with the first comment being an [[Article]] or other [[CreativeWork]]. See also [[comment]] which points from something to a comment about it.			schema:Comment,schema:Question,schema:Answer	schema:CreativeWork,schema:Comment
