url	ns	type	id	code	name	description	employment	matched_onet
https://onet.org.ai/Employment/ModelMakersandPatternmakersMetalandPlastic	onet.org.ai	Employment	ModelMakersandPatternmakersMetalandPlastic	514060	Model Makers and Patternmakers, Metal and Plastic		4800	false
https://onet.org.ai/Employment/MoldersandMoldingMachineSettersOperatorsandTendersMetalandPlastic	onet.org.ai	Employment	MoldersandMoldingMachineSettersOperatorsandTendersMetalandPlastic	514070	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic		167540	false
https://onet.org.ai/Employment/Coremakers	onet.org.ai	Employment	Coremakers	514071	Foundry Mold and Coremakers		12720	true
https://onet.org.ai/Employment/DieMakers	onet.org.ai	Employment	DieMakers	514111	Tool and Die Makers		55130	true
https://onet.org.ai/Employment/WeldingSolderingandBrazingWorkers	onet.org.ai	Employment	WeldingSolderingandBrazingWorkers	514120	Welding, Soldering, and Brazing Workers		460340	false
https://onet.org.ai/Employment/Brazers	onet.org.ai	Employment	Brazers	514121	Welders, Cutters, Solderers, and Brazers		424040	true
https://onet.org.ai/Employment/MiscellaneousMetalWorkersandPlasticWorkers	onet.org.ai	Employment	MiscellaneousMetalWorkersandPlasticWorkers	514190	Miscellaneous Metal Workers and Plastic Workers		77710	false
https://onet.org.ai/Employment/Sharpeners	onet.org.ai	Employment	Sharpeners	514194	Tool Grinders, Filers, and Sharpeners		5730	true
https://onet.org.ai/Employment/PlasticWorkersAllOther	onet.org.ai	Employment	PlasticWorkersAllOther	514199	Metal Workers and Plastic Workers, All Other		20270	true
https://onet.org.ai/Employment/PrintingWorkers	onet.org.ai	Employment	PrintingWorkers	515110	Printing Workers		204640	false
https://onet.org.ai/Employment/Workers	onet.org.ai	Employment	Workers	515111	Prepress Technicians and Workers		23070	true
https://onet.org.ai/Employment/PrintingPressOperators	onet.org.ai	Employment	PrintingPressOperators	515112	Printing Press Operators		145110	true
https://onet.org.ai/Employment/FinishingWorkers	onet.org.ai	Employment	FinishingWorkers	515113	Print Binding and Finishing Workers		36470	true
https://onet.org.ai/Employment/TextileApparelandFurnishingsWorkers	onet.org.ai	Employment	TextileApparelandFurnishingsWorkers	516000	Textile, Apparel, and Furnishings Workers		464330	false
https://onet.org.ai/Employment/DryCleaningWorkers	onet.org.ai	Employment	DryCleaningWorkers	516011	Laundry and Dry-Cleaning Workers		195360	true
https://onet.org.ai/Employment/RelatedMaterials	onet.org.ai	Employment	RelatedMaterials	516021	Pressers, Textile, Garment, and Related Materials		26830	true
https://onet.org.ai/Employment/SewingMachineOperators	onet.org.ai	Employment	SewingMachineOperators	516031	Sewing Machine Operators		109590	true
https://onet.org.ai/Employment/ShoeandLeatherWorkers	onet.org.ai	Employment	ShoeandLeatherWorkers	516040	Shoe and Leather Workers		10910	false
https://onet.org.ai/Employment/TailorsDressmakersandSewers	onet.org.ai	Employment	TailorsDressmakersandSewers	516050	Tailors, Dressmakers, and Sewers		18540	false
https://onet.org.ai/Employment/SewersHand	onet.org.ai	Employment	SewersHand	516051	Sewers, Hand		2240	true
https://onet.org.ai/Employment/CustomSewers	onet.org.ai	Employment	CustomSewers	516052	Tailors, Dressmakers, and Custom Sewers		16290	true
https://onet.org.ai/Employment/TextileMachineSettersOperatorsandTenders	onet.org.ai	Employment	TextileMachineSettersOperatorsandTenders	516060	Textile Machine Setters, Operators, and Tenders		49910	false
https://onet.org.ai/Employment/MiscellaneousTextileApparelandFurnishingsWorkers	onet.org.ai	Employment	MiscellaneousTextileApparelandFurnishingsWorkers	516090	Miscellaneous Textile, Apparel, and Furnishings Workers		53200	false
https://onet.org.ai/Employment/ExtrudingMachineOperators	onet.org.ai	Employment	ExtrudingMachineOperators	516091	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers		14900	true
https://onet.org.ai/Employment/ApparelPatternmakers	onet.org.ai	Employment	ApparelPatternmakers	516092	Fabric and Apparel Patternmakers		2860	true
https://onet.org.ai/Employment/Upholsterers	onet.org.ai	Employment	Upholsterers	516093	Upholsterers		20990	true
https://onet.org.ai/Employment/FurnishingsWorkersAllOther	onet.org.ai	Employment	FurnishingsWorkersAllOther	516099	Textile, Apparel, and Furnishings Workers, All Other		14450	true
https://onet.org.ai/Employment/Woodworkers	onet.org.ai	Employment	Woodworkers	517000	Woodworkers		207380	false
https://onet.org.ai/Employment/BenchCarpenters	onet.org.ai	Employment	BenchCarpenters	517011	Cabinetmakers and Bench Carpenters		79540	true
https://onet.org.ai/Employment/FurnitureFinishers	onet.org.ai	Employment	FurnitureFinishers	517021	Furniture Finishers		14230	true
https://onet.org.ai/Employment/ModelMakersandPatternmakersWood	onet.org.ai	Employment	ModelMakersandPatternmakersWood	517030	Model Makers and Patternmakers, Wood		530	false
https://onet.org.ai/Employment/ModelMakersWood	onet.org.ai	Employment	ModelMakersWood	517031	Model Makers, Wood		360	true
https://onet.org.ai/Employment/PatternmakersWood	onet.org.ai	Employment	PatternmakersWood	517032	Patternmakers, Wood		180	true
https://onet.org.ai/Employment/WoodworkingMachineSettersOperatorsandTenders	onet.org.ai	Employment	WoodworkingMachineSettersOperatorsandTenders	517040	Woodworking Machine Setters, Operators, and Tenders		106490	false
https://onet.org.ai/Employment/TendersWood	onet.org.ai	Employment	TendersWood	517041	Sawing Machine Setters, Operators, and Tenders, Wood		43140	true
https://onet.org.ai/Employment/Sawing	onet.org.ai	Employment	Sawing	517042	Woodworking Machine Setters, Operators, and Tenders, Except Sawing		63350	true
https://onet.org.ai/Employment/WoodworkersAllOther	onet.org.ai	Employment	WoodworkersAllOther	517099	Woodworkers, All Other		6590	true
https://onet.org.ai/Employment/PlantandSystemOperators	onet.org.ai	Employment	PlantandSystemOperators	518000	Plant and System Operators		287720	false
https://onet.org.ai/Employment/PowerPlantOperatorsDistributorsandDispatchers	onet.org.ai	Employment	PowerPlantOperatorsDistributorsandDispatchers	518010	Power Plant Operators, Distributors, and Dispatchers		45630	false
https://onet.org.ai/Employment/NuclearPowerReactorOperators	onet.org.ai	Employment	NuclearPowerReactorOperators	518011	Nuclear Power Reactor Operators		5720	true
https://onet.org.ai/Employment/HydroelectricPlantTechnicians	onet.org.ai	Employment	HydroelectricPlantTechnicians	518013	Hydroelectric Plant Technicians		30720	true
https://onet.org.ai/Employment/BoilerOperators	onet.org.ai	Employment	BoilerOperators	518021	Stationary Engineers and Boiler Operators		30780	true
https://onet.org.ai/Employment/SystemOperators	onet.org.ai	Employment	SystemOperators	518031	Water and Wastewater Treatment Plant and System Operators		126750	true
https://onet.org.ai/Employment/MiscellaneousPlantandSystemOperators	onet.org.ai	Employment	MiscellaneousPlantandSystemOperators	518090	Miscellaneous Plant and System Operators		84560	false
https://onet.org.ai/Employment/GasPlantOperators	onet.org.ai	Employment	GasPlantOperators	518092	Gas Plant Operators		15910	true
https://onet.org.ai/Employment/Gaugers	onet.org.ai	Employment	Gaugers	518093	Petroleum Pump System Operators, Refinery Operators, and Gaugers		34860	true
https://onet.org.ai/Employment/BiofuelsProcessingTechnicians	onet.org.ai	Employment	BiofuelsProcessingTechnicians	518099	Biofuels Processing Technicians		15950	true
https://onet.org.ai/Employment/OtherProductionOccupations	onet.org.ai	Employment	OtherProductionOccupations	519000	Other Production Occupations		2562640	false
https://onet.org.ai/Employment/ChemicalProcessingMachineSettersOperatorsandTenders	onet.org.ai	Employment	ChemicalProcessingMachineSettersOperatorsandTenders	519010	Chemical Processing Machine Setters, Operators, and Tenders		181610	false
https://onet.org.ai/Employment/CrushingGrindingPolishingMixingandBlendingWorkers	onet.org.ai	Employment	CrushingGrindingPolishingMixingandBlendingWorkers	519020	Crushing, Grinding, Polishing, Mixing, and Blending Workers		141240	false
https://onet.org.ai/Employment/PolishingWorkersHand	onet.org.ai	Employment	PolishingWorkersHand	519022	Grinding and Polishing Workers, Hand		11850	true
https://onet.org.ai/Employment/CuttingWorkers	onet.org.ai	Employment	CuttingWorkers	519030	Cutting Workers		54610	false
https://onet.org.ai/Employment/TrimmersHand	onet.org.ai	Employment	TrimmersHand	519031	Cutters and Trimmers, Hand		7070	true
https://onet.org.ai/Employment/Weighers	onet.org.ai	Employment	Weighers	519061	Inspectors, Testers, Sorters, Samplers, and Weighers		591180	true
https://onet.org.ai/Employment/DiamondWorkers	onet.org.ai	Employment	DiamondWorkers	519071	Gem and Diamond Workers		23420	true
https://onet.org.ai/Employment/DentalandOphthalmicLaboratoryTechniciansandMedicalApplianceTechnicians	onet.org.ai	Employment	DentalandOphthalmicLaboratoryTechniciansandMedicalApplianceTechnicians	519080	Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians		64150	false
https://onet.org.ai/Employment/DentalLaboratoryTechnicians	onet.org.ai	Employment	DentalLaboratoryTechnicians	519081	Dental Laboratory Technicians		33920	true
https://onet.org.ai/Employment/MedicalApplianceTechnicians	onet.org.ai	Employment	MedicalApplianceTechnicians	519082	Medical Appliance Technicians		11490	true
https://onet.org.ai/Employment/OphthalmicLaboratoryTechnicians	onet.org.ai	Employment	OphthalmicLaboratoryTechnicians	519083	Ophthalmic Laboratory Technicians		18740	true
https://onet.org.ai/Employment/PaintingWorkers	onet.org.ai	Employment	PaintingWorkers	519120	Painting Workers		167960	false
https://onet.org.ai/Employment/DecoratingWorkers	onet.org.ai	Employment	DecoratingWorkers	519123	Painting, Coating, and Decorating Workers		8470	true
https://onet.org.ai/Employment/SemiconductorProcessingTechnicians	onet.org.ai	Employment	SemiconductorProcessingTechnicians	519141	Semiconductor Processing Technicians		32150	true
https://onet.org.ai/Employment/ComputerNumericallyControlledToolOperatorsandProgrammers	onet.org.ai	Employment	ComputerNumericallyControlledToolOperatorsandProgrammers	519160	Computer Numerically Controlled Tool Operators and Programmers		205190	false
https://onet.org.ai/Employment/ComputerNumericallyControlledToolOperators	onet.org.ai	Employment	ComputerNumericallyControlledToolOperators	519161	Computer Numerically Controlled Tool Operators		176950	true
https://onet.org.ai/Employment/ComputerNumericallyControlledToolProgrammers	onet.org.ai	Employment	ComputerNumericallyControlledToolProgrammers	519162	Computer Numerically Controlled Tool Programmers		28230	true
https://onet.org.ai/Employment/MiscellaneousProductionWorkers	onet.org.ai	Employment	MiscellaneousProductionWorkers	519190	Miscellaneous Production Workers		638250	false
https://onet.org.ai/Employment/Engravers	onet.org.ai	Employment	Engravers	519194	Etchers and Engravers		8390	true
https://onet.org.ai/Employment/PottersManufacturing	onet.org.ai	Employment	PottersManufacturing	519195	Potters, Manufacturing		34750	true
https://onet.org.ai/Employment/TireBuilders	onet.org.ai	Employment	TireBuilders	519197	Tire Builders		20970	true
https://onet.org.ai/Employment/HelpersProductionWorkers	onet.org.ai	Employment	HelpersProductionWorkers	519198	Helpers--Production Workers		167490	true
https://onet.org.ai/Employment/ProductionWorkersAllOther	onet.org.ai	Employment	ProductionWorkersAllOther	519199	Production Workers, All Other		277060	true
https://onet.org.ai/Employment/TransportationandMaterialMovingOccupations	onet.org.ai	Employment	TransportationandMaterialMovingOccupations	530000	Transportation and Material Moving Occupations		13645620	false
https://onet.org.ai/Employment/FirstLineSupervisorsofTransportationandMaterialMovingWorkers	onet.org.ai	Employment	FirstLineSupervisorsofTransportationandMaterialMovingWorkers	531040	First-Line Supervisors of Transportation and Material Moving Workers		615680	false
https://onet.org.ai/Employment/AircraftCargoHandlingSupervisors	onet.org.ai	Employment	AircraftCargoHandlingSupervisors	531041	Aircraft Cargo Handling Supervisors		10160	true
https://onet.org.ai/Employment/FirstLineSupervisorsofTransportationWorkersExceptAircraftCargoHandlingSupervisors	onet.org.ai	Employment	FirstLineSupervisorsofTransportationWorkersExceptAircraftCargoHandlingSupervisors	531047	First-Line Supervisors of Transportation Workers, Except Aircraft Cargo Handling Supervisors		605510	false
https://onet.org.ai/Employment/AirTransportationWorkers	onet.org.ai	Employment	AirTransportationWorkers	532000	Air Transportation Workers		320280	false
https://onet.org.ai/Employment/AircraftPilotsandFlightEngineers	onet.org.ai	Employment	AircraftPilotsandFlightEngineers	532010	Aircraft Pilots and Flight Engineers		151130	false
https://onet.org.ai/Employment/FlightEngineers	onet.org.ai	Employment	FlightEngineers	532011	Airline Pilots, Copilots, and Flight Engineers		99300	true
https://onet.org.ai/Employment/CommercialPilots	onet.org.ai	Employment	CommercialPilots	532012	Commercial Pilots		51830	true
https://onet.org.ai/Employment/AirTrafficControllersandAirfieldOperationsSpecialists	onet.org.ai	Employment	AirTrafficControllersandAirfieldOperationsSpecialists	532020	Air Traffic Controllers and Airfield Operations Specialists		39040	false
https://onet.org.ai/Employment/AirTrafficControllers	onet.org.ai	Employment	AirTrafficControllers	532021	Air Traffic Controllers		22400	true
https://onet.org.ai/Employment/AirfieldOperationsSpecialists	onet.org.ai	Employment	AirfieldOperationsSpecialists	532022	Airfield Operations Specialists		16640	true
https://onet.org.ai/Employment/FlightAttendants	onet.org.ai	Employment	FlightAttendants	532031	Flight Attendants		130110	true
https://onet.org.ai/Employment/MotorVehicleOperators	onet.org.ai	Employment	MotorVehicleOperators	533000	Motor Vehicle Operators		4328760	false
https://onet.org.ai/Employment/DriverSalesWorkersandTruckDrivers	onet.org.ai	Employment	DriverSalesWorkersandTruckDrivers	533030	Driver/Sales Workers and Truck Drivers		3482310	false
https://onet.org.ai/Employment/DriverSalesWorkers	onet.org.ai	Employment	DriverSalesWorkers	533031	Driver/Sales Workers		417420	true
https://onet.org.ai/Employment/TractorTrailerTruckDrivers	onet.org.ai	Employment	TractorTrailerTruckDrivers	533032	Heavy and Tractor-Trailer Truck Drivers		2070480	true
https://onet.org.ai/Employment/LightTruckDrivers	onet.org.ai	Employment	LightTruckDrivers	533033	Light Truck Drivers		994410	true
https://onet.org.ai/Employment/PassengerVehicleDrivers	onet.org.ai	Employment	PassengerVehicleDrivers	533050	Passenger Vehicle Drivers		784030	false
https://onet.org.ai/Employment/BusDriversSchool	onet.org.ai	Employment	BusDriversSchool	533051	Bus Drivers, School		387920	true
https://onet.org.ai/Employment/Intercity	onet.org.ai	Employment	Intercity	533052	Bus Drivers, Transit and Intercity		148980	true
https://onet.org.ai/Employment/Chauffeurs	onet.org.ai	Employment	Chauffeurs	533053	Shuttle Drivers and Chauffeurs		229630	true
https://onet.org.ai/Employment/TaxiDrivers	onet.org.ai	Employment	TaxiDrivers	533054	Taxi Drivers		17510	true
https://onet.org.ai/Employment/MotorVehicleOperatorsAllOther	onet.org.ai	Employment	MotorVehicleOperatorsAllOther	533099	Motor Vehicle Operators, All Other		50330	true
https://onet.org.ai/Employment/RailTransportationWorkers	onet.org.ai	Employment	RailTransportationWorkers	534000	Rail Transportation Workers		101190	false
https://onet.org.ai/Employment/LocomotiveEngineersandOperators	onet.org.ai	Employment	LocomotiveEngineersandOperators	534010	Locomotive Engineers and Operators		35300	false
https://onet.org.ai/Employment/LocomotiveEngineers	onet.org.ai	Employment	LocomotiveEngineers	534011	Locomotive Engineers		31990	true
https://onet.org.ai/Employment/Hostlers	onet.org.ai	Employment	Hostlers	534013	Rail Yard Engineers, Dinkey Operators, and Hostlers		3300	true
https://onet.org.ai/Employment/LocomotiveFirers	onet.org.ai	Employment	LocomotiveFirers	534022	Railroad Brake, Signal, and Switch Operators and Locomotive Firers		12460	true
https://onet.org.ai/Employment/Yardmasters	onet.org.ai	Employment	Yardmasters	534031	Railroad Conductors and Yardmasters		42710	true
https://onet.org.ai/Employment/StreetcarOperators	onet.org.ai	Employment	StreetcarOperators	534041	Subway and Streetcar Operators		9200	true
https://onet.org.ai/Employment/RailTransportationWorkersAllOther	onet.org.ai	Employment	RailTransportationWorkersAllOther	534099	Rail Transportation Workers, All Other		1520	true
https://onet.org.ai/Employment/WaterTransportationWorkers	onet.org.ai	Employment	WaterTransportationWorkers	535000	Water Transportation Workers		77710	false
https://onet.org.ai/Employment/MarineOilers	onet.org.ai	Employment	MarineOilers	535011	Sailors and Marine Oilers		31360	true
https://onet.org.ai/Employment/ShipandBoatCaptainsandOperators	onet.org.ai	Employment	ShipandBoatCaptainsandOperators	535020	Ship and Boat Captains and Operators		37770	false
https://onet.org.ai/Employment/PilotsOfWaterVessels	onet.org.ai	Employment	PilotsOfWaterVessels	535021	Captains, Mates, and Pilots of Water Vessels		35390	true
https://onet.org.ai/Employment/MotorboatOperators	onet.org.ai	Employment	MotorboatOperators	535022	Motorboat Operators		2380	true
https://onet.org.ai/Employment/ShipEngineers	onet.org.ai	Employment	ShipEngineers	535031	Ship Engineers		8580	true
https://onet.org.ai/Employment/OtherTransportationWorkers	onet.org.ai	Employment	OtherTransportationWorkers	536000	Other Transportation Workers		330140	false
https://onet.org.ai/Employment/LockTenders	onet.org.ai	Employment	LockTenders	536011	Bridge and Lock Tenders		2720	true
https://onet.org.ai/Employment/ParkingAttendants	onet.org.ai	Employment	ParkingAttendants	536021	Parking Attendants		134650	true
https://onet.org.ai/Employment/TransportationServiceAttendants	onet.org.ai	Employment	TransportationServiceAttendants	536030	Transportation Service Attendants		125580	false
https://onet.org.ai/Employment/WatercraftServiceAttendants	onet.org.ai	Employment	WatercraftServiceAttendants	536031	Automotive and Watercraft Service Attendants		98270	true
https://onet.org.ai/Employment/AircraftServiceAttendants	onet.org.ai	Employment	AircraftServiceAttendants	536032	Aircraft Service Attendants		27310	true
https://onet.org.ai/Employment/TrafficTechnicians	onet.org.ai	Employment	TrafficTechnicians	536041	Traffic Technicians		7580	true
https://onet.org.ai/Employment/Aviation	onet.org.ai	Employment	Aviation	536051	Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation		23320	true
