apiId	actionId
GainsightApi	AddActivityTimeline
TotalbrokerageApi	AddActivityTransaction
Element451Api	AddActivityUser
LastMileDeliveryPlannerMyrouteonlineApi	AddAddress
TidyApi	AddAddress
NovatimeApi	AddAddress
SwiftfoxApi	AddAddress
RaynetCrmApi	AddAddressContactAccount
HomedropApi	AddAddressDndList
PoplarApi	AddAddressDoNotMailList
CloseApi	AddAddressLead
PipelineApi	AddAdhocStep
Groove.cmApi	AddAffiliate
ScoreceoApi	AddAffiliate
ServicebellApi	AddAiOutboundCampaignLead
DnsfilterApi	AddAllowList
BoomerangmeApi	AddAmountCard
DoubleloopApi	AddAnalytic
NutrientDocumentWebServicesApiApi	AddAnnotationsPdf
LoopifyApi	AddApiEntry
JobadderApi	AddApplicationNote
LimeCellularApi	AddAppointment
FeedlyApi	AddArticleBoard
PipelineApi	AddAskBundle
AssetInfinityApi	AddAsset
FundwaveApi	AddAsset
GlobaleditApi	AddAssetComments
ServicetradeApi	AddAssetLocation
ScreenlyApi	AddAssetPlaylist
AirApi	AddAssetsBoard
HippoApi	AddAssignee
ZohoCrmApi	AddAttachment
ZohoDeskApi	AddAttachment
Nocrm.ioApi	AddAttachment
Nocrm.ioApi	AddAttachment
QontoApi	AddAttachment
RaynetCrmApi	AddAttachment
SwiftenterpriseApi	AddAttachment
AccessFasttrack360Api	AddAttachmentCandidate
TrelloApi	AddAttachmentCard
AccessFasttrack360Api	AddAttachmentClient
OneflowApi	AddAttachmentExpandedPdf
JiraSoftwareCloudApi	AddAttachmentIssue
ServicetradeApi	AddAttachmentJob
MoneybirdApi	AddAttachmentNewDocument
Pdf4meApi	AddAttachmentPdf
SmartsheetApi	AddAttachmentRow
BugherdApi	AddAttachmentTask
SplashApi	AddAttendee
RsvpifyApi	AddAttendee
TownscriptApi	AddAttendee
PicaticApi	AddAttendee
SplashEuApi	AddAttendee
ParcyApi	AddAttendee
CrowdpassApi	AddAttendee
RemoConferenceApi	AddAttendeeMemberGroup
MicrosoftOutlookApi	AddAttendeesCalendarEvent
GoogleCalendarApi	AddAttendeeSEvent
MadMimiApi	AddAudienceMember
PoplarApi	AddAudienceMember
DoomscrollrApi	AddAudienceMember
LetterheadApi	AddAudienceMemberTag
Membership.ioApi	AddAudienceTag
LogitApi	AddAuditEvent
MindmeApi	AddAutomation
DonordockApi	AddBadgeContact
DiscipleApi	AddBadgeUser
Pdf.coApi	AddBarcodePdf
Pdf4meApi	AddBarcodeQrCode
AirgiftApi	AddBeneficiary
EzekiaApi	AddBillingContact
BitlyApi	AddBitlinkCampaign
VoodooSmsApi	AddBlacklist
SerwersmsApi	AddBlacklistedPhoneNumber
AcuitySchedulingApi	AddBlockedOffTime
SignSchedulingApi	AddBlockedOffTime
InstantlyApi	AddBlocklist
DnsfilterApi	AddBlockList
SendsmsApi	AddBlockList
LunaApi	AddBlocklistedDomain
LunaApi	AddBlocklistedEmail
NotionApi	AddBlockPage
OktopostApi	AddBoard
Kitchen.coApi	AddBoardCustomFieldOption
KrozuApi	AddBoardMember
GorilladeskApi	AddBooking
RoAppApi	AddBookingItem
OrderryApi	AddBookingItem
ProworkflowApi	AddBookmark
HeyzineApi	AddBookshelfAccessList
Loanofficer.aiApi	AddBorrowerCampaigns
HeyyApi	AddBroadcastRecipients
DocusignApi	AddBulkSendList
