contentId	mediaId
Article	Website
Article	Blog
BlogPost	Blog
NewsArticle	Newspaper
NewsArticle	Website
Video	YouTube
Video	StreamingVideo
Video	Television
Podcast	Podcast
Podcast	StreamingAudio
Image	Website
Image	SocialMedia
Webinar	StreamingVideo
Livestream	StreamingVideo
SocialPost	SocialMedia
Newsletter	Email
