id	code	name	description	parent
Rye	1151152	Rye	Unmilled rye.	115115
Triticale	1151153	Triticale	Unmilled triticale.	115115
WildRice	1151154	Wild rice	Unmilled wild rice.	115115
OtherMiscellaneousGrains	1151155	Other miscellaneous grains	Other miscellaneous unmilled grains.	115115
Soybeans	1151211	Soybeans	Unprocessed soybeans.	115121
Flaxseed	1151221	Flaxseed	Unprocessed flaxseed.	115122
Solin	1151222	Solin	Unprocessed solin.	115122
SunflowerSeeds	1151223	Sunflower seeds	Unprocessed sunflower seeds.	115122
OtherOilseeds	1151224	Other oilseeds	Other unprocessed oilseeds.	115122
UnstemmedLeafTobacco	1151311	Unstemmed leaf tobacco	Unstemmed leaf tobacco.	115131
SugarCane	1151321	Sugar cane	Sugar cane.	115132
SugarBeets	1151322	Sugar beets	Sugar beets.	115132
RawTea	1151331	Raw tea	Raw tea, except packaged and prepared.	115133
CocoaBeans	1151341	Cocoa beans	Cocoa beans.	115134
GreenCoffeeBeans	1151351	Green coffee beans	Green coffee beans.	115135
MapleSyrup	1151361	Maple syrup	Maple syrup.	115136
MapleButter	1151362	Maple butter	Maple butter.	115136
MapleSugar	1151363	Maple sugar	Maple sugar.	115136
MapleTaffy	1151364	Maple taffy	Maple taffy.	115136
OtherMapleProductsN.e.c.	1151365	Other maple products, n.e.c.	Other maple products, n.e.c.	115136
RawCotton	1151371	Raw cotton	Raw cotton.	115137
HayForageSeedsAndGrassSeeds	1151381	Hay, forage seeds and grass seeds	Hay, forage seeds and grass seeds.	115138
CornForSilage	1151382	Corn for silage	Corn for silage.	115138
UnworkedStraw	1151383	Unworked straw	Unworked straw.	115138
OtherForageN.e.c.	1151384	Other forage, n.e.c.	Other forage, n.e.c.	115138
Hops	1151391	Hops	Hops.	115139
NaturalVegetableFibres	1151392	Natural vegetable fibres	Natural vegetable fibres.	115139
MedicinalPlantsExceptCannabis	1151393	Medicinal plants (except cannabis)	Medicinal plants, except cannabis.	115139
MustardSeeds	1151394	Mustard seeds	Unprocessed mustard seeds.	115139
OtherSpiceSeeds	1151395	Other spice seeds	Other spice seeds.	115139
VegetalGums	1151396	Vegetal gums	Vegetal gums, resins, gum-resins and oleoresins.	115139
OtherCrudeVegetableMaterials	1151397	Other crude vegetable materials	Other crude vegetable materials.	115139
SeedsForPlantingExceptPotatoFlowerShrubAndTreeSeeds	1151398	Seeds for planting (except potato, flower, shrub and tree seeds)	Seeds for planting, except potato, flower, shrub and tree seeds.	115139
FlowerSeeds	1151411	Flower seeds	Flower seeds and dormant bulbs.	115141
ShrubSeeds	1151412	Shrub seeds	Shrub seeds.	115141
TreeSeeds	1151413	Tree seeds	Tree seeds.	115141
ChristmasTrees	1151421	Christmas trees	Natural Christmas trees.	115142
IndoorPottedPlants	1151431	Indoor potted plants	Indoor potted plants.	115143
OutdoorPottedPlants	1151432	Outdoor potted plants	Outdoor potted plants.	115143
Cuttings	1151433	Cuttings	Cuttings.	115143
BeddingPlants	1151434	Bedding plants	Bedding plants.	115143
CutFlowers	1151435	Cut flowers	Cut flowers.	115143
Trees	1151441	Trees	Trees.	115144
Shrubs	1151442	Shrubs	Shrubs.	115144
Vines	1151443	Vines	Vines.	115144
SmallFruitBushes	1151444	Small fruit bushes	Small fruit bushes.	115144
TreeSeedlings	1151445	Tree seedlings	Tree seedlings.	115144
OtherNurseryTreesAndPlantsN.e.c.	1151446	Other nursery trees and plants, n.e.c.	Other nursery trees and plants, n.e.c.	115144
Sod	1151451	Sod	Sod, natural.	115145
EggsInShellForConsumption	1161111	Eggs in shell for consumption	Eggs in shell for consumption.	116111
EggsInShellForHatcheries	1161112	Eggs in shell for hatcheries	Fertilized eggs in shell for hatcheries.	116111
EggsInShellLeakersAndRejects	1161113	Eggs in shell, leakers and rejects	Eggs in shell, leakers and rejects.	116111
UnprocessedMilk	1161211	Unprocessed milk	Unprocessed milk.	116121
RawFurskins	1161311	Raw furskins	Raw furskins.	116131
RawWool	1161321	Raw wool	Raw wool, not carded nor combed.	116132
RawAnimalHair	1161322	Raw animal hair	Raw animal hair, not carded nor combed.	116132
NaturalHoney	1161331	Natural honey	Natural unprocessed (raw) honey made by bees, and bee-collected pollen.	116133
PregnantMareUrine	1161341	Pregnant mare urine	Pregnant mare urine.	116134
LiveFish	1211111	Live fish	Live fish.	121111
LiveRoe	1211112	Live roe	Live roe.	121111
LiveCrustaceans	1211113	Live crustaceans	Live crustaceans.	121111
LiveShellfish	1211114	Live shellfish	Live shellfish.	121111
FishExceptLive	1211121	Fish (except live)	Whole fish fresh, chilled or frozen, dressed or not dressed, but not further processed.	121112
CrustaceansExceptLive	1211131	Crustaceans (except live)	Fresh, chilled and frozen unshelled crustaceans, but not further processed.	121113
ShellfishExceptLive	1211132	Shellfish (except live)	Fresh, chilled and frozen unshelled shellfish, but not further processed.	121113
Seaweed	1211141	Seaweed	Seaweed.	121114
