paymentId	appId
Authorize.net	Authorize.net
Bitcoin	JoltzBitcoinRewards
Braintree	Braintree
Cash	CashFlowFrog
Check	Checkify+
DirectDebit	DirectDebit
Paypal	Paypal
Square	Square
Stripe	Stripe
