url	ns	type	id	code	name	description	soc_code	education_program_id	cip_code	career_cluster_id
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	geometrygeometric-analysis	27.0104	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	topology-and-foundations	27.0105	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	mathematics-other	27.0199	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	applied-mathematics-general	27.0301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	computational-mathematics	27.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	computational-and-applied-mathematics	27.0304	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	atomicmolecular-physics	40.0802	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	elementary-particle-physics	40.0804	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	plasma-and-high-temperature-physics	40.0805	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	nuclear-physics	40.0806	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	opticsoptical-sciences	40.0807	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	condensed-matter-and-materials-physics	40.0808	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	acoustics	40.0809	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	theoretical-and-mathematical-physics	40.0810	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	physics-other	40.0899	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	materials-chemistry	40.1002	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	materials-sciences-other	40.1099	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	physics-and-astronomy	40.1101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	physical-sciences-other	40.9999	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	clinical-and-industrial-drug-development	51.2006	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	aerospace-aeronautical-and-astronauticalspace-engineering-general	14.0201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	astronautical-engineering	14.0202	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	aerospace-aeronautical-and-astronauticalspace-engineering-other	14.0299	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	electrical-and-electronics-engineering	14.1001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	mechanical-engineering	14.1901	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2031	bioengineering-and-biomedical-engineering	14.0501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2031	chemical-and-biomolecular-engineering	14.0702	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2031	biologicalbiosystems-engineering	14.4501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	ceramic-sciences-and-engineering	14.0601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	chemical-engineering	14.0701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	chemical-and-biomolecular-engineering	14.0702	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	chemical-engineering-other	14.0799	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	polymerplastics-engineering	14.3201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	paper-science-and-engineering	14.4001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	biochemical-engineering	14.4301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2041	engineering-chemistry	14.4401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2071	electrical-and-electronics-engineering	14.1001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2071	electrical-electronics-and-communications-engineering-other	14.1099	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2071	electromechanical-engineering	14.4101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2071	electrical-and-computer-engineering	14.4701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2112	systems-engineering	14.2701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2112	industrial-engineering	14.3501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2112	manufacturing-engineering	14.3601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2112	engineeringindustrial-management	15.1501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2112	packaging-science	15.1503	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2131	ceramic-sciences-and-engineering	14.0601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2131	materials-engineering	14.1801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2131	metallurgical-engineering	14.2001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2131	textile-sciences-and-engineering	14.2801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2131	polymerplastics-engineering	14.3201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2141	engineering-mechanics	14.1101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2141	mechanical-engineering	14.1901	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2141	electromechanical-engineering	14.4101	advanced-manufacturing
