roleId	occupationId
CeilingTileInstallers	Drywall_and_Ceiling_Tile_Installers
CellularBiologists	Molecular_and_Cellular_Biologists
Changers	Tire_Repairers_and_Changers
Chauffeurs	Shuttle_Drivers_and_Chauffeurs
ChemicalEngineers	Chemical_Engineers
ChemicalTechnicians	Chemical_Technicians
ChemistryTeachersPostsecondary	Chemistry_Teachers,_Postsecondary
Chemists	Chemists
ChiefExecutives	Chief_Executives
ChiefSustainabilityOfficers	Chief_Sustainability_Officers
ChildcareWorkers	Childcare_Workers
Chiropractors	Chiropractors
Choreographers	Choreographers
CivilDrafters	Architectural_and_Civil_Drafters
CivilEngineers	Civil_Engineers
Clergy	Clergy
Clerks	Credit_Authorizers,_Checkers,_and_Clerks
Clerks	Loan_Interviewers_and_Clerks
ClimateChangePolicyAnalysts	Climate_Change_Policy_Analysts
ClinicalDataManagers	Clinical_Data_Managers
ClinicalLaboratoryTechnicians	Medical_and_Clinical_Laboratory_Technicians
ClinicalLaboratoryTechnologists	Medical_and_Clinical_Laboratory_Technologists
ClinicalNeuropsychologists	Clinical_Neuropsychologists
ClinicalNurseSpecialists	Clinical_Nurse_Specialists
ClinicalResearchCoordinators	Clinical_Research_Coordinators
ClockRepairers	Watch_and_Clock_Repairers
CoffeeShop	Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop
CommercialDivers	Commercial_Divers
CommercialPilots	Commercial_Pilots
CommunicationEquipmentWorkersAllOther	Media_and_Communication_Equipment_Workers,_All_Other
CommunicationsEquipmentOperatorsAllOther	Communications_Equipment_Operators,_All_Other
CommunicationsTeachersPostsecondary	Communications_Teachers,_Postsecondary
CommunicationWorkersAllOther	Media_and_Communication_Workers,_All_Other
CommunityAssociationManagers	Property,_Real_Estate,_and_Community_Association_Managers
CommunityHealthWorkers	Community_Health_Workers
CommunityServiceManagers	Social_and_Community_Service_Managers
ComplianceManagers	Compliance_Managers
ComplianceOfficers	Compliance_Officers
Composers	Music_Directors_and_Composers
Computer	Electronics_Engineers,_Except_Computer
Computer	Office_Machine_Operators,_Except_Computer
ComputerHardwareEngineers	Computer_Hardware_Engineers
ComputerNetworkArchitects	Computer_Network_Architects
ComputerNetworkSupportSpecialists	Computer_Network_Support_Specialists
ComputerNumericallyControlledToolOperators	Computer_Numerically_Controlled_Tool_Operators
ComputerNumericallyControlledToolProgrammers	Computer_Numerically_Controlled_Tool_Programmers
ComputerOccupationsAllOther	Computer_Occupations,_All_Other
ComputerProgrammers	Computer_Programmers
ComputerScienceTeachersPostsecondary	Computer_Science_Teachers,_Postsecondary
ComputerSystemsAdministrators	Network_and_Computer_Systems_Administrators
ComputerSystemsAnalysts	Computer_Systems_Analysts
ComputerSystemsEngineersArchitects	Computer_Systems_Engineers_Architects
ComputerUserSupportSpecialists	Computer_User_Support_Specialists
Concierges	Concierges
Conciliators	Arbitrators,_Mediators,_and_Conciliators
ConcreteFinishers	Cement_Masons_and_Concrete_Finishers
ConservationScienceTeachersPostsecondary	Forestry_and_Conservation_Science_Teachers,_Postsecondary
ConservationScientists	Conservation_Scientists
ConservationTechnicians	Forest_and_Conservation_Technicians
ConservationWorkers	Forest_and_Conservation_Workers
