ns	from	to	predicate	reverse
napcs	DryPeas	11431	partOfServiceCategory	hasSubService
napcs	YellowDryPeas	114314	partOfServiceCategory	hasSubService
napcs	GreenDryPeas	114314	partOfServiceCategory	hasSubService
napcs	OtherDryPeas	114314	partOfServiceCategory	hasSubService
napcs	OtherPulseCrops	11431	partOfServiceCategory	hasSubService
napcs	FabaBeans	114315	partOfServiceCategory	hasSubService
napcs	OtherPulseCrops1143152	114315	partOfServiceCategory	hasSubService
napcs	Grains	115	partOfServiceCategory	hasSubService
napcs	CornGrain	11511	partOfServiceCategory	hasSubService
napcs	CornGrain1151111	115111	partOfServiceCategory	hasSubService
napcs	UnmilledRice	11511	partOfServiceCategory	hasSubService
napcs	UnmilledRice1151121	115112	partOfServiceCategory	hasSubService
napcs	Oats	11511	partOfServiceCategory	hasSubService
napcs	Oats1151131	115113	partOfServiceCategory	hasSubService
napcs	Barley	11511	partOfServiceCategory	hasSubService
napcs	Barley1151141	115114	partOfServiceCategory	hasSubService
napcs	OtherGrains	11511	partOfServiceCategory	hasSubService
napcs	MixedGrain	115115	partOfServiceCategory	hasSubService
napcs	Rye	115115	partOfServiceCategory	hasSubService
napcs	Triticale	115115	partOfServiceCategory	hasSubService
napcs	WildRice	115115	partOfServiceCategory	hasSubService
napcs	OtherMiscellaneousGrains	115115	partOfServiceCategory	hasSubService
napcs	Oilseeds	115	partOfServiceCategory	hasSubService
napcs	Soybeans	11512	partOfServiceCategory	hasSubService
napcs	Soybeans1151211	115121	partOfServiceCategory	hasSubService
napcs	Oilseeds115122	11512	partOfServiceCategory	hasSubService
napcs	Flaxseed	115122	partOfServiceCategory	hasSubService
napcs	Solin	115122	partOfServiceCategory	hasSubService
napcs	SunflowerSeeds	115122	partOfServiceCategory	hasSubService
napcs	OtherOilseeds	115122	partOfServiceCategory	hasSubService
napcs	OtherMiscellaneousCropProducts	115	partOfServiceCategory	hasSubService
napcs	UnstemmedLeafTobacco	11513	partOfServiceCategory	hasSubService
napcs	UnstemmedLeafTobacco1151311	115131	partOfServiceCategory	hasSubService
napcs	SugarCaneSugarBeets	11513	partOfServiceCategory	hasSubService
napcs	SugarCane	115132	partOfServiceCategory	hasSubService
napcs	SugarBeets	115132	partOfServiceCategory	hasSubService
napcs	RawTea	11513	partOfServiceCategory	hasSubService
napcs	RawTea1151331	115133	partOfServiceCategory	hasSubService
napcs	CocoaBeans	11513	partOfServiceCategory	hasSubService
napcs	CocoaBeans1151341	115134	partOfServiceCategory	hasSubService
napcs	GreenCoffeeBeans	11513	partOfServiceCategory	hasSubService
napcs	GreenCoffeeBeans1151351	115135	partOfServiceCategory	hasSubService
napcs	MapleSyrupOtherMapleProducts	11513	partOfServiceCategory	hasSubService
napcs	MapleSyrup	115136	partOfServiceCategory	hasSubService
napcs	MapleButter	115136	partOfServiceCategory	hasSubService
napcs	MapleSugar	115136	partOfServiceCategory	hasSubService
napcs	MapleTaffy	115136	partOfServiceCategory	hasSubService
napcs	OtherMapleProducts	115136	partOfServiceCategory	hasSubService
napcs	RawCotton	11513	partOfServiceCategory	hasSubService
napcs	RawCotton1151371	115137	partOfServiceCategory	hasSubService
